Internazionale,Napoli,AC Milan,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Torino,Parma,Genoa,Fiorentina,Cagliari,Cremonese,Lecce,Hellas Verona,Pisa
9924.0,61.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,5901.0,3154.0,635.0,236.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2855.0,3921.0,2063.0,1075.0,73.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,870.0,1785.0,4163.0,2508.0,594.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,279.0,951.0,2267.0,4102.0,1998.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,34.0,163.0,766.0,1758.0,5638.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,105.0,321.0,1691.0,7738.0,76.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,123.0,3716.0,3957.0,1627.0,556.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,3224.0,3177.0,2428.0,1079.0,64.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.0,1841.0,3479.0,2225.0,247.0,38.0,38.0,27.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,922.0,2028.0,4716.0,881.0,191.0,270.0,163.0,21.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,56.0,346.0,1033.0,3316.0,1308.0,2073.0,1535.0,231.0,12.0,20.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,67.0,301.0,2498.0,2115.0,2406.0,1954.0,520.0,45.0,88.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,76.0,1590.0,2621.0,2209.0,2135.0,1013.0,129.0,215.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,931.0,2315.0,1821.0,2295.0,1740.0,421.0,463.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1206.0,875.0,1350.0,3639.0,1353.0,1176.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,186.0,257.0,448.0,1971.0,3603.0,3469.0,0.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,43.0,86.0,861.0,4382.0,4529.0,17.0,69.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.0,40.0,4294.0,5609.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689.0,4311.0
