Paris Saint-Germain,Lens,Marseille,Lille,AS Monaco,Lyon,Stade Rennais,Strasbourg,Lorient,Toulouse,Brest,Paris FC,Angers,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9695.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305.0,9546.0,105.0,36.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,130.0,6214.0,2470.0,249.0,532.0,385.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,2379.0,3906.0,941.0,1691.0,932.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,878.0,1929.0,1900.0,2739.0,2034.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,306.0,1041.0,2681.0,2368.0,2463.0,1137.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,104.0,491.0,2712.0,1953.0,2709.0,1979.0,28.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.0,127.0,1497.0,683.0,1449.0,5417.0,397.0,331.0,76.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,19.0,27.0,25.0,659.0,4048.0,3660.0,1097.0,404.0,58.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,106.0,3265.0,3109.0,2207.0,1089.0,204.0,17.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1691.0,1932.0,3506.0,2193.0,564.0,65.0,19.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,475.0,794.0,2212.0,4451.0,1665.0,312.0,79.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,146.0,813.0,1591.0,5149.0,1517.0,601.0,95.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,84.0,250.0,1935.0,4337.0,2716.0,664.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,394.0,2991.0,4209.0,2337.0,51.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,753.0,2336.0,6426.0,438.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,463.0,8421.0,1071.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1085.0,8912.0
