Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
9688.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312.0,9500.0,149.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,173.0,6634.0,2361.0,462.0,341.0,15.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,2340.0,4637.0,1598.0,1141.0,111.0,84.0,17.0,40.0,13.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,628.0,2054.0,2877.0,2736.0,634.0,558.0,129.0,295.0,43.0,31.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,194.0,697.0,2444.0,2553.0,1349.0,1094.0,430.0,790.0,212.0,137.0,83.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,39.0,155.0,1298.0,1468.0,2136.0,1602.0,854.0,1386.0,442.0,374.0,200.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,41.0,672.0,830.0,1808.0,1762.0,1173.0,1731.0,706.0,701.0,466.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,13.0,356.0,468.0,1381.0,1625.0,1588.0,1711.0,967.0,1014.0,700.0,174.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,179.0,261.0,1131.0,1330.0,1702.0,1413.0,1236.0,1426.0,1003.0,302.0,12.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,82.0,127.0,746.0,901.0,1576.0,1150.0,1643.0,1703.0,1499.0,539.0,23.0,10.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,26.0,67.0,450.0,614.0,1326.0,820.0,1941.0,1813.0,1905.0,936.0,84.0,15.0,2.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,8.0,197.0,315.0,866.0,490.0,1824.0,1759.0,2363.0,1796.0,254.0,93.0,15.0,14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,41.0,96.0,306.0,157.0,866.0,869.0,1401.0,4394.0,1173.0,400.0,134.0,163.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,31.0,13.0,89.0,151.0,317.0,1313.0,4202.0,1998.0,648.0,1229.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,18.0,21.0,49.0,303.0,2275.0,3611.0,1589.0,2130.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,72.0,1278.0,2488.0,3116.0,3040.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,696.0,1381.0,4487.0,3408.0,22.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,14.0,7976.0,1998.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,8002.0
