Palmeiras,São Paulo,Fluminense,Flamengo,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Botafogo,Grêmio,Vasco da Gama,Internacional,Vitória,Santos,Corinthians,Chapecoense,Remo,Cruzeiro,Mirassol
6740.0,1496.0,571.0,947.0,161.0,27.0,4.0,42.0,6.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977.0,3242.0,1535.0,2184.0,620.0,142.0,32.0,186.0,38.0,17.0,10.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
774.0,2202.0,2144.0,2494.0,1173.0,333.0,146.0,455.0,108.0,62.0,38.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
319.0,1478.0,2241.0,1771.0,1599.0,670.0,306.0,864.0,265.0,125.0,108.0,79.0,144.0,6.0,13.0,8.0,1.0,1.0,1.0,1.0
117.0,796.0,1511.0,1126.0,1882.0,1032.0,574.0,1373.0,490.0,283.0,280.0,173.0,287.0,17.0,34.0,23.0,0.0,0.0,0.0,2.0
45.0,388.0,820.0,658.0,1542.0,1417.0,848.0,1573.0,796.0,482.0,434.0,330.0,478.0,45.0,80.0,53.0,0.0,5.0,3.0,3.0
18.0,188.0,527.0,364.0,1051.0,1412.0,1142.0,1458.0,1034.0,684.0,648.0,438.0,669.0,100.0,144.0,81.0,1.0,16.0,11.0,14.0
4.0,115.0,307.0,210.0,739.0,1220.0,1207.0,1166.0,1164.0,819.0,809.0,688.0,905.0,141.0,243.0,184.0,5.0,25.0,29.0,20.0
4.0,48.0,164.0,112.0,514.0,1000.0,1244.0,937.0,1207.0,931.0,972.0,893.0,982.0,214.0,399.0,239.0,17.0,40.0,42.0,41.0
1.0,22.0,79.0,60.0,286.0,840.0,1145.0,646.0,1121.0,1115.0,1082.0,997.0,1182.0,335.0,487.0,349.0,16.0,75.0,83.0,79.0
0.0,12.0,54.0,36.0,183.0,628.0,958.0,524.0,1010.0,1131.0,1099.0,1096.0,1112.0,489.0,695.0,541.0,54.0,141.0,119.0,118.0
0.0,7.0,31.0,23.0,114.0,441.0,748.0,314.0,875.0,1093.0,1085.0,1179.0,1066.0,642.0,843.0,745.0,87.0,248.0,224.0,235.0
1.0,3.0,8.0,9.0,70.0,344.0,609.0,210.0,654.0,956.0,999.0,1087.0,978.0,847.0,1064.0,985.0,143.0,363.0,350.0,320.0
0.0,2.0,6.0,4.0,34.0,237.0,403.0,125.0,495.0,809.0,794.0,984.0,757.0,1064.0,1268.0,1196.0,247.0,549.0,481.0,545.0
0.0,0.0,2.0,2.0,20.0,124.0,288.0,65.0,323.0,603.0,645.0,743.0,562.0,1274.0,1302.0,1339.0,456.0,784.0,710.0,758.0
0.0,1.0,0.0,0.0,6.0,71.0,180.0,36.0,213.0,395.0,430.0,542.0,369.0,1292.0,1175.0,1331.0,718.0,1130.0,1028.0,1083.0
0.0,0.0,0.0,0.0,4.0,35.0,105.0,20.0,105.0,249.0,282.0,384.0,238.0,1275.0,936.0,1132.0,1067.0,1415.0,1358.0,1395.0
0.0,0.0,0.0,0.0,2.0,19.0,46.0,5.0,60.0,138.0,152.0,223.0,134.0,1074.0,692.0,868.0,1589.0,1601.0,1666.0,1731.0
0.0,0.0,0.0,0.0,0.0,7.0,12.0,1.0,29.0,81.0,95.0,102.0,56.0,759.0,454.0,589.0,2127.0,1797.0,1937.0,1954.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,26.0,35.0,33.0,21.0,426.0,171.0,337.0,3472.0,1810.0,1958.0,1700.0
