Coventry City,Millwall,Ipswich Town,Middlesbrough,Hull City,Southampton,Wrexham,Derby County,Norwich City,Watford,Bristol City,Queens Park Rangers,Stoke City,Preston North End,Swansea City,Birmingham City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9957.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,568.0,7263.0,2013.0,8.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2785.0,1710.0,4634.0,122.0,746.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4386.0,725.0,2558.0,525.0,1766.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1901.0,221.0,679.0,2228.0,4413.0,228.0,322.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,343.0,37.0,108.0,4856.0,2161.0,1002.0,1385.0,101.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,1.0,8.0,1667.0,608.0,3454.0,3572.0,481.0,49.0,67.0,61.0,10.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,512.0,184.0,3871.0,3245.0,1228.0,260.0,280.0,253.0,62.0,19.0,28.0,52.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,75.0,14.0,1054.0,999.0,3209.0,1177.0,1417.0,965.0,366.0,116.0,189.0,336.0,59.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,3.0,277.0,316.0,1963.0,1989.0,1665.0,1408.0,714.0,313.0,354.0,698.0,220.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,71.0,109.0,1189.0,1805.0,1596.0,1580.0,1043.0,547.0,580.0,962.0,374.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,33.0,798.0,1515.0,1461.0,1479.0,1254.0,738.0,740.0,1116.0,580.0,271.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,494.0,1175.0,1200.0,1217.0,1437.0,993.0,961.0,1281.0,836.0,393.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,814.0,948.0,1124.0,1393.0,1136.0,1249.0,1362.0,1139.0,550.0,20.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,600.0,721.0,877.0,1332.0,1340.0,1385.0,1298.0,1392.0,811.0,55.0,3.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,383.0,436.0,600.0,1106.0,1552.0,1654.0,1194.0,1691.0,1121.0,153.0,25.0,22.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,186.0,165.0,341.0,841.0,1716.0,1567.0,1017.0,1821.0,1856.0,303.0,107.0,42.0,13.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,39.0,92.0,368.0,1286.0,1122.0,577.0,1363.0,3364.0,947.0,494.0,160.0,116.0,29.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,66.0,215.0,155.0,97.0,418.0,1012.0,4053.0,2385.0,631.0,719.0,244.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,15.0,6.0,89.0,286.0,2469.0,3692.0,1353.0,1269.0,785.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,84.0,1328.0,2195.0,2423.0,2047.0,1911.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,548.0,870.0,2494.0,2671.0,3405.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0,229.0,2868.0,3165.0,3623.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
