Coventry City,Ipswich Town,Millwall,Southampton,Middlesbrough,Hull City,Wrexham,Derby County,Norwich City,Bristol City,Queens Park Rangers,Watford,Preston North End,Swansea City,Birmingham City,Stoke City,Sheffield United,Charlton Athletic,Portsmouth,Blackburn Rovers,West Bromwich Albion,Oxford United,Leicester City,Sheffield Wednesday
9930.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,7393.0,773.0,863.0,900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1418.0,2937.0,2766.0,2849.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,709.0,3072.0,2976.0,3119.0,123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,404.0,2986.0,2992.0,2911.0,662.0,31.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,227.0,392.0,215.0,6892.0,1013.0,1184.0,67.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,10.0,6.0,1803.0,3943.0,3713.0,363.0,48.0,38.0,13.0,5.0,25.0,21.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,453.0,3909.0,3550.0,1092.0,271.0,226.0,60.0,44.0,134.0,203.0,23.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,36.0,872.0,989.0,2844.0,1521.0,747.0,388.0,327.0,664.0,1179.0,180.0,250.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,189.0,350.0,1840.0,1612.0,1170.0,778.0,572.0,952.0,1520.0,481.0,528.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,39.0,142.0,1258.0,1446.0,1285.0,1047.0,818.0,1078.0,1374.0,653.0,820.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,908.0,1325.0,1304.0,1093.0,952.0,1183.0,1325.0,878.0,926.0,51.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,646.0,1203.0,1243.0,1293.0,1057.0,1169.0,1179.0,988.0,1058.0,123.0,29.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,912.0,1279.0,1360.0,1222.0,1296.0,971.0,1045.0,1228.0,178.0,69.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,702.0,1146.0,1305.0,1419.0,1227.0,859.0,1374.0,1284.0,288.0,111.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,605.0,939.0,1248.0,1449.0,1121.0,682.0,1614.0,1321.0,595.0,208.0,4.0,26.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,304.0,545.0,1121.0,1666.0,845.0,482.0,1611.0,1669.0,1024.0,527.0,30.0,115.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,76.0,278.0,436.0,291.0,186.0,932.0,718.0,4168.0,1888.0,200.0,661.0,84.0,23.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,33.0,14.0,19.0,206.0,136.0,2110.0,3427.0,1001.0,2364.0,532.0,142.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,11.0,25.0,968.0,2017.0,2205.0,3154.0,1233.0,384.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,1081.0,3539.0,2105.0,2028.0,883.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,516.0,2258.0,1262.0,3987.0,1895.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,113.0,763.0,310.0,2135.0,6673.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
