Palmeiras,Flamengo,Fluminense,Athletico Paranaense,Red Bull Bragantino,Coritiba,São Paulo,Bahia,Cruzeiro,Botafogo,Vitória,Atlético-MG,Internacional,Grêmio,Corinthians,Vasco da Gama,Santos,Mirassol,Remo,Chapecoense
9423.0,426.0,83.0,22.0,30.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
485.0,5536.0,1569.0,717.0,756.0,603.0,226.0,12.0,22.0,20.0,6.0,6.0,30.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
72.0,1988.0,2494.0,1494.0,1523.0,1343.0,624.0,47.0,83.0,99.0,19.0,35.0,134.0,31.0,12.0,2.0,0.0,0.0,0.0,0.0
15.0,997.0,1859.0,1660.0,1851.0,1574.0,956.0,98.0,196.0,220.0,69.0,86.0,269.0,97.0,40.0,5.0,7.0,1.0,0.0,0.0
4.0,510.0,1400.0,1665.0,1724.0,1580.0,1239.0,235.0,287.0,373.0,125.0,181.0,411.0,153.0,64.0,29.0,20.0,0.0,0.0,0.0
0.0,239.0,951.0,1343.0,1374.0,1461.0,1293.0,399.0,527.0,577.0,260.0,301.0,729.0,313.0,151.0,44.0,32.0,2.0,4.0,0.0
1.0,136.0,608.0,1063.0,1010.0,1128.0,1422.0,636.0,714.0,854.0,373.0,438.0,844.0,428.0,193.0,80.0,53.0,9.0,10.0,0.0
0.0,79.0,419.0,674.0,647.0,778.0,1144.0,814.0,833.0,1078.0,534.0,611.0,1057.0,678.0,354.0,146.0,114.0,20.0,20.0,0.0
0.0,39.0,253.0,486.0,416.0,572.0,885.0,981.0,944.0,1105.0,692.0,768.0,1138.0,816.0,451.0,214.0,165.0,40.0,35.0,0.0
0.0,26.0,154.0,318.0,257.0,351.0,672.0,1044.0,967.0,1124.0,877.0,939.0,1084.0,941.0,659.0,273.0,211.0,53.0,50.0,0.0
0.0,11.0,93.0,229.0,170.0,234.0,509.0,1054.0,1003.0,1050.0,992.0,930.0,991.0,999.0,802.0,399.0,344.0,101.0,89.0,0.0
0.0,4.0,64.0,128.0,98.0,167.0,381.0,1035.0,940.0,945.0,1068.0,1013.0,838.0,1026.0,909.0,582.0,504.0,158.0,140.0,0.0
0.0,5.0,32.0,76.0,69.0,103.0,232.0,954.0,928.0,767.0,1083.0,1060.0,718.0,1048.0,1056.0,730.0,670.0,265.0,204.0,0.0
0.0,1.0,10.0,62.0,35.0,44.0,176.0,824.0,844.0,612.0,1033.0,1044.0,608.0,1017.0,1156.0,981.0,825.0,387.0,340.0,1.0
0.0,2.0,6.0,34.0,26.0,29.0,126.0,729.0,641.0,492.0,1013.0,977.0,468.0,845.0,1194.0,1166.0,1062.0,634.0,554.0,2.0
0.0,1.0,2.0,22.0,11.0,15.0,63.0,544.0,524.0,337.0,854.0,727.0,328.0,737.0,1133.0,1445.0,1500.0,985.0,769.0,3.0
0.0,0.0,3.0,6.0,3.0,8.0,39.0,326.0,330.0,214.0,552.0,490.0,212.0,478.0,976.0,1642.0,1811.0,1536.0,1351.0,23.0
0.0,0.0,0.0,1.0,0.0,0.0,8.0,204.0,167.0,98.0,325.0,289.0,106.0,272.0,598.0,1353.0,1561.0,2548.0,2394.0,76.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,63.0,49.0,35.0,124.0,105.0,32.0,109.0,245.0,883.0,1076.0,3065.0,3750.0,461.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,26.0,45.0,196.0,290.0,9434.0
