Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3407.0,6588.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6450.0,3356.0,81.0,73.0,27.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,53.0,3043.0,3700.0,1655.0,263.0,120.0,426.0,86.0,6.0,493.0,2.0,21.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0
14.0,3.0,2446.0,2552.0,1929.0,644.0,312.0,796.0,227.0,23.0,951.0,10.0,67.0,7.0,6.0,0.0,12.0,0.0,1.0,0.0
2.0,0.0,1711.0,1615.0,1854.0,944.0,545.0,1156.0,476.0,68.0,1382.0,22.0,158.0,18.0,26.0,1.0,21.0,0.0,1.0,0.0
1.0,0.0,1104.0,945.0,1522.0,1362.0,875.0,1365.0,683.0,165.0,1459.0,57.0,277.0,36.0,69.0,9.0,69.0,0.0,2.0,0.0
0.0,0.0,722.0,527.0,1087.0,1389.0,1118.0,1488.0,1011.0,239.0,1497.0,119.0,461.0,87.0,109.0,26.0,116.0,2.0,2.0,0.0
0.0,0.0,461.0,272.0,776.0,1429.0,1263.0,1312.0,1306.0,466.0,1244.0,198.0,679.0,144.0,178.0,51.0,208.0,6.0,7.0,0.0
0.0,0.0,230.0,175.0,519.0,1248.0,1337.0,1180.0,1378.0,628.0,995.0,327.0,982.0,243.0,326.0,95.0,304.0,4.0,29.0,0.0
0.0,0.0,104.0,70.0,308.0,948.0,1303.0,854.0,1353.0,974.0,802.0,507.0,1173.0,344.0,471.0,157.0,543.0,29.0,60.0,0.0
0.0,0.0,52.0,45.0,180.0,675.0,1024.0,596.0,1186.0,1256.0,476.0,736.0,1335.0,543.0,703.0,301.0,703.0,46.0,143.0,0.0
0.0,0.0,32.0,12.0,71.0,474.0,784.0,358.0,878.0,1345.0,322.0,954.0,1271.0,814.0,979.0,484.0,919.0,97.0,206.0,0.0
0.0,0.0,10.0,5.0,38.0,280.0,511.0,225.0,573.0,1334.0,179.0,1258.0,1135.0,975.0,1187.0,690.0,1127.0,179.0,294.0,0.0
0.0,0.0,3.0,4.0,15.0,174.0,348.0,131.0,387.0,1172.0,99.0,1342.0,862.0,1184.0,1294.0,915.0,1232.0,329.0,508.0,1.0
0.0,0.0,1.0,1.0,11.0,96.0,232.0,60.0,249.0,901.0,50.0,1326.0,671.0,1306.0,1284.0,1200.0,1355.0,531.0,726.0,0.0
0.0,0.0,0.0,1.0,5.0,51.0,122.0,31.0,117.0,714.0,28.0,1225.0,422.0,1308.0,1195.0,1496.0,1223.0,908.0,1154.0,0.0
0.0,0.0,0.0,0.0,1.0,18.0,67.0,15.0,56.0,414.0,10.0,1042.0,281.0,1262.0,1054.0,1623.0,1023.0,1483.0,1647.0,4.0
0.0,0.0,0.0,0.0,0.0,3.0,34.0,4.0,31.0,200.0,5.0,612.0,135.0,1023.0,740.0,1735.0,777.0,2510.0,2170.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,95.0,0.0,260.0,69.0,701.0,374.0,1203.0,365.0,3795.0,2997.0,132.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,14.0,2.0,81.0,52.0,9842.0
