Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
5.0,805.0,35.0,5.0,214.0,2.0,1048.0,3.0,1.0,2373.0,2373.0,2158.0,39.0,94.0,23.0,32.0,69.0,69.0,1.0,85.0,0.0,1.0,6.0,559.0
21.0,1455.0,124.0,29.0,248.0,3.0,1762.0,2.0,2.0,1421.0,1284.0,1374.0,159.0,144.0,74.0,131.0,199.0,94.0,6.0,253.0,2.0,1.0,18.0,1194.0
53.0,1618.0,275.0,70.0,259.0,18.0,1862.0,22.0,5.0,869.0,841.0,831.0,260.0,129.0,169.0,262.0,370.0,85.0,7.0,461.0,9.0,4.0,36.0,1485.0
103.0,1530.0,413.0,125.0,253.0,28.0,1473.0,25.0,22.0,636.0,655.0,642.0,382.0,147.0,260.0,363.0,591.0,99.0,27.0,610.0,19.0,4.0,56.0,1537.0
170.0,1235.0,600.0,184.0,278.0,45.0,1143.0,70.0,27.0,507.0,544.0,500.0,518.0,161.0,388.0,544.0,751.0,120.0,46.0,766.0,39.0,12.0,118.0,1234.0
255.0,933.0,696.0,261.0,269.0,94.0,821.0,93.0,54.0,464.0,471.0,471.0,633.0,165.0,518.0,643.0,789.0,139.0,71.0,902.0,53.0,22.0,185.0,998.0
325.0,688.0,779.0,351.0,232.0,135.0,572.0,135.0,82.0,426.0,365.0,407.0,729.0,175.0,663.0,736.0,855.0,159.0,102.0,879.0,92.0,37.0,273.0,803.0
400.0,498.0,818.0,434.0,266.0,184.0,408.0,224.0,108.0,316.0,343.0,323.0,842.0,195.0,654.0,785.0,896.0,145.0,149.0,903.0,136.0,69.0,328.0,576.0
493.0,362.0,803.0,515.0,245.0,246.0,294.0,255.0,163.0,307.0,281.0,329.0,788.0,184.0,702.0,821.0,862.0,148.0,194.0,859.0,170.0,90.0,418.0,471.0
540.0,260.0,760.0,612.0,276.0,293.0,204.0,317.0,230.0,259.0,311.0,292.0,794.0,180.0,773.0,739.0,784.0,132.0,266.0,754.0,260.0,135.0,486.0,343.0
588.0,205.0,798.0,669.0,262.0,361.0,128.0,393.0,284.0,231.0,246.0,244.0,754.0,209.0,779.0,710.0,710.0,174.0,309.0,656.0,303.0,176.0,563.0,248.0
639.0,119.0,680.0,696.0,314.0,478.0,94.0,427.0,348.0,237.0,219.0,240.0,663.0,209.0,765.0,723.0,606.0,197.0,400.0,566.0,360.0,262.0,602.0,156.0
718.0,101.0,681.0,705.0,259.0,538.0,61.0,511.0,424.0,213.0,180.0,222.0,626.0,199.0,673.0,675.0,540.0,200.0,453.0,514.0,406.0,291.0,680.0,130.0
671.0,70.0,492.0,729.0,275.0,646.0,50.0,592.0,534.0,166.0,195.0,220.0,579.0,216.0,678.0,595.0,447.0,181.0,594.0,426.0,494.0,375.0,689.0,86.0
726.0,40.0,489.0,721.0,288.0,738.0,39.0,655.0,587.0,185.0,162.0,183.0,475.0,229.0,589.0,518.0,378.0,194.0,628.0,331.0,628.0,433.0,710.0,74.0
755.0,28.0,399.0,697.0,326.0,713.0,21.0,719.0,693.0,151.0,170.0,160.0,425.0,261.0,514.0,402.0,335.0,249.0,685.0,307.0,721.0,499.0,732.0,38.0
713.0,21.0,329.0,676.0,329.0,754.0,8.0,788.0,720.0,190.0,169.0,167.0,381.0,279.0,444.0,362.0,228.0,264.0,787.0,213.0,732.0,658.0,767.0,21.0
635.0,11.0,247.0,594.0,364.0,875.0,6.0,840.0,826.0,143.0,143.0,167.0,316.0,339.0,390.0,281.0,209.0,346.0,833.0,161.0,878.0,702.0,674.0,20.0
570.0,13.0,194.0,578.0,399.0,832.0,1.0,837.0,932.0,142.0,171.0,143.0,224.0,426.0,294.0,230.0,143.0,364.0,918.0,144.0,894.0,871.0,673.0,7.0
534.0,5.0,148.0,467.0,440.0,856.0,3.0,845.0,918.0,153.0,186.0,169.0,169.0,464.0,243.0,192.0,112.0,422.0,913.0,87.0,957.0,1095.0,611.0,11.0
460.0,2.0,112.0,392.0,547.0,798.0,2.0,812.0,995.0,163.0,177.0,192.0,113.0,572.0,194.0,133.0,70.0,519.0,922.0,70.0,960.0,1208.0,583.0,4.0
358.0,1.0,83.0,276.0,833.0,690.0,0.0,721.0,1027.0,155.0,188.0,187.0,82.0,837.0,128.0,76.0,41.0,828.0,827.0,30.0,877.0,1329.0,422.0,4.0
201.0,0.0,31.0,168.0,1282.0,499.0,0.0,514.0,730.0,177.0,187.0,203.0,35.0,1583.0,65.0,37.0,12.0,1525.0,614.0,16.0,695.0,1160.0,265.0,1.0
67.0,0.0,14.0,46.0,1542.0,174.0,0.0,200.0,288.0,116.0,139.0,176.0,14.0,2603.0,20.0,10.0,3.0,3347.0,248.0,7.0,315.0,566.0,105.0,0.0
