Arouca,FC Porto,Maritimo,C.D. Nacional,Santa Clara,Benfica,Sporting CP,Gil Vicente,Estrela,Braga,FC Famalicao,Estoril,Moreirense,Académico de Viseu,Alverca,Vitória de Guimaraes,Rio Ave,Casa Pia
0.0,3969.0,12.0,0.0,0.0,2631.0,3365.0,1.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,3229.0,23.0,0.0,0.0,3174.0,3418.0,7.0,0.0,138.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
7.0,2545.0,108.0,2.0,1.0,3691.0,2909.0,40.0,0.0,644.0,37.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0
298.0,248.0,549.0,154.0,87.0,461.0,278.0,1066.0,6.0,5845.0,797.0,44.0,0.0,159.0,5.0,2.0,1.0,0.0
1036.0,8.0,812.0,607.0,392.0,35.0,28.0,2417.0,56.0,1952.0,2075.0,225.0,14.0,284.0,20.0,35.0,4.0,0.0
1461.0,1.0,813.0,993.0,661.0,6.0,2.0,1948.0,116.0,777.0,2186.0,491.0,49.0,319.0,51.0,113.0,12.0,1.0
1606.0,0.0,747.0,1225.0,1008.0,2.0,0.0,1535.0,247.0,366.0,1700.0,740.0,114.0,379.0,112.0,190.0,28.0,1.0
1582.0,0.0,732.0,1402.0,1213.0,0.0,0.0,1078.0,423.0,138.0,1191.0,1032.0,188.0,420.0,212.0,334.0,53.0,2.0
1283.0,0.0,703.0,1382.0,1350.0,0.0,0.0,756.0,663.0,64.0,784.0,1232.0,316.0,465.0,356.0,532.0,103.0,11.0
896.0,0.0,703.0,1263.0,1301.0,0.0,0.0,448.0,883.0,35.0,545.0,1345.0,511.0,523.0,535.0,783.0,199.0,30.0
709.0,0.0,689.0,1008.0,1172.0,0.0,0.0,318.0,1146.0,14.0,326.0,1246.0,704.0,561.0,775.0,979.0,307.0,46.0
461.0,0.0,640.0,782.0,959.0,0.0,0.0,187.0,1274.0,3.0,162.0,1080.0,941.0,647.0,1065.0,1172.0,513.0,114.0
288.0,0.0,647.0,513.0,760.0,0.0,0.0,103.0,1297.0,2.0,94.0,895.0,1206.0,650.0,1300.0,1375.0,668.0,202.0
179.0,0.0,586.0,334.0,504.0,0.0,0.0,56.0,1266.0,1.0,58.0,671.0,1386.0,738.0,1385.0,1379.0,1099.0,358.0
100.0,0.0,631.0,185.0,304.0,0.0,0.0,22.0,1066.0,1.0,25.0,514.0,1528.0,818.0,1502.0,1204.0,1475.0,625.0
66.0,0.0,612.0,110.0,186.0,0.0,0.0,12.0,874.0,0.0,17.0,304.0,1405.0,1029.0,1306.0,955.0,1931.0,1193.0
27.0,0.0,546.0,32.0,79.0,0.0,0.0,4.0,507.0,0.0,0.0,138.0,1117.0,1279.0,959.0,698.0,2173.0,2441.0
1.0,0.0,447.0,8.0,23.0,0.0,0.0,2.0,176.0,0.0,0.0,42.0,521.0,1705.0,417.0,248.0,1434.0,4976.0
