AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
273.0,147.0,40.0,1.0,773.0,7256.0,631.0,43.0,2.0,415.0,0.0,404.0,4.0,10.0,0.0,1.0,0.0,0.0
931.0,556.0,225.0,3.0,1958.0,1586.0,1896.0,265.0,17.0,1196.0,0.0,1252.0,18.0,86.0,0.0,3.0,4.0,4.0
1124.0,848.0,382.0,9.0,1639.0,616.0,1864.0,450.0,45.0,1364.0,0.0,1444.0,41.0,162.0,0.0,1.0,6.0,5.0
1272.0,1039.0,544.0,48.0,1441.0,270.0,1483.0,592.0,96.0,1416.0,2.0,1439.0,75.0,255.0,0.0,15.0,9.0,4.0
1280.0,1157.0,655.0,93.0,1222.0,138.0,1211.0,809.0,152.0,1311.0,3.0,1323.0,144.0,460.0,0.0,17.0,15.0,10.0
1215.0,1240.0,863.0,136.0,961.0,81.0,931.0,1077.0,247.0,1178.0,9.0,1167.0,238.0,609.0,0.0,15.0,22.0,11.0
1092.0,1221.0,1107.0,201.0,704.0,33.0,735.0,1170.0,415.0,971.0,48.0,933.0,481.0,831.0,0.0,17.0,24.0,17.0
949.0,1140.0,1221.0,354.0,531.0,14.0,530.0,1272.0,605.0,786.0,83.0,726.0,603.0,1083.0,5.0,36.0,34.0,28.0
731.0,977.0,1279.0,570.0,355.0,4.0,336.0,1242.0,873.0,573.0,106.0,557.0,930.0,1315.0,9.0,45.0,63.0,35.0
524.0,709.0,1283.0,854.0,211.0,1.0,205.0,1086.0,1283.0,385.0,247.0,366.0,1188.0,1401.0,30.0,82.0,88.0,57.0
303.0,486.0,1031.0,1270.0,112.0,1.0,105.0,902.0,1562.0,230.0,480.0,215.0,1593.0,1352.0,58.0,110.0,112.0,78.0
182.0,281.0,744.0,1715.0,56.0,0.0,47.0,579.0,1723.0,109.0,902.0,112.0,1684.0,1194.0,177.0,177.0,181.0,137.0
83.0,141.0,385.0,2107.0,30.0,0.0,19.0,345.0,1552.0,48.0,1699.0,39.0,1554.0,747.0,404.0,291.0,316.0,240.0
30.0,45.0,170.0,1628.0,6.0,0.0,7.0,132.0,925.0,16.0,2939.0,19.0,956.0,332.0,1209.0,544.0,540.0,502.0
9.0,10.0,63.0,730.0,1.0,0.0,0.0,32.0,375.0,2.0,2093.0,1.0,373.0,131.0,3134.0,1041.0,1077.0,928.0
2.0,3.0,8.0,233.0,0.0,0.0,0.0,4.0,105.0,0.0,1028.0,2.0,93.0,26.0,2974.0,1960.0,1927.0,1635.0
0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,23.0,0.0,321.0,1.0,23.0,5.0,1567.0,2696.0,2583.0,2737.0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,2.0,1.0,433.0,2949.0,2999.0,3572.0
