Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6558.0,2940.0,333.0,57.0,69.0,17.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2603.0,4792.0,1325.0,413.0,390.0,159.0,164.0,40.0,80.0,21.0,5.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
576.0,1393.0,3296.0,1346.0,1380.0,594.0,594.0,240.0,382.0,85.0,27.0,52.0,9.0,9.0,6.0,8.0,1.0,2.0,0.0,0.0
191.0,509.0,1961.0,1809.0,1757.0,1035.0,1059.0,482.0,707.0,220.0,63.0,88.0,40.0,31.0,15.0,26.0,4.0,3.0,0.0,0.0
46.0,208.0,1174.0,1642.0,1630.0,1266.0,1329.0,766.0,900.0,390.0,141.0,210.0,91.0,65.0,62.0,53.0,21.0,5.0,1.0,0.0
17.0,93.0,789.0,1346.0,1336.0,1368.0,1417.0,983.0,1001.0,522.0,203.0,349.0,170.0,138.0,100.0,107.0,52.0,9.0,0.0,0.0
5.0,34.0,470.0,1042.0,1064.0,1248.0,1321.0,1133.0,1234.0,750.0,296.0,513.0,218.0,195.0,156.0,204.0,94.0,21.0,2.0,0.0
3.0,14.0,286.0,738.0,784.0,1087.0,1122.0,1203.0,1257.0,927.0,482.0,714.0,327.0,304.0,264.0,303.0,133.0,46.0,6.0,0.0
0.0,12.0,156.0,600.0,573.0,877.0,930.0,1188.0,1075.0,1042.0,630.0,886.0,532.0,452.0,342.0,388.0,220.0,83.0,13.0,1.0
1.0,4.0,91.0,342.0,381.0,715.0,632.0,1095.0,936.0,1144.0,814.0,1004.0,678.0,640.0,496.0,538.0,336.0,130.0,22.0,1.0
0.0,0.0,45.0,268.0,260.0,537.0,531.0,820.0,724.0,1096.0,889.0,1151.0,818.0,825.0,631.0,670.0,500.0,181.0,51.0,3.0
0.0,0.0,41.0,189.0,161.0,406.0,326.0,641.0,537.0,1020.0,1018.0,1111.0,1020.0,928.0,826.0,805.0,599.0,300.0,69.0,3.0
0.0,0.0,19.0,92.0,90.0,294.0,235.0,497.0,413.0,787.0,1104.0,960.0,1107.0,1069.0,1000.0,984.0,812.0,411.0,114.0,12.0
0.0,1.0,9.0,56.0,64.0,183.0,139.0,361.0,309.0,693.0,1076.0,866.0,1092.0,1116.0,1035.0,1088.0,1019.0,638.0,240.0,15.0
0.0,0.0,5.0,32.0,31.0,94.0,104.0,248.0,207.0,526.0,1004.0,709.0,1092.0,1161.0,1168.0,1168.0,1230.0,827.0,365.0,29.0
0.0,0.0,0.0,14.0,13.0,67.0,47.0,165.0,123.0,369.0,888.0,591.0,978.0,1080.0,1308.0,1162.0,1377.0,1136.0,624.0,58.0
0.0,0.0,0.0,12.0,12.0,35.0,23.0,82.0,71.0,235.0,696.0,439.0,844.0,942.0,1238.0,1103.0,1501.0,1645.0,975.0,147.0
0.0,0.0,0.0,1.0,4.0,16.0,5.0,39.0,31.0,127.0,455.0,252.0,655.0,709.0,848.0,891.0,1291.0,2375.0,1840.0,461.0
0.0,0.0,0.0,1.0,0.0,2.0,5.0,13.0,7.0,44.0,183.0,91.0,290.0,295.0,453.0,440.0,699.0,1713.0,4089.0,1675.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,26.0,11.0,37.0,41.0,50.0,61.0,111.0,475.0,1589.0,7595.0
