Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,AFC Bournemouth,Brighton & Hove Albion,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6376.0,3624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3624.0,6368.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,5558.0,2780.0,1650.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3028.0,3977.0,2938.0,29.0,8.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1349.0,3058.0,4755.0,396.0,97.0,131.0,149.0,37.0,16.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,50.0,169.0,501.0,3182.0,1024.0,1399.0,2197.0,791.0,392.0,259.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,13.0,112.0,2042.0,1504.0,1776.0,1991.0,1236.0,640.0,560.0,72.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,38.0,1452.0,1645.0,1839.0,1705.0,1393.0,840.0,834.0,150.0,89.0,15.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,1077.0,1730.0,1553.0,1393.0,1551.0,1075.0,1132.0,250.0,197.0,37.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,837.0,1673.0,1267.0,1081.0,1657.0,1297.0,1376.0,410.0,333.0,67.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,568.0,1183.0,999.0,722.0,1438.0,1628.0,1886.0,759.0,647.0,161.0,9.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,288.0,711.0,648.0,485.0,1138.0,2038.0,1875.0,1209.0,1188.0,399.0,21.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,101.0,305.0,274.0,191.0,552.0,1309.0,1188.0,2573.0,2272.0,1087.0,142.0,3.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,23.0,108.0,88.0,63.0,174.0,625.0,665.0,2802.0,2988.0,2081.0,337.0,37.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,12.0,15.0,15.0,31.0,137.0,209.0,1541.0,1798.0,4785.0,1213.0,167.0,75.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,204.0,404.0,1172.0,6248.0,1251.0,713.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,171.0,1700.0,4494.0,3601.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,329.0,4048.0,5599.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7692.0,2308.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.0,7692.0
