Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Brighton & Hove Albion,Sunderland,AFC Bournemouth,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
9043.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957.0,9031.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,4861.0,3519.0,1423.0,146.0,8.0,9.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3074.0,3748.0,2290.0,568.0,75.0,77.0,124.0,28.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1486.0,2022.0,3287.0,1724.0,358.0,359.0,551.0,113.0,64.0,27.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,386.0,537.0,1708.0,2810.0,979.0,994.0,1573.0,453.0,304.0,173.0,27.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,133.0,125.0,774.0,1766.0,1696.0,1565.0,1922.0,734.0,662.0,376.0,101.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,34.0,31.0,297.0,1213.0,1856.0,1704.0,1749.0,1003.0,948.0,661.0,190.0,313.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,17.0,9.0,147.0,793.0,1646.0,1608.0,1429.0,1277.0,1288.0,931.0,315.0,528.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,5.0,55.0,494.0,1298.0,1400.0,1092.0,1491.0,1593.0,1225.0,531.0,783.0,32.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,16.0,291.0,975.0,1083.0,758.0,1733.0,1643.0,1384.0,817.0,1221.0,76.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,142.0,616.0,707.0,470.0,1513.0,1573.0,1831.0,1319.0,1614.0,204.0,6.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,48.0,343.0,369.0,211.0,1063.0,1070.0,1750.0,2340.0,2201.0,550.0,49.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,140.0,110.0,87.0,520.0,663.0,1382.0,3079.0,2328.0,1438.0,177.0,66.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,14.0,68.0,176.0,253.0,1153.0,711.0,5853.0,1134.0,426.0,188.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,117.0,92.0,1395.0,5169.0,1838.0,1379.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,367.0,2459.0,4061.0,3105.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,1004.0,3600.0,5319.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7480.0,2516.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.0,7482.0
