Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
8391.0,21.0,4.0,311.0,977.0,1.0,7.0,6.0,1.0,6.0,0.0,119.0,34.0,1.0,0.0,3.0,0.0,118.0
1216.0,266.0,84.0,1769.0,4153.0,13.0,73.0,147.0,29.0,94.0,2.0,897.0,315.0,28.0,6.0,39.0,0.0,869.0
277.0,590.0,272.0,2113.0,2096.0,58.0,201.0,372.0,109.0,244.0,2.0,1388.0,657.0,81.0,22.0,119.0,0.0,1399.0
75.0,827.0,410.0,1699.0,1103.0,99.0,358.0,580.0,198.0,375.0,10.0,1473.0,935.0,181.0,52.0,213.0,1.0,1411.0
28.0,935.0,524.0,1193.0,673.0,178.0,509.0,667.0,338.0,524.0,22.0,1337.0,1073.0,244.0,75.0,307.0,0.0,1373.0
10.0,1035.0,662.0,886.0,407.0,277.0,611.0,844.0,398.0,663.0,32.0,1112.0,1098.0,324.0,141.0,428.0,0.0,1072.0
3.0,957.0,818.0,645.0,234.0,393.0,726.0,913.0,490.0,698.0,64.0,866.0,976.0,521.0,232.0,566.0,2.0,896.0
0.0,984.0,836.0,452.0,155.0,462.0,823.0,912.0,618.0,834.0,68.0,707.0,927.0,564.0,293.0,663.0,3.0,699.0
0.0,839.0,866.0,320.0,79.0,571.0,907.0,904.0,736.0,857.0,143.0,591.0,868.0,653.0,370.0,734.0,9.0,553.0
0.0,804.0,898.0,189.0,56.0,720.0,881.0,869.0,833.0,852.0,175.0,431.0,757.0,760.0,536.0,802.0,4.0,433.0
0.0,659.0,880.0,151.0,29.0,863.0,917.0,747.0,870.0,862.0,259.0,350.0,607.0,870.0,670.0,880.0,21.0,365.0
0.0,628.0,836.0,120.0,19.0,917.0,914.0,777.0,926.0,859.0,393.0,258.0,516.0,904.0,719.0,905.0,52.0,257.0
0.0,501.0,796.0,66.0,11.0,1040.0,788.0,692.0,931.0,838.0,555.0,173.0,443.0,1018.0,886.0,985.0,69.0,208.0
0.0,420.0,739.0,48.0,3.0,1165.0,749.0,594.0,947.0,760.0,755.0,137.0,307.0,1023.0,1109.0,934.0,148.0,162.0
0.0,273.0,584.0,26.0,4.0,1138.0,670.0,480.0,1006.0,662.0,1164.0,90.0,253.0,1024.0,1317.0,944.0,268.0,97.0
0.0,167.0,474.0,9.0,1.0,1093.0,520.0,301.0,866.0,505.0,1858.0,53.0,165.0,928.0,1620.0,805.0,577.0,58.0
0.0,81.0,258.0,3.0,0.0,766.0,274.0,165.0,551.0,302.0,3064.0,17.0,57.0,707.0,1509.0,561.0,1659.0,26.0
0.0,13.0,59.0,0.0,0.0,246.0,72.0,30.0,153.0,65.0,1434.0,1.0,12.0,169.0,443.0,112.0,7187.0,4.0
