Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Middlesbrough,Bristol City,West Bromwich Albion,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
570.0,116.0,97.0,4227.0,841.0,110.0,55.0,106.0,139.0,307.0,131.0,1968.0,13.0,8.0,1.0,81.0,0.0,1082.0,0.0,73.0,2.0,6.0,67.0,0.0
830.0,230.0,204.0,2087.0,1159.0,206.0,114.0,281.0,250.0,508.0,283.0,1900.0,25.0,33.0,0.0,180.0,0.0,1311.0,0.0,205.0,13.0,18.0,160.0,3.0
889.0,344.0,326.0,1194.0,1180.0,343.0,208.0,366.0,383.0,702.0,380.0,1426.0,60.0,54.0,1.0,276.0,0.0,1256.0,2.0,296.0,18.0,41.0,250.0,5.0
919.0,422.0,382.0,719.0,1096.0,454.0,309.0,409.0,463.0,710.0,453.0,1098.0,92.0,91.0,2.0,392.0,1.0,1098.0,6.0,369.0,37.0,58.0,398.0,22.0
873.0,499.0,451.0,525.0,978.0,498.0,378.0,537.0,504.0,797.0,539.0,798.0,148.0,121.0,3.0,418.0,2.0,912.0,7.0,424.0,56.0,75.0,420.0,37.0
823.0,606.0,541.0,357.0,843.0,536.0,409.0,580.0,579.0,764.0,542.0,613.0,160.0,152.0,6.0,510.0,1.0,796.0,8.0,489.0,78.0,98.0,465.0,44.0
750.0,595.0,562.0,251.0,680.0,563.0,482.0,606.0,573.0,732.0,633.0,519.0,233.0,211.0,8.0,532.0,5.0,691.0,9.0,545.0,102.0,171.0,493.0,54.0
657.0,612.0,585.0,205.0,630.0,640.0,497.0,647.0,619.0,684.0,608.0,390.0,239.0,253.0,17.0,532.0,4.0,591.0,28.0,602.0,139.0,187.0,564.0,70.0
625.0,662.0,613.0,120.0,505.0,595.0,578.0,627.0,638.0,691.0,656.0,297.0,340.0,305.0,19.0,587.0,9.0,464.0,21.0,612.0,173.0,198.0,564.0,101.0
573.0,597.0,649.0,104.0,431.0,637.0,609.0,649.0,620.0,608.0,661.0,241.0,360.0,359.0,27.0,628.0,21.0,381.0,45.0,600.0,208.0,258.0,621.0,113.0
461.0,602.0,635.0,67.0,362.0,658.0,609.0,652.0,655.0,575.0,712.0,194.0,427.0,379.0,52.0,598.0,18.0,323.0,58.0,623.0,254.0,349.0,586.0,151.0
373.0,628.0,656.0,46.0,300.0,601.0,645.0,692.0,619.0,528.0,590.0,151.0,475.0,465.0,50.0,610.0,40.0,236.0,83.0,625.0,326.0,406.0,629.0,226.0
391.0,608.0,644.0,34.0,243.0,651.0,641.0,602.0,636.0,473.0,560.0,110.0,569.0,502.0,82.0,582.0,47.0,221.0,97.0,645.0,353.0,449.0,625.0,235.0
308.0,596.0,594.0,26.0,213.0,639.0,640.0,585.0,556.0,388.0,561.0,97.0,597.0,591.0,116.0,616.0,62.0,162.0,151.0,629.0,435.0,507.0,619.0,312.0
238.0,567.0,545.0,11.0,147.0,602.0,631.0,543.0,569.0,354.0,518.0,70.0,687.0,661.0,174.0,575.0,84.0,145.0,173.0,607.0,519.0,621.0,566.0,393.0
200.0,511.0,528.0,11.0,119.0,510.0,602.0,472.0,499.0,319.0,461.0,40.0,742.0,743.0,236.0,582.0,136.0,109.0,233.0,552.0,601.0,705.0,633.0,456.0
173.0,454.0,532.0,5.0,95.0,454.0,623.0,421.0,419.0,245.0,443.0,32.0,792.0,735.0,305.0,537.0,206.0,78.0,359.0,551.0,700.0,730.0,530.0,581.0
121.0,401.0,420.0,3.0,66.0,364.0,521.0,375.0,369.0,201.0,402.0,26.0,830.0,840.0,409.0,522.0,309.0,54.0,449.0,433.0,860.0,817.0,469.0,739.0
102.0,316.0,363.0,4.0,50.0,327.0,464.0,327.0,324.0,159.0,297.0,13.0,796.0,852.0,590.0,400.0,424.0,44.0,647.0,344.0,985.0,864.0,434.0,874.0
55.0,278.0,260.0,3.0,25.0,250.0,379.0,211.0,251.0,112.0,254.0,10.0,786.0,829.0,853.0,315.0,638.0,21.0,892.0,323.0,947.0,948.0,355.0,1005.0
47.0,178.0,211.0,1.0,22.0,182.0,288.0,158.0,175.0,73.0,144.0,2.0,660.0,668.0,1181.0,256.0,954.0,17.0,1247.0,191.0,1032.0,826.0,263.0,1224.0
17.0,101.0,129.0,0.0,11.0,107.0,179.0,83.0,95.0,45.0,115.0,3.0,467.0,608.0,1577.0,165.0,1410.0,5.0,1580.0,156.0,960.0,787.0,147.0,1253.0
4.0,54.0,54.0,0.0,3.0,51.0,101.0,47.0,46.0,19.0,42.0,2.0,340.0,360.0,2127.0,77.0,2134.0,3.0,1892.0,81.0,711.0,558.0,101.0,1193.0
1.0,23.0,19.0,0.0,1.0,22.0,38.0,24.0,19.0,6.0,15.0,0.0,162.0,180.0,2164.0,29.0,3495.0,0.0,2013.0,25.0,491.0,323.0,41.0,909.0
