FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3898.0,3999.0,6.0,0.0,1968.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3327.0,3369.0,23.0,11.0,2845.0,87.0,1.0,0.0,326.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
2159.0,2160.0,138.0,69.0,3815.0,370.0,3.0,18.0,1157.0,5.0,12.0,8.0,0.0,82.0,0.0,1.0,3.0,0.0
493.0,399.0,910.0,534.0,1002.0,1695.0,66.0,223.0,3881.0,59.0,142.0,73.0,10.0,437.0,1.0,21.0,54.0,0.0
94.0,53.0,1539.0,1069.0,255.0,2244.0,199.0,498.0,2027.0,210.0,379.0,217.0,50.0,936.0,6.0,68.0,155.0,1.0
14.0,11.0,1572.0,1306.0,69.0,1697.0,358.0,730.0,1028.0,341.0,615.0,362.0,143.0,1274.0,10.0,158.0,309.0,3.0
10.0,8.0,1365.0,1334.0,26.0,1184.0,535.0,924.0,582.0,509.0,780.0,501.0,210.0,1292.0,29.0,241.0,457.0,13.0
1.0,0.0,1134.0,1179.0,12.0,823.0,652.0,1024.0,338.0,690.0,944.0,672.0,291.0,1223.0,39.0,358.0,592.0,28.0
3.0,0.0,879.0,1075.0,5.0,599.0,779.0,1031.0,235.0,787.0,951.0,825.0,402.0,1096.0,76.0,500.0,714.0,43.0
1.0,1.0,752.0,947.0,2.0,454.0,878.0,1037.0,140.0,875.0,1042.0,890.0,498.0,914.0,116.0,576.0,811.0,66.0
0.0,0.0,530.0,744.0,1.0,313.0,1065.0,974.0,79.0,939.0,1070.0,1023.0,623.0,708.0,193.0,728.0,898.0,112.0
0.0,0.0,394.0,564.0,0.0,213.0,1035.0,863.0,41.0,1051.0,961.0,1050.0,844.0,637.0,279.0,851.0,1045.0,172.0
0.0,0.0,278.0,439.0,0.0,134.0,1041.0,822.0,26.0,1024.0,868.0,1058.0,968.0,511.0,418.0,1046.0,1075.0,292.0
0.0,0.0,221.0,303.0,0.0,85.0,1039.0,709.0,12.0,1093.0,801.0,1061.0,1183.0,345.0,593.0,1133.0,987.0,435.0
0.0,0.0,127.0,234.0,0.0,56.0,904.0,496.0,10.0,963.0,650.0,890.0,1403.0,268.0,996.0,1267.0,1000.0,736.0
0.0,0.0,78.0,108.0,0.0,20.0,770.0,373.0,3.0,748.0,467.0,732.0,1509.0,160.0,1515.0,1332.0,916.0,1269.0
0.0,0.0,37.0,60.0,0.0,11.0,476.0,204.0,0.0,469.0,231.0,426.0,1194.0,87.0,2686.0,1058.0,656.0,2405.0
0.0,0.0,17.0,24.0,0.0,2.0,199.0,74.0,0.0,236.0,86.0,212.0,671.0,21.0,3043.0,662.0,328.0,4425.0
