AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
1008.0,6804.0,524.0,823.0,36.0,3.0,330.0,9.0,418.0,26.0,15.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
2148.0,1788.0,1421.0,1975.0,145.0,25.0,1010.0,85.0,1149.0,121.0,93.0,1.0,16.0,0.0,0.0,0.0,23.0,0.0
1835.0,769.0,1618.0,1913.0,318.0,74.0,1339.0,184.0,1407.0,245.0,162.0,17.0,43.0,2.0,0.0,0.0,74.0,0.0
1523.0,344.0,1579.0,1586.0,559.0,149.0,1385.0,310.0,1572.0,447.0,288.0,23.0,94.0,6.0,0.0,0.0,135.0,0.0
1203.0,151.0,1529.0,1281.0,732.0,221.0,1484.0,454.0,1442.0,601.0,459.0,52.0,167.0,12.0,0.0,0.0,212.0,0.0
834.0,81.0,1081.0,898.0,1030.0,368.0,1327.0,744.0,1232.0,892.0,660.0,111.0,313.0,32.0,0.0,0.0,397.0,0.0
530.0,35.0,829.0,591.0,1216.0,608.0,1041.0,956.0,963.0,1005.0,917.0,201.0,443.0,79.0,3.0,1.0,582.0,0.0
361.0,20.0,587.0,377.0,1249.0,767.0,765.0,1099.0,655.0,1183.0,1058.0,321.0,658.0,137.0,3.0,3.0,757.0,0.0
253.0,3.0,350.0,239.0,1154.0,1014.0,514.0,1104.0,450.0,1195.0,1204.0,501.0,836.0,221.0,5.0,1.0,956.0,0.0
143.0,2.0,209.0,142.0,1016.0,1197.0,344.0,1202.0,319.0,1145.0,1139.0,666.0,998.0,342.0,13.0,15.0,1108.0,0.0
99.0,3.0,139.0,85.0,856.0,1202.0,206.0,1119.0,174.0,994.0,1210.0,921.0,1160.0,536.0,33.0,33.0,1229.0,1.0
39.0,0.0,78.0,53.0,677.0,1303.0,134.0,996.0,120.0,835.0,1023.0,1227.0,1291.0,825.0,66.0,66.0,1263.0,4.0
17.0,0.0,36.0,28.0,507.0,1251.0,70.0,811.0,57.0,669.0,806.0,1587.0,1390.0,1224.0,154.0,132.0,1252.0,9.0
6.0,0.0,16.0,5.0,329.0,970.0,37.0,537.0,39.0,377.0,600.0,1936.0,1292.0,1948.0,424.0,388.0,1061.0,35.0
1.0,0.0,3.0,3.0,143.0,627.0,13.0,302.0,3.0,226.0,289.0,1635.0,961.0,2806.0,1126.0,988.0,692.0,182.0
0.0,0.0,1.0,1.0,28.0,175.0,1.0,74.0,0.0,33.0,67.0,593.0,265.0,1315.0,3302.0,3097.0,202.0,846.0
0.0,0.0,0.0,0.0,5.0,41.0,0.0,13.0,0.0,5.0,10.0,187.0,60.0,431.0,3299.0,3661.0,53.0,2235.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,21.0,10.0,84.0,1572.0,1615.0,3.0,6688.0
