AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
793.0,196.0,922.0,640.0,373.0,1.0,2008.0,560.0,3.0,208.0,10.0,4216.0,0.0,24.0,8.0,33.0,0.0,5.0
1062.0,366.0,1263.0,923.0,682.0,11.0,1993.0,890.0,10.0,352.0,32.0,2204.0,0.0,78.0,19.0,96.0,4.0,15.0
1210.0,540.0,1355.0,1066.0,828.0,14.0,1608.0,1037.0,38.0,556.0,65.0,1270.0,2.0,155.0,46.0,167.0,10.0,33.0
1229.0,684.0,1231.0,1136.0,985.0,45.0,1176.0,1124.0,63.0,699.0,133.0,823.0,3.0,252.0,89.0,252.0,12.0,64.0
1112.0,791.0,1078.0,1098.0,1032.0,93.0,927.0,1137.0,115.0,908.0,162.0,547.0,13.0,334.0,144.0,366.0,37.0,106.0
1005.0,952.0,968.0,1054.0,1075.0,120.0,703.0,1093.0,151.0,906.0,275.0,345.0,17.0,456.0,200.0,463.0,53.0,164.0
873.0,961.0,837.0,926.0,1047.0,184.0,537.0,993.0,253.0,989.0,371.0,216.0,46.0,571.0,311.0,548.0,97.0,240.0
774.0,973.0,675.0,816.0,954.0,279.0,370.0,858.0,314.0,939.0,515.0,170.0,81.0,690.0,391.0,750.0,133.0,318.0
574.0,916.0,503.0,651.0,817.0,432.0,252.0,666.0,497.0,952.0,644.0,97.0,105.0,866.0,553.0,839.0,208.0,428.0
418.0,828.0,401.0,521.0,665.0,568.0,169.0,505.0,669.0,855.0,737.0,52.0,150.0,964.0,723.0,893.0,332.0,550.0
345.0,740.0,284.0,410.0,463.0,669.0,103.0,380.0,772.0,735.0,932.0,22.0,253.0,927.0,847.0,926.0,479.0,713.0
207.0,616.0,180.0,287.0,379.0,887.0,60.0,316.0,913.0,555.0,995.0,21.0,322.0,995.0,916.0,937.0,599.0,815.0
167.0,501.0,132.0,199.0,283.0,1032.0,54.0,179.0,1018.0,441.0,991.0,10.0,482.0,894.0,1032.0,905.0,712.0,968.0
105.0,345.0,80.0,133.0,173.0,1117.0,21.0,103.0,1086.0,324.0,1084.0,3.0,676.0,833.0,1086.0,816.0,969.0,1046.0
56.0,263.0,59.0,81.0,131.0,1169.0,14.0,82.0,1116.0,231.0,1003.0,2.0,965.0,698.0,1063.0,712.0,1232.0,1123.0
40.0,174.0,16.0,41.0,63.0,1239.0,3.0,45.0,1113.0,204.0,882.0,2.0,1364.0,546.0,992.0,577.0,1493.0,1206.0
25.0,112.0,8.0,10.0,37.0,1179.0,0.0,26.0,1060.0,100.0,710.0,0.0,1979.0,466.0,918.0,456.0,1729.0,1185.0
5.0,42.0,8.0,8.0,13.0,961.0,2.0,6.0,809.0,46.0,459.0,0.0,3542.0,251.0,662.0,264.0,1901.0,1021.0
