Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
7102.0,2656.0,133.0,7.0,9.0,3.0,31.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0
2458.0,5636.0,919.0,69.0,88.0,25.0,254.0,4.0,14.0,2.0,8.0,10.0,31.0,13.0,433.0,3.0,22.0,8.0,3.0,0.0
336.0,1115.0,3148.0,467.0,599.0,162.0,1298.0,41.0,166.0,13.0,82.0,57.0,268.0,107.0,1768.0,42.0,170.0,123.0,38.0,0.0
73.0,347.0,1968.0,802.0,876.0,378.0,1536.0,98.0,342.0,35.0,203.0,151.0,506.0,171.0,1819.0,100.0,324.0,203.0,68.0,0.0
21.0,130.0,1218.0,1021.0,1014.0,541.0,1441.0,178.0,402.0,53.0,312.0,225.0,644.0,299.0,1456.0,174.0,437.0,290.0,144.0,0.0
5.0,57.0,822.0,961.0,975.0,642.0,1145.0,277.0,513.0,118.0,426.0,334.0,776.0,423.0,1134.0,211.0,550.0,427.0,202.0,2.0
4.0,31.0,542.0,914.0,988.0,782.0,924.0,370.0,610.0,158.0,519.0,388.0,807.0,501.0,799.0,337.0,608.0,475.0,242.0,1.0
1.0,13.0,412.0,832.0,866.0,741.0,749.0,399.0,678.0,193.0,548.0,513.0,813.0,566.0,658.0,412.0,696.0,588.0,319.0,3.0
0.0,11.0,260.0,840.0,771.0,788.0,602.0,529.0,691.0,241.0,621.0,546.0,822.0,615.0,445.0,513.0,727.0,602.0,372.0,4.0
0.0,3.0,166.0,712.0,715.0,761.0,478.0,537.0,719.0,308.0,683.0,608.0,807.0,693.0,350.0,508.0,809.0,665.0,477.0,1.0
0.0,1.0,142.0,650.0,633.0,756.0,386.0,622.0,722.0,390.0,711.0,641.0,708.0,671.0,320.0,641.0,714.0,740.0,548.0,4.0
0.0,0.0,88.0,596.0,590.0,784.0,319.0,697.0,751.0,483.0,691.0,668.0,651.0,765.0,254.0,627.0,732.0,671.0,625.0,8.0
0.0,0.0,72.0,468.0,417.0,711.0,247.0,789.0,735.0,573.0,777.0,721.0,618.0,737.0,174.0,747.0,718.0,799.0,677.0,20.0
0.0,0.0,42.0,455.0,384.0,640.0,178.0,829.0,709.0,646.0,771.0,831.0,568.0,739.0,129.0,825.0,714.0,745.0,759.0,36.0
0.0,0.0,23.0,355.0,350.0,613.0,152.0,826.0,675.0,790.0,771.0,864.0,549.0,774.0,71.0,874.0,652.0,749.0,854.0,58.0
0.0,0.0,24.0,322.0,246.0,504.0,101.0,864.0,628.0,1002.0,798.0,837.0,461.0,730.0,64.0,900.0,617.0,786.0,1019.0,97.0
0.0,0.0,16.0,232.0,225.0,462.0,77.0,948.0,618.0,1141.0,766.0,880.0,405.0,743.0,38.0,946.0,578.0,717.0,1022.0,186.0
0.0,0.0,2.0,175.0,154.0,397.0,51.0,938.0,555.0,1486.0,654.0,841.0,327.0,680.0,23.0,1027.0,483.0,693.0,1157.0,357.0
0.0,0.0,2.0,114.0,88.0,275.0,27.0,853.0,392.0,1844.0,542.0,727.0,204.0,639.0,11.0,910.0,391.0,604.0,1197.0,1180.0
0.0,0.0,1.0,8.0,12.0,35.0,4.0,201.0,80.0,524.0,117.0,157.0,32.0,134.0,0.0,202.0,58.0,115.0,277.0,8043.0
