Coventry City,Millwall,Middlesbrough,Ipswich Town,Hull City,Wrexham,Southampton,Derby County,Watford,Queens Park Rangers,Norwich City,Stoke City,Bristol City,Birmingham City,Preston North End,Swansea City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9967.0,3.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,2055.0,2328.0,5516.0,19.0,4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3475.0,3668.0,2422.0,175.0,8.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3474.0,3258.0,1595.0,651.0,141.0,875.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,808.0,618.0,352.0,3179.0,1094.0,3722.0,221.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,170.0,116.0,83.0,3618.0,2292.0,2935.0,727.0,23.0,9.0,20.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,9.0,4.0,1771.0,4104.0,1476.0,2034.0,165.0,99.0,166.0,69.0,33.0,23.0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,520.0,1786.0,563.0,4343.0,794.0,471.0,675.0,314.0,182.0,113.0,87.0,56.0,90.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,61.0,411.0,97.0,1434.0,2095.0,1059.0,1796.0,922.0,664.0,481.0,363.0,228.0,336.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,124.0,26.0,645.0,1838.0,1260.0,1656.0,1199.0,888.0,772.0,540.0,421.0,551.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,24.0,5.0,282.0,1483.0,1335.0,1449.0,1265.0,993.0,875.0,785.0,571.0,779.0,152.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,4.0,170.0,1125.0,1352.0,1183.0,1302.0,1022.0,1099.0,909.0,719.0,868.0,228.0,7.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,830.0,1209.0,942.0,1232.0,1157.0,1199.0,1052.0,891.0,1065.0,331.0,9.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,651.0,980.0,759.0,1113.0,1158.0,1301.0,1130.0,1124.0,1227.0,477.0,26.0,11.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,475.0,878.0,572.0,971.0,1179.0,1228.0,1290.0,1272.0,1316.0,705.0,59.0,37.0,6.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,304.0,695.0,435.0,765.0,1171.0,1192.0,1357.0,1540.0,1316.0,1010.0,111.0,71.0,18.0,8.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.0,454.0,259.0,539.0,983.0,1061.0,1343.0,1666.0,1325.0,1617.0,299.0,201.0,49.0,38.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,182.0,76.0,239.0,495.0,530.0,889.0,1237.0,822.0,3394.0,939.0,704.0,204.0,217.0,30.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,8.0,59.0,71.0,109.0,207.0,230.0,248.0,1330.0,3332.0,2422.0,700.0,1079.0,178.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,15.0,31.0,32.0,47.0,448.0,2586.0,3059.0,1429.0,1704.0,638.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,142.0,1663.0,2128.0,2232.0,2297.0,1533.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,800.0,1073.0,2642.0,2609.0,2840.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,291.0,2717.0,2048.0,4777.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
