Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,Mainz,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9998.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9987.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,6369.0,2331.0,695.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2455.0,4115.0,1717.0,1713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,888.0,2206.0,3550.0,3356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,276.0,1343.0,4020.0,4310.0,46.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,5.0,18.0,26.0,6528.0,2619.0,449.0,98.0,41.0,201.0,12.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,2384.0,4687.0,1468.0,331.0,150.0,861.0,83.0,6.0,27.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,724.0,1830.0,3192.0,945.0,526.0,2150.0,469.0,33.0,120.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,228.0,590.0,2377.0,1680.0,1189.0,2453.0,925.0,143.0,369.0,45.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,71.0,195.0,1360.0,2096.0,1952.0,1672.0,1377.0,392.0,794.0,90.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,58.0,674.0,1903.0,2238.0,1210.0,1756.0,715.0,1196.0,230.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,307.0,1494.0,1860.0,804.0,2040.0,1168.0,1823.0,463.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,143.0,1007.0,1223.0,458.0,1933.0,2032.0,2192.0,940.0,71.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,386.0,679.0,145.0,1061.0,3572.0,1976.0,1880.0,271.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,142.0,45.0,322.0,1807.0,1339.0,4949.0,1304.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,132.0,160.0,1351.0,7773.0,561.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,552.0,9407.0
