Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
1821.0,1458.0,834.0,630.0,601.0,471.0,680.0,118.0,410.0,62.0,344.0,313.0,415.0,339.0,526.0,222.0,268.0,259.0,224.0,5.0
1255.0,1116.0,772.0,641.0,614.0,540.0,721.0,157.0,454.0,104.0,417.0,377.0,480.0,388.0,603.0,325.0,389.0,358.0,274.0,15.0
976.0,930.0,764.0,630.0,606.0,580.0,637.0,253.0,518.0,150.0,419.0,446.0,533.0,436.0,613.0,329.0,399.0,398.0,354.0,29.0
836.0,745.0,683.0,588.0,623.0,564.0,663.0,238.0,604.0,195.0,486.0,477.0,542.0,455.0,605.0,420.0,436.0,421.0,391.0,28.0
731.0,683.0,610.0,644.0,635.0,555.0,633.0,264.0,566.0,219.0,490.0,478.0,523.0,520.0,620.0,430.0,462.0,486.0,408.0,43.0
624.0,638.0,615.0,596.0,632.0,610.0,630.0,323.0,530.0,268.0,505.0,512.0,545.0,507.0,589.0,429.0,442.0,511.0,426.0,68.0
569.0,589.0,612.0,568.0,611.0,590.0,588.0,325.0,527.0,271.0,519.0,523.0,533.0,525.0,632.0,465.0,495.0,478.0,487.0,93.0
517.0,488.0,591.0,582.0,591.0,580.0,574.0,384.0,582.0,340.0,497.0,545.0,499.0,583.0,563.0,476.0,529.0,511.0,466.0,102.0
424.0,483.0,576.0,590.0,572.0,522.0,596.0,435.0,532.0,347.0,545.0,535.0,531.0,521.0,571.0,489.0,524.0,536.0,523.0,148.0
363.0,462.0,477.0,549.0,555.0,552.0,549.0,485.0,558.0,395.0,546.0,542.0,544.0,533.0,563.0,530.0,520.0,530.0,591.0,156.0
344.0,398.0,507.0,558.0,535.0,546.0,477.0,521.0,536.0,412.0,575.0,551.0,515.0,575.0,540.0,576.0,556.0,563.0,520.0,195.0
293.0,358.0,448.0,488.0,532.0,561.0,483.0,529.0,563.0,499.0,610.0,532.0,568.0,569.0,497.0,546.0,556.0,562.0,560.0,246.0
271.0,336.0,417.0,502.0,494.0,505.0,490.0,550.0,506.0,535.0,556.0,614.0,516.0,580.0,471.0,581.0,594.0,606.0,583.0,293.0
236.0,299.0,396.0,445.0,484.0,507.0,484.0,633.0,520.0,628.0,549.0,528.0,515.0,541.0,462.0,579.0,609.0,602.0,605.0,378.0
209.0,276.0,412.0,456.0,390.0,474.0,427.0,683.0,516.0,665.0,572.0,553.0,519.0,592.0,464.0,587.0,579.0,567.0,593.0,466.0
158.0,237.0,369.0,444.0,431.0,470.0,355.0,806.0,496.0,712.0,529.0,583.0,547.0,542.0,420.0,625.0,589.0,565.0,623.0,499.0
129.0,203.0,309.0,379.0,379.0,435.0,352.0,790.0,434.0,926.0,526.0,538.0,481.0,508.0,403.0,646.0,592.0,541.0,622.0,807.0
129.0,148.0,277.0,319.0,317.0,416.0,294.0,878.0,471.0,1013.0,533.0,511.0,464.0,520.0,330.0,619.0,529.0,590.0,659.0,983.0
81.0,115.0,208.0,255.0,252.0,320.0,218.0,893.0,407.0,1135.0,452.0,494.0,438.0,428.0,303.0,646.0,506.0,536.0,622.0,1691.0
34.0,38.0,123.0,136.0,146.0,202.0,149.0,735.0,270.0,1124.0,330.0,348.0,292.0,338.0,225.0,480.0,426.0,380.0,469.0,3755.0
