AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
1010.0,751.0,852.0,811.0,692.0,116.0,861.0,699.0,416.0,608.0,437.0,971.0,64.0,362.0,341.0,406.0,291.0,312.0
873.0,726.0,766.0,726.0,664.0,158.0,832.0,668.0,473.0,641.0,499.0,807.0,98.0,461.0,407.0,474.0,355.0,372.0
789.0,700.0,758.0,707.0,678.0,239.0,711.0,690.0,513.0,601.0,493.0,783.0,135.0,472.0,450.0,502.0,369.0,410.0
736.0,648.0,704.0,733.0,657.0,233.0,698.0,637.0,524.0,645.0,521.0,722.0,156.0,541.0,452.0,513.0,440.0,440.0
750.0,592.0,703.0,660.0,635.0,305.0,662.0,647.0,579.0,595.0,542.0,698.0,189.0,553.0,497.0,519.0,458.0,416.0
627.0,583.0,610.0,625.0,626.0,335.0,689.0,612.0,573.0,655.0,545.0,653.0,262.0,517.0,516.0,587.0,499.0,486.0
618.0,564.0,639.0,588.0,618.0,377.0,606.0,638.0,582.0,602.0,551.0,575.0,289.0,563.0,549.0,578.0,527.0,536.0
583.0,596.0,607.0,611.0,624.0,425.0,609.0,587.0,562.0,560.0,524.0,575.0,317.0,569.0,583.0,577.0,544.0,547.0
508.0,597.0,601.0,546.0,587.0,496.0,582.0,583.0,597.0,560.0,551.0,577.0,349.0,557.0,638.0,569.0,575.0,527.0
517.0,576.0,529.0,536.0,545.0,550.0,526.0,587.0,595.0,600.0,601.0,541.0,431.0,530.0,596.0,599.0,573.0,568.0
479.0,552.0,544.0,520.0,554.0,579.0,553.0,580.0,587.0,521.0,633.0,469.0,423.0,663.0,615.0,526.0,579.0,623.0
461.0,549.0,512.0,515.0,501.0,634.0,478.0,551.0,578.0,521.0,580.0,501.0,524.0,592.0,653.0,620.0,607.0,623.0
488.0,487.0,475.0,525.0,500.0,662.0,499.0,512.0,556.0,553.0,589.0,425.0,586.0,640.0,609.0,629.0,636.0,629.0
430.0,495.0,408.0,442.0,520.0,763.0,447.0,472.0,637.0,509.0,550.0,419.0,682.0,613.0,628.0,599.0,728.0,658.0
354.0,449.0,446.0,460.0,470.0,866.0,366.0,480.0,583.0,555.0,609.0,403.0,809.0,591.0,607.0,606.0,654.0,692.0
311.0,450.0,344.0,402.0,429.0,947.0,357.0,430.0,552.0,445.0,672.0,369.0,1044.0,622.0,659.0,557.0,692.0,718.0
272.0,376.0,292.0,331.0,401.0,1132.0,292.0,332.0,561.0,436.0,567.0,312.0,1405.0,602.0,616.0,588.0,774.0,711.0
194.0,309.0,210.0,262.0,299.0,1183.0,232.0,295.0,532.0,393.0,536.0,200.0,2237.0,552.0,584.0,551.0,699.0,732.0
