Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
1437.0,701.0,669.0,849.0,973.0,205.0,610.0,582.0,420.0,491.0,59.0,563.0,566.0,430.0,412.0,431.0,17.0,585.0
1065.0,667.0,602.0,781.0,864.0,274.0,627.0,623.0,559.0,520.0,94.0,593.0,627.0,485.0,445.0,505.0,41.0,628.0
936.0,698.0,657.0,743.0,767.0,320.0,587.0,620.0,538.0,591.0,146.0,619.0,626.0,500.0,458.0,541.0,34.0,619.0
789.0,622.0,663.0,653.0,716.0,367.0,667.0,664.0,595.0,562.0,176.0,593.0,559.0,561.0,502.0,541.0,85.0,685.0
732.0,649.0,640.0,672.0,651.0,406.0,633.0,626.0,579.0,561.0,207.0,628.0,648.0,575.0,504.0,571.0,82.0,636.0
635.0,629.0,663.0,668.0,693.0,366.0,620.0,605.0,586.0,577.0,240.0,600.0,613.0,536.0,602.0,627.0,118.0,622.0
555.0,613.0,632.0,654.0,648.0,429.0,636.0,588.0,571.0,550.0,295.0,634.0,599.0,578.0,612.0,593.0,137.0,676.0
561.0,598.0,609.0,624.0,571.0,508.0,609.0,586.0,611.0,652.0,331.0,624.0,619.0,576.0,556.0,575.0,185.0,605.0
495.0,622.0,557.0,556.0,609.0,521.0,583.0,567.0,619.0,605.0,409.0,634.0,572.0,627.0,588.0,618.0,217.0,601.0
475.0,622.0,605.0,580.0,550.0,542.0,606.0,572.0,599.0,630.0,433.0,607.0,603.0,595.0,598.0,576.0,267.0,540.0
441.0,538.0,524.0,518.0,516.0,593.0,572.0,584.0,601.0,598.0,523.0,613.0,626.0,629.0,604.0,645.0,317.0,558.0
433.0,556.0,538.0,516.0,492.0,657.0,565.0,567.0,631.0,562.0,546.0,567.0,540.0,641.0,641.0,600.0,400.0,548.0
336.0,511.0,593.0,454.0,433.0,677.0,543.0,551.0,620.0,568.0,718.0,516.0,542.0,610.0,670.0,568.0,523.0,567.0
324.0,493.0,509.0,471.0,405.0,743.0,549.0,545.0,602.0,560.0,808.0,529.0,515.0,611.0,612.0,558.0,673.0,493.0
293.0,470.0,470.0,425.0,354.0,816.0,518.0,519.0,544.0,613.0,922.0,515.0,527.0,556.0,567.0,585.0,810.0,496.0
217.0,421.0,418.0,363.0,335.0,903.0,452.0,447.0,513.0,524.0,1191.0,464.0,482.0,549.0,572.0,561.0,1140.0,448.0
162.0,357.0,376.0,278.0,246.0,877.0,381.0,443.0,462.0,478.0,1402.0,418.0,404.0,535.0,590.0,520.0,1688.0,383.0
114.0,233.0,275.0,195.0,177.0,796.0,242.0,311.0,350.0,358.0,1500.0,283.0,332.0,406.0,467.0,385.0,3266.0,310.0
