Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Bristol City,West Bromwich Albion,Middlesbrough,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
636.0,535.0,512.0,1931.0,403.0,364.0,452.0,352.0,322.0,394.0,306.0,1412.0,209.0,246.0,22.0,262.0,20.0,403.0,24.0,281.0,181.0,178.0,415.0,140.0
576.0,494.0,564.0,1274.0,456.0,436.0,469.0,394.0,391.0,470.0,414.0,1017.0,307.0,335.0,45.0,317.0,36.0,454.0,52.0,331.0,235.0,262.0,505.0,166.0
625.0,568.0,529.0,979.0,429.0,457.0,554.0,420.0,443.0,460.0,396.0,878.0,320.0,326.0,67.0,376.0,39.0,490.0,74.0,333.0,238.0,296.0,492.0,211.0
585.0,494.0,540.0,817.0,471.0,461.0,494.0,437.0,434.0,509.0,443.0,765.0,407.0,369.0,66.0,387.0,61.0,483.0,87.0,370.0,292.0,335.0,472.0,221.0
592.0,526.0,503.0,699.0,460.0,424.0,518.0,511.0,439.0,472.0,434.0,699.0,404.0,398.0,81.0,339.0,85.0,475.0,97.0,399.0,328.0,352.0,504.0,261.0
506.0,547.0,503.0,550.0,445.0,514.0,520.0,479.0,453.0,485.0,465.0,604.0,418.0,383.0,113.0,424.0,90.0,493.0,126.0,368.0,357.0,381.0,460.0,316.0
544.0,485.0,518.0,481.0,468.0,479.0,504.0,426.0,453.0,496.0,467.0,559.0,421.0,437.0,140.0,411.0,135.0,497.0,126.0,432.0,374.0,361.0,486.0,300.0
508.0,469.0,517.0,391.0,480.0,473.0,520.0,494.0,436.0,446.0,455.0,503.0,455.0,429.0,163.0,450.0,148.0,457.0,160.0,420.0,394.0,402.0,474.0,356.0
486.0,446.0,475.0,370.0,468.0,496.0,492.0,497.0,453.0,493.0,454.0,448.0,458.0,451.0,166.0,458.0,150.0,512.0,182.0,421.0,386.0,406.0,467.0,365.0
424.0,439.0,496.0,390.0,509.0,467.0,487.0,460.0,469.0,464.0,454.0,407.0,457.0,452.0,198.0,465.0,189.0,441.0,197.0,464.0,443.0,397.0,453.0,378.0
463.0,514.0,435.0,324.0,454.0,440.0,530.0,459.0,485.0,478.0,467.0,333.0,444.0,408.0,240.0,474.0,208.0,456.0,197.0,469.0,390.0,463.0,460.0,409.0
468.0,440.0,478.0,287.0,483.0,447.0,445.0,510.0,474.0,447.0,475.0,317.0,477.0,459.0,246.0,462.0,230.0,455.0,266.0,498.0,404.0,439.0,399.0,394.0
435.0,399.0,455.0,216.0,479.0,457.0,459.0,436.0,479.0,437.0,457.0,319.0,446.0,459.0,284.0,487.0,278.0,463.0,281.0,479.0,434.0,446.0,463.0,452.0
393.0,450.0,410.0,241.0,448.0,460.0,431.0,438.0,478.0,455.0,446.0,274.0,478.0,476.0,323.0,494.0,286.0,419.0,325.0,475.0,483.0,484.0,414.0,419.0
399.0,416.0,388.0,167.0,426.0,430.0,408.0,471.0,484.0,426.0,436.0,245.0,465.0,489.0,383.0,478.0,357.0,453.0,422.0,428.0,499.0,470.0,429.0,431.0
367.0,412.0,415.0,174.0,466.0,433.0,400.0,440.0,422.0,405.0,432.0,231.0,467.0,463.0,456.0,443.0,408.0,420.0,430.0,471.0,480.0,474.0,396.0,495.0
366.0,382.0,423.0,158.0,411.0,455.0,347.0,410.0,433.0,389.0,445.0,211.0,496.0,504.0,434.0,468.0,454.0,404.0,445.0,443.0,513.0,495.0,390.0,524.0
350.0,383.0,350.0,140.0,396.0,425.0,351.0,440.0,430.0,418.0,461.0,182.0,480.0,433.0,562.0,439.0,525.0,382.0,558.0,457.0,507.0,443.0,373.0,515.0
320.0,357.0,363.0,122.0,381.0,364.0,361.0,400.0,357.0,380.0,413.0,141.0,437.0,475.0,648.0,446.0,625.0,373.0,614.0,454.0,503.0,536.0,380.0,550.0
258.0,315.0,318.0,96.0,371.0,366.0,350.0,367.0,402.0,351.0,383.0,126.0,450.0,494.0,685.0,435.0,709.0,361.0,685.0,437.0,519.0,497.0,411.0,614.0
258.0,316.0,269.0,77.0,324.0,341.0,299.0,368.0,377.0,340.0,403.0,123.0,435.0,395.0,913.0,400.0,823.0,348.0,756.0,436.0,518.0,541.0,344.0,596.0
187.0,267.0,240.0,49.0,297.0,344.0,270.0,306.0,393.0,314.0,324.0,87.0,393.0,418.0,999.0,411.0,1015.0,319.0,986.0,424.0,550.0,469.0,325.0,613.0
163.0,203.0,183.0,41.0,264.0,264.0,213.0,269.0,266.0,278.0,340.0,79.0,369.0,390.0,1212.0,377.0,1378.0,225.0,1242.0,373.0,500.0,456.0,279.0,636.0
91.0,143.0,116.0,26.0,211.0,203.0,126.0,216.0,227.0,193.0,230.0,40.0,307.0,311.0,1554.0,297.0,1751.0,217.0,1668.0,337.0,472.0,417.0,209.0,638.0
