AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
1027.0,1267.0,807.0,985.0,755.0,699.0,502.0,798.0,156.0,616.0,456.0,345.0,342.0,243.0,329.0,256.0,184.0,17.0,5.0,211.0
898.0,968.0,715.0,847.0,779.0,704.0,563.0,828.0,172.0,648.0,511.0,460.0,357.0,310.0,346.0,311.0,269.0,26.0,11.0,277.0
824.0,881.0,757.0,786.0,727.0,637.0,596.0,716.0,252.0,605.0,527.0,446.0,384.0,337.0,413.0,381.0,315.0,43.0,31.0,342.0
797.0,785.0,696.0,675.0,708.0,674.0,580.0,685.0,270.0,653.0,501.0,480.0,446.0,400.0,416.0,386.0,354.0,73.0,30.0,391.0
711.0,710.0,709.0,633.0,630.0,647.0,596.0,674.0,315.0,586.0,536.0,532.0,456.0,424.0,435.0,474.0,397.0,101.0,48.0,386.0
650.0,632.0,584.0,673.0,633.0,663.0,569.0,684.0,301.0,584.0,546.0,547.0,473.0,500.0,479.0,432.0,418.0,124.0,59.0,449.0
625.0,631.0,603.0,613.0,618.0,602.0,582.0,598.0,399.0,581.0,553.0,570.0,489.0,448.0,463.0,496.0,426.0,118.0,95.0,490.0
543.0,529.0,591.0,536.0,618.0,585.0,602.0,568.0,406.0,585.0,554.0,573.0,513.0,493.0,584.0,497.0,476.0,175.0,103.0,469.0
530.0,495.0,581.0,530.0,578.0,572.0,546.0,577.0,476.0,625.0,552.0,546.0,553.0,487.0,568.0,497.0,514.0,168.0,113.0,492.0
480.0,507.0,540.0,524.0,524.0,606.0,525.0,531.0,489.0,518.0,540.0,590.0,593.0,546.0,549.0,587.0,544.0,198.0,139.0,470.0
478.0,420.0,470.0,499.0,514.0,510.0,534.0,538.0,559.0,529.0,549.0,568.0,570.0,537.0,574.0,579.0,560.0,258.0,189.0,565.0
438.0,377.0,475.0,459.0,514.0,498.0,588.0,426.0,555.0,504.0,602.0,545.0,560.0,586.0,583.0,578.0,552.0,319.0,247.0,594.0
378.0,375.0,457.0,482.0,483.0,487.0,505.0,430.0,578.0,500.0,537.0,545.0,609.0,576.0,542.0,602.0,627.0,365.0,292.0,630.0
350.0,319.0,433.0,395.0,412.0,447.0,476.0,379.0,666.0,509.0,560.0,563.0,598.0,638.0,571.0,565.0,657.0,458.0,370.0,634.0
328.0,303.0,419.0,336.0,388.0,401.0,513.0,383.0,694.0,441.0,549.0,523.0,590.0,602.0,636.0,586.0,633.0,565.0,472.0,638.0
287.0,266.0,335.0,299.0,324.0,359.0,461.0,368.0,716.0,423.0,504.0,564.0,620.0,589.0,597.0,607.0,680.0,708.0,678.0,615.0
250.0,187.0,311.0,265.0,300.0,331.0,403.0,308.0,831.0,388.0,458.0,511.0,596.0,649.0,559.0,607.0,679.0,862.0,825.0,680.0
189.0,170.0,243.0,217.0,247.0,289.0,408.0,241.0,798.0,309.0,398.0,468.0,528.0,620.0,531.0,611.0,675.0,1176.0,1236.0,646.0
142.0,126.0,195.0,157.0,167.0,181.0,283.0,184.0,789.0,241.0,341.0,366.0,445.0,571.0,490.0,564.0,596.0,1646.0,1906.0,610.0
75.0,52.0,79.0,89.0,81.0,108.0,168.0,84.0,578.0,155.0,226.0,258.0,278.0,444.0,335.0,384.0,444.0,2600.0,3151.0,411.0
