AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
1398.0,1880.0,786.0,1092.0,501.0,395.0,863.0,527.0,813.0,410.0,386.0,224.0,354.0,164.0,14.0,8.0,184.0,1.0
1063.0,1402.0,811.0,966.0,598.0,524.0,856.0,616.0,805.0,518.0,463.0,326.0,482.0,254.0,23.0,23.0,269.0,1.0
980.0,1083.0,835.0,921.0,606.0,582.0,825.0,613.0,753.0,551.0,537.0,405.0,461.0,372.0,42.0,23.0,398.0,13.0
867.0,915.0,793.0,833.0,637.0,619.0,747.0,632.0,754.0,640.0,610.0,450.0,511.0,400.0,65.0,58.0,453.0,16.0
780.0,750.0,737.0,760.0,683.0,630.0,756.0,680.0,711.0,661.0,653.0,518.0,547.0,461.0,99.0,66.0,478.0,30.0
727.0,639.0,707.0,727.0,672.0,612.0,692.0,697.0,695.0,671.0,681.0,556.0,620.0,511.0,107.0,107.0,533.0,46.0
639.0,636.0,689.0,631.0,735.0,655.0,658.0,678.0,726.0,636.0,713.0,569.0,609.0,530.0,143.0,133.0,569.0,51.0
614.0,554.0,680.0,597.0,681.0,666.0,638.0,629.0,654.0,723.0,635.0,735.0,591.0,559.0,212.0,162.0,607.0,63.0
535.0,470.0,668.0,587.0,692.0,667.0,603.0,619.0,589.0,725.0,675.0,705.0,655.0,651.0,236.0,207.0,616.0,100.0
525.0,381.0,572.0,550.0,665.0,704.0,567.0,652.0,592.0,669.0,695.0,710.0,633.0,654.0,301.0,273.0,704.0,153.0
464.0,327.0,575.0,500.0,618.0,709.0,525.0,664.0,590.0,671.0,688.0,749.0,627.0,722.0,349.0,333.0,718.0,171.0
385.0,287.0,494.0,445.0,635.0,656.0,530.0,614.0,536.0,659.0,687.0,721.0,685.0,773.0,443.0,440.0,759.0,251.0
322.0,217.0,472.0,401.0,589.0,654.0,470.0,565.0,482.0,620.0,628.0,736.0,700.0,813.0,600.0,590.0,771.0,370.0
278.0,178.0,406.0,322.0,550.0,612.0,443.0,548.0,456.0,629.0,586.0,712.0,676.0,793.0,757.0,784.0,771.0,499.0
209.0,136.0,362.0,300.0,488.0,545.0,346.0,525.0,341.0,509.0,526.0,719.0,660.0,773.0,1004.0,1003.0,739.0,815.0
133.0,91.0,223.0,213.0,337.0,383.0,250.0,395.0,282.0,388.0,436.0,579.0,573.0,761.0,1520.0,1563.0,603.0,1270.0
61.0,45.0,147.0,105.0,232.0,263.0,167.0,255.0,160.0,212.0,284.0,389.0,382.0,502.0,1985.0,2131.0,533.0,2147.0
20.0,9.0,43.0,50.0,81.0,124.0,64.0,91.0,61.0,108.0,117.0,197.0,234.0,307.0,2100.0,2096.0,295.0,4003.0
