Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
4617.0,5314.0,56.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5040.0,4344.0,374.0,169.0,21.0,40.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302.0,289.0,4747.0,2541.0,573.0,949.0,54.0,379.0,103.0,6.0,11.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,46.0,2458.0,3188.0,1119.0,1533.0,181.0,871.0,302.0,35.0,41.0,171.0,2.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0
6.0,3.0,1187.0,1818.0,1869.0,1987.0,406.0,1390.0,637.0,91.0,127.0,407.0,13.0,36.0,15.0,4.0,3.0,1.0,0.0,0.0
1.0,2.0,633.0,1075.0,1890.0,1717.0,723.0,1597.0,976.0,226.0,283.0,705.0,17.0,84.0,40.0,25.0,4.0,2.0,0.0,0.0
0.0,2.0,305.0,558.0,1543.0,1387.0,1012.0,1647.0,1231.0,405.0,462.0,1022.0,55.0,158.0,129.0,67.0,11.0,6.0,0.0,0.0
0.0,0.0,136.0,335.0,1153.0,945.0,1284.0,1379.0,1470.0,697.0,682.0,1140.0,113.0,275.0,212.0,126.0,39.0,14.0,0.0,0.0
0.0,0.0,63.0,156.0,794.0,633.0,1372.0,970.0,1446.0,1016.0,974.0,1297.0,175.0,400.0,382.0,222.0,61.0,36.0,3.0,0.0
0.0,0.0,22.0,73.0,465.0,380.0,1338.0,750.0,1180.0,1248.0,1145.0,1289.0,329.0,577.0,570.0,377.0,146.0,104.0,7.0,0.0
0.0,0.0,14.0,54.0,253.0,226.0,1200.0,456.0,988.0,1392.0,1286.0,1161.0,491.0,836.0,748.0,506.0,213.0,166.0,10.0,0.0
0.0,0.0,4.0,14.0,169.0,115.0,950.0,270.0,689.0,1353.0,1330.0,901.0,724.0,1038.0,1009.0,779.0,325.0,309.0,21.0,0.0
0.0,0.0,0.0,7.0,92.0,58.0,615.0,147.0,428.0,1150.0,1201.0,710.0,995.0,1221.0,1254.0,1040.0,546.0,467.0,69.0,0.0
0.0,0.0,1.0,0.0,35.0,18.0,459.0,85.0,263.0,906.0,868.0,541.0,1188.0,1361.0,1317.0,1255.0,795.0,808.0,100.0,0.0
0.0,0.0,0.0,0.0,20.0,6.0,230.0,35.0,153.0,654.0,665.0,332.0,1368.0,1345.0,1317.0,1414.0,1150.0,1077.0,233.0,1.0
0.0,0.0,0.0,1.0,3.0,5.0,118.0,10.0,86.0,456.0,459.0,147.0,1492.0,1109.0,1240.0,1455.0,1534.0,1424.0,458.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,38.0,232.0,291.0,82.0,1431.0,834.0,909.0,1346.0,1935.0,1966.0,878.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,111.0,147.0,39.0,1127.0,509.0,629.0,996.0,2077.0,2354.0,1964.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,28.0,11.0,474.0,200.0,224.0,383.0,1146.0,1238.0,5998.0,276.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,4.0,15.0,28.0,259.0,9685.0
