FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
2033.0,2057.0,594.0,435.0,1399.0,764.0,86.0,447.0,841.0,300.0,221.0,151.0,130.0,210.0,12.0,135.0,131.0,54.0
1483.0,1490.0,687.0,610.0,1144.0,796.0,151.0,551.0,799.0,432.0,339.0,290.0,231.0,385.0,35.0,246.0,232.0,99.0
1128.0,1127.0,737.0,681.0,998.0,791.0,213.0,544.0,814.0,480.0,452.0,398.0,322.0,449.0,51.0,322.0,336.0,157.0
937.0,957.0,707.0,692.0,911.0,760.0,268.0,608.0,707.0,577.0,524.0,480.0,381.0,474.0,65.0,390.0,342.0,220.0
809.0,810.0,688.0,734.0,807.0,662.0,334.0,602.0,720.0,571.0,574.0,484.0,435.0,533.0,83.0,431.0,456.0,267.0
701.0,687.0,732.0,702.0,661.0,715.0,365.0,639.0,640.0,596.0,608.0,516.0,467.0,529.0,126.0,516.0,492.0,308.0
569.0,595.0,723.0,706.0,603.0,648.0,445.0,610.0,639.0,618.0,581.0,561.0,523.0,585.0,162.0,519.0,519.0,394.0
483.0,487.0,703.0,694.0,560.0,614.0,506.0,582.0,614.0,649.0,646.0,589.0,548.0,599.0,187.0,602.0,516.0,421.0
401.0,366.0,622.0,653.0,528.0,576.0,507.0,646.0,535.0,658.0,665.0,640.0,627.0,651.0,229.0,601.0,613.0,482.0
352.0,329.0,599.0,604.0,428.0,569.0,629.0,633.0,573.0,627.0,641.0,679.0,617.0,641.0,297.0,630.0,617.0,535.0
296.0,266.0,564.0,602.0,366.0,541.0,626.0,654.0,489.0,585.0,701.0,676.0,688.0,707.0,339.0,651.0,644.0,605.0
242.0,190.0,540.0,606.0,379.0,492.0,730.0,610.0,480.0,607.0,629.0,668.0,734.0,650.0,466.0,696.0,650.0,631.0
194.0,212.0,489.0,544.0,297.0,494.0,797.0,545.0,473.0,616.0,678.0,664.0,718.0,675.0,554.0,673.0,690.0,687.0
131.0,150.0,455.0,510.0,298.0,466.0,821.0,524.0,397.0,599.0,659.0,664.0,732.0,664.0,710.0,709.0,697.0,814.0
94.0,116.0,425.0,434.0,237.0,386.0,873.0,540.0,394.0,611.0,621.0,700.0,692.0,647.0,830.0,707.0,790.0,903.0
82.0,80.0,317.0,355.0,210.0,296.0,959.0,482.0,373.0,541.0,569.0,649.0,753.0,622.0,1146.0,766.0,795.0,1005.0
46.0,57.0,248.0,282.0,115.0,266.0,921.0,433.0,303.0,533.0,526.0,651.0,740.0,568.0,1652.0,764.0,785.0,1110.0
19.0,24.0,170.0,156.0,59.0,164.0,769.0,350.0,209.0,400.0,366.0,540.0,662.0,411.0,3056.0,642.0,695.0,1308.0
