Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
1176.0,1175.0,253.0,785.0,644.0,618.0,562.0,566.0,584.0,633.0,431.0,69.0,516.0,431.0,386.0,287.0,8.0,267.0,328.0,281.0
947.0,921.0,282.0,764.0,610.0,588.0,608.0,556.0,607.0,626.0,480.0,94.0,542.0,460.0,493.0,375.0,18.0,332.0,384.0,313.0
839.0,800.0,330.0,684.0,657.0,579.0,598.0,562.0,588.0,602.0,505.0,129.0,554.0,496.0,478.0,397.0,40.0,329.0,452.0,381.0
801.0,768.0,372.0,673.0,586.0,568.0,576.0,604.0,542.0,582.0,515.0,161.0,558.0,493.0,486.0,454.0,39.0,390.0,436.0,396.0
709.0,687.0,390.0,604.0,602.0,580.0,611.0,540.0,597.0,559.0,519.0,175.0,568.0,510.0,511.0,491.0,50.0,414.0,453.0,430.0
601.0,652.0,448.0,607.0,596.0,575.0,552.0,575.0,582.0,567.0,566.0,212.0,527.0,514.0,505.0,492.0,59.0,448.0,457.0,465.0
593.0,629.0,475.0,543.0,611.0,590.0,575.0,558.0,530.0,555.0,515.0,207.0,547.0,540.0,511.0,528.0,77.0,483.0,460.0,473.0
523.0,530.0,457.0,574.0,562.0,539.0,581.0,597.0,589.0,573.0,534.0,281.0,525.0,543.0,515.0,475.0,113.0,457.0,555.0,477.0
534.0,506.0,508.0,534.0,573.0,553.0,502.0,533.0,535.0,545.0,545.0,304.0,547.0,520.0,516.0,546.0,156.0,550.0,525.0,468.0
482.0,473.0,561.0,565.0,491.0,533.0,490.0,526.0,549.0,537.0,504.0,330.0,579.0,571.0,533.0,511.0,165.0,536.0,545.0,519.0
431.0,453.0,562.0,487.0,541.0,535.0,498.0,553.0,532.0,534.0,552.0,347.0,495.0,554.0,507.0,557.0,213.0,519.0,561.0,569.0
417.0,359.0,559.0,489.0,483.0,505.0,505.0,531.0,551.0,514.0,578.0,430.0,493.0,522.0,553.0,546.0,227.0,593.0,566.0,579.0
376.0,396.0,563.0,460.0,516.0,488.0,526.0,483.0,489.0,524.0,545.0,521.0,508.0,484.0,556.0,553.0,276.0,555.0,585.0,596.0
369.0,359.0,621.0,478.0,452.0,459.0,524.0,530.0,481.0,488.0,523.0,547.0,499.0,560.0,535.0,582.0,358.0,565.0,555.0,515.0
267.0,321.0,641.0,389.0,452.0,475.0,501.0,470.0,479.0,476.0,537.0,624.0,509.0,536.0,557.0,579.0,486.0,566.0,562.0,573.0
284.0,294.0,632.0,367.0,415.0,473.0,426.0,427.0,494.0,432.0,497.0,711.0,507.0,543.0,601.0,540.0,623.0,563.0,576.0,595.0
210.0,235.0,670.0,353.0,394.0,456.0,445.0,427.0,390.0,398.0,510.0,869.0,453.0,514.0,505.0,544.0,819.0,649.0,530.0,629.0
196.0,202.0,672.0,278.0,347.0,372.0,389.0,386.0,388.0,333.0,489.0,1053.0,421.0,446.0,473.0,579.0,1124.0,653.0,560.0,639.0
159.0,158.0,584.0,239.0,284.0,329.0,334.0,369.0,296.0,320.0,390.0,1391.0,388.0,432.0,426.0,536.0,1623.0,647.0,489.0,606.0
86.0,82.0,420.0,127.0,184.0,185.0,197.0,207.0,197.0,202.0,265.0,1545.0,264.0,331.0,353.0,428.0,3526.0,484.0,421.0,496.0
