Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6576.0,2249.0,351.0,281.0,419.0,104.0,4.0,7.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2171.0,3802.0,1178.0,919.0,1297.0,452.0,45.0,79.0,10.0,7.0,9.0,13.0,4.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0
768.0,1878.0,2146.0,1681.0,2041.0,870.0,127.0,202.0,43.0,39.0,48.0,60.0,22.0,59.0,14.0,1.0,1.0,0.0,0.0,0.0
282.0,1017.0,1985.0,1909.0,1975.0,1377.0,311.0,433.0,124.0,70.0,133.0,115.0,67.0,132.0,65.0,3.0,2.0,0.0,0.0,0.0
119.0,543.0,1539.0,1697.0,1664.0,1682.0,587.0,700.0,241.0,170.0,248.0,243.0,157.0,252.0,126.0,22.0,7.0,1.0,1.0,1.0
54.0,260.0,1093.0,1286.0,1060.0,1629.0,932.0,1033.0,457.0,312.0,444.0,410.0,263.0,430.0,231.0,69.0,28.0,7.0,0.0,2.0
19.0,129.0,653.0,859.0,627.0,1230.0,1196.0,1296.0,671.0,470.0,551.0,669.0,462.0,638.0,383.0,79.0,56.0,10.0,0.0,2.0
6.0,68.0,414.0,501.0,363.0,876.0,1205.0,1218.0,887.0,626.0,727.0,794.0,633.0,887.0,515.0,151.0,95.0,18.0,2.0,14.0
3.0,25.0,272.0,329.0,236.0,581.0,1093.0,1140.0,1024.0,721.0,829.0,861.0,779.0,934.0,721.0,253.0,148.0,29.0,2.0,20.0
0.0,13.0,140.0,197.0,144.0,423.0,1011.0,964.0,1076.0,924.0,888.0,965.0,875.0,951.0,795.0,319.0,219.0,68.0,2.0,26.0
1.0,8.0,97.0,128.0,75.0,281.0,921.0,812.0,1012.0,907.0,966.0,972.0,951.0,1055.0,845.0,477.0,320.0,106.0,10.0,56.0
1.0,7.0,60.0,91.0,49.0,208.0,705.0,670.0,987.0,968.0,1022.0,1012.0,1016.0,943.0,949.0,613.0,427.0,157.0,17.0,98.0
0.0,1.0,41.0,60.0,29.0,130.0,598.0,461.0,926.0,994.0,962.0,961.0,1028.0,944.0,1036.0,776.0,579.0,260.0,45.0,169.0
0.0,0.0,22.0,30.0,9.0,63.0,482.0,399.0,832.0,1003.0,936.0,880.0,1005.0,824.0,1080.0,951.0,841.0,335.0,81.0,227.0
0.0,0.0,7.0,20.0,10.0,49.0,374.0,254.0,668.0,945.0,811.0,731.0,910.0,729.0,1077.0,1221.0,1065.0,550.0,162.0,417.0
0.0,0.0,2.0,5.0,1.0,28.0,214.0,157.0,476.0,811.0,649.0,563.0,798.0,551.0,896.0,1533.0,1414.0,885.0,268.0,749.0
0.0,0.0,0.0,5.0,1.0,11.0,115.0,116.0,313.0,562.0,387.0,419.0,548.0,375.0,634.0,1505.0,1726.0,1481.0,619.0,1183.0
0.0,0.0,0.0,2.0,0.0,6.0,63.0,47.0,165.0,311.0,255.0,231.0,332.0,189.0,401.0,1114.0,1526.0,2172.0,1202.0,1984.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,68.0,122.0,110.0,78.0,120.0,76.0,178.0,665.0,1052.0,2375.0,2345.0,2786.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,16.0,37.0,24.0,22.0,30.0,22.0,48.0,248.0,493.0,1546.0,5244.0,2266.0
