FC Porto,Sporting CP,Maritimo,Santa Clara,Arouca,Gil Vicente,Benfica,C.D. Nacional,Vitória de Guimaraes,Rio Ave,Estrela,Académico de Viseu,Braga,FC Famalicao,Moreirense,Estoril,Alverca,Casa Pia
4495.0,3199.0,6.0,0.0,0.0,0.0,2278.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0
3206.0,3460.0,14.0,0.0,0.0,15.0,3219.0,0.0,0.0,0.0,0.0,1.0,83.0,2.0,0.0,0.0,0.0,0.0
2158.0,3110.0,60.0,3.0,1.0,87.0,4067.0,1.0,0.0,0.0,0.0,19.0,486.0,8.0,0.0,0.0,0.0,0.0
137.0,212.0,505.0,178.0,201.0,1861.0,391.0,86.0,19.0,0.0,9.0,183.0,5726.0,473.0,3.0,15.0,1.0,0.0
3.0,18.0,698.0,660.0,784.0,3226.0,41.0,338.0,123.0,9.0,53.0,311.0,2197.0,1413.0,11.0,98.0,17.0,0.0
1.0,0.0,801.0,1286.0,1320.0,1982.0,4.0,689.0,260.0,55.0,138.0,358.0,823.0,1926.0,66.0,248.0,43.0,0.0
0.0,1.0,787.0,1480.0,1450.0,1171.0,0.0,982.0,474.0,120.0,300.0,451.0,393.0,1749.0,140.0,406.0,96.0,0.0
0.0,0.0,746.0,1499.0,1475.0,735.0,0.0,1282.0,698.0,216.0,455.0,442.0,136.0,1389.0,215.0,553.0,158.0,1.0
0.0,0.0,726.0,1355.0,1241.0,409.0,0.0,1383.0,870.0,341.0,591.0,525.0,71.0,1024.0,363.0,818.0,273.0,10.0
0.0,0.0,645.0,1091.0,1083.0,239.0,0.0,1294.0,1070.0,484.0,882.0,528.0,30.0,740.0,479.0,1016.0,406.0,13.0
0.0,0.0,665.0,851.0,842.0,127.0,0.0,1107.0,1152.0,719.0,1013.0,534.0,16.0,507.0,704.0,1165.0,564.0,34.0
0.0,0.0,626.0,570.0,590.0,76.0,0.0,957.0,1276.0,930.0,1146.0,658.0,12.0,305.0,858.0,1210.0,722.0,64.0
0.0,0.0,624.0,407.0,412.0,36.0,0.0,686.0,1142.0,1173.0,1279.0,651.0,6.0,233.0,1043.0,1153.0,1018.0,137.0
0.0,0.0,630.0,311.0,288.0,23.0,0.0,479.0,1021.0,1370.0,1159.0,705.0,0.0,115.0,1302.0,1141.0,1244.0,212.0
0.0,0.0,618.0,173.0,169.0,10.0,0.0,388.0,806.0,1492.0,1144.0,803.0,0.0,72.0,1507.0,892.0,1470.0,456.0
0.0,0.0,687.0,99.0,92.0,1.0,0.0,220.0,611.0,1512.0,1004.0,927.0,0.0,30.0,1511.0,693.0,1723.0,890.0
0.0,0.0,706.0,34.0,42.0,2.0,0.0,86.0,361.0,1147.0,614.0,1424.0,0.0,10.0,1287.0,478.0,1596.0,2213.0
0.0,0.0,456.0,3.0,10.0,0.0,0.0,22.0,117.0,432.0,213.0,1479.0,0.0,4.0,511.0,114.0,669.0,5970.0
