AS Roma,Internazionale,Lecce,Napoli,AC Milan,Atalanta,Cagliari,Juventus,Lazio,Como,Udinese,Sassuolo,Torino,Bologna,Frosinone,Parma,Genoa,Venezia,Monza,Fiorentina
1490.0,6541.0,0.0,285.0,61.0,59.0,0.0,509.0,2.0,1049.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2619.0,2082.0,0.0,1000.0,283.0,239.0,0.0,1444.0,11.0,2308.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,0.0
2212.0,838.0,0.0,1540.0,590.0,546.0,2.0,1927.0,36.0,2255.0,19.0,6.0,0.0,10.0,6.0,0.0,1.0,3.0,8.0,1.0
1592.0,334.0,0.0,1987.0,1030.0,977.0,5.0,1979.0,80.0,1878.0,61.0,16.0,1.0,31.0,10.0,0.0,1.0,4.0,11.0,3.0
1094.0,132.0,1.0,2041.0,1522.0,1522.0,21.0,1761.0,249.0,1321.0,145.0,28.0,6.0,90.0,26.0,1.0,6.0,5.0,20.0,9.0
579.0,60.0,8.0,1536.0,2160.0,2139.0,65.0,1264.0,550.0,704.0,374.0,109.0,3.0,297.0,37.0,1.0,29.0,18.0,35.0,32.0
297.0,13.0,34.0,939.0,2100.0,2182.0,213.0,696.0,1084.0,344.0,789.0,293.0,48.0,571.0,80.0,8.0,96.0,44.0,66.0,103.0
82.0,0.0,145.0,424.0,1093.0,1141.0,535.0,267.0,1922.0,95.0,1490.0,694.0,122.0,1113.0,107.0,18.0,254.0,94.0,105.0,299.0
26.0,0.0,240.0,148.0,593.0,580.0,810.0,97.0,1737.0,31.0,1629.0,943.0,237.0,1474.0,177.0,62.0,493.0,112.0,121.0,490.0
7.0,0.0,383.0,56.0,263.0,294.0,1132.0,34.0,1303.0,7.0,1440.0,1210.0,402.0,1444.0,176.0,130.0,722.0,140.0,156.0,701.0
2.0,0.0,533.0,30.0,158.0,163.0,1206.0,13.0,1026.0,7.0,1151.0,1309.0,535.0,1298.0,217.0,228.0,878.0,146.0,159.0,941.0
0.0,0.0,781.0,4.0,74.0,86.0,1202.0,3.0,705.0,0.0,935.0,1282.0,771.0,1018.0,268.0,374.0,1014.0,177.0,241.0,1065.0
0.0,0.0,980.0,7.0,35.0,38.0,1198.0,4.0,535.0,1.0,689.0,1119.0,985.0,869.0,318.0,469.0,1142.0,216.0,234.0,1161.0
0.0,0.0,1173.0,1.0,23.0,18.0,1072.0,1.0,328.0,0.0,493.0,914.0,1205.0,655.0,375.0,709.0,1215.0,287.0,307.0,1224.0
0.0,0.0,1362.0,1.0,8.0,7.0,870.0,1.0,209.0,0.0,370.0,790.0,1299.0,482.0,478.0,1036.0,1202.0,379.0,346.0,1160.0
0.0,0.0,1443.0,0.0,4.0,8.0,721.0,0.0,128.0,0.0,204.0,574.0,1394.0,331.0,613.0,1421.0,1110.0,505.0,512.0,1032.0
0.0,0.0,1355.0,0.0,2.0,1.0,508.0,0.0,57.0,0.0,123.0,391.0,1358.0,192.0,839.0,2002.0,923.0,696.0,700.0,853.0
0.0,0.0,958.0,0.0,0.0,0.0,305.0,0.0,31.0,0.0,63.0,230.0,1004.0,89.0,1564.0,1898.0,568.0,1397.0,1274.0,619.0
0.0,0.0,503.0,1.0,1.0,0.0,107.0,0.0,6.0,0.0,18.0,78.0,489.0,29.0,2298.0,1216.0,272.0,2423.0,2310.0,249.0
0.0,0.0,101.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,4.0,13.0,141.0,5.0,2407.0,427.0,74.0,3351.0,3390.0,58.0
