Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Coritiba,Atlético-MG,Corinthians,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
6135.0,3847.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3733.0,5910.0,204.0,92.0,56.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,217.0,4576.0,2724.0,1633.0,277.0,111.0,7.0,205.0,15.0,105.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,24.0,2601.0,3031.0,2375.0,726.0,360.0,33.0,466.0,55.0,308.0,2.0,6.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0
1.0,2.0,1439.0,2022.0,2330.0,1378.0,811.0,122.0,938.0,179.0,702.0,4.0,41.0,11.0,6.0,2.0,12.0,0.0,0.0,0.0
0.0,0.0,659.0,1041.0,1503.0,1975.0,1230.0,260.0,1400.0,472.0,1251.0,14.0,107.0,25.0,21.0,3.0,35.0,0.0,4.0,0.0
0.0,0.0,315.0,576.0,954.0,1676.0,1563.0,519.0,1641.0,719.0,1524.0,43.0,227.0,64.0,48.0,15.0,112.0,1.0,3.0,0.0
0.0,0.0,128.0,264.0,562.0,1416.0,1566.0,775.0,1625.0,1091.0,1558.0,127.0,400.0,107.0,127.0,37.0,198.0,3.0,16.0,0.0
0.0,0.0,51.0,143.0,326.0,1018.0,1444.0,1147.0,1359.0,1437.0,1386.0,207.0,652.0,175.0,195.0,76.0,339.0,7.0,38.0,0.0
0.0,0.0,11.0,55.0,151.0,643.0,1091.0,1435.0,960.0,1637.0,1196.0,371.0,980.0,318.0,360.0,164.0,541.0,23.0,64.0,0.0
0.0,0.0,3.0,32.0,71.0,428.0,759.0,1606.0,620.0,1412.0,812.0,560.0,1357.0,516.0,568.0,293.0,811.0,36.0,116.0,0.0
0.0,0.0,1.0,8.0,25.0,257.0,516.0,1378.0,387.0,1082.0,487.0,862.0,1455.0,771.0,818.0,503.0,1106.0,114.0,230.0,0.0
0.0,0.0,0.0,5.0,9.0,108.0,262.0,1054.0,202.0,768.0,296.0,1107.0,1435.0,1055.0,1154.0,765.0,1235.0,184.0,361.0,0.0
0.0,0.0,1.0,2.0,3.0,62.0,160.0,705.0,104.0,496.0,186.0,1308.0,1099.0,1309.0,1260.0,1019.0,1316.0,367.0,603.0,0.0
0.0,0.0,0.0,0.0,0.0,24.0,73.0,491.0,53.0,303.0,110.0,1379.0,836.0,1432.0,1358.0,1320.0,1300.0,547.0,773.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,41.0,260.0,23.0,180.0,42.0,1440.0,643.0,1374.0,1317.0,1486.0,1133.0,938.0,1112.0,6.0
0.0,0.0,0.0,0.0,0.0,4.0,10.0,131.0,11.0,96.0,29.0,1213.0,398.0,1253.0,1221.0,1631.0,944.0,1436.0,1610.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,3.0,49.0,8.0,887.0,260.0,990.0,959.0,1602.0,602.0,2303.0,2207.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,9.0,0.0,470.0,99.0,584.0,573.0,1055.0,304.0,3811.0,2765.0,312.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,15.0,14.0,28.0,7.0,230.0,98.0,9601.0
