Palmeiras,Flamengo,Fluminense,Athletico Paranaense,Red Bull Bragantino,São Paulo,Bahia,Coritiba,Cruzeiro,Botafogo,Vitória,Atlético-MG,Internacional,Grêmio,Corinthians,Vasco da Gama,Santos,Mirassol,Remo,Chapecoense
9405.0,446.0,92.0,27.0,20.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513.0,5891.0,1647.0,812.0,644.0,276.0,6.0,92.0,26.0,39.0,3.0,8.0,28.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0
70.0,2004.0,2889.0,1793.0,1437.0,757.0,35.0,407.0,117.0,153.0,44.0,61.0,155.0,52.0,17.0,8.0,1.0,0.0,0.0,0.0
8.0,885.0,1955.0,1954.0,1933.0,1171.0,93.0,680.0,274.0,314.0,80.0,120.0,350.0,120.0,43.0,14.0,5.0,0.0,1.0,0.0
3.0,410.0,1251.0,1622.0,1757.0,1432.0,220.0,1042.0,409.0,524.0,180.0,228.0,529.0,242.0,77.0,41.0,30.0,1.0,2.0,0.0
1.0,188.0,776.0,1164.0,1405.0,1456.0,375.0,1252.0,515.0,729.0,312.0,376.0,736.0,377.0,191.0,82.0,54.0,5.0,6.0,0.0
0.0,88.0,503.0,861.0,904.0,1187.0,551.0,1301.0,809.0,892.0,458.0,495.0,934.0,508.0,274.0,136.0,76.0,8.0,15.0,0.0
0.0,41.0,347.0,577.0,656.0,1002.0,730.0,1137.0,849.0,1032.0,538.0,667.0,1000.0,681.0,391.0,201.0,113.0,21.0,17.0,0.0
0.0,22.0,220.0,396.0,454.0,751.0,860.0,1000.0,922.0,1066.0,722.0,797.0,1001.0,829.0,456.0,269.0,168.0,37.0,30.0,0.0
0.0,17.0,136.0,270.0,292.0,572.0,925.0,785.0,898.0,1019.0,854.0,901.0,984.0,926.0,660.0,345.0,278.0,68.0,70.0,0.0
0.0,7.0,62.0,209.0,194.0,441.0,1073.0,660.0,896.0,921.0,941.0,919.0,942.0,951.0,776.0,472.0,330.0,111.0,95.0,0.0
0.0,0.0,52.0,112.0,135.0,288.0,1058.0,497.0,888.0,866.0,976.0,1023.0,834.0,996.0,894.0,655.0,446.0,159.0,121.0,0.0
0.0,1.0,29.0,97.0,78.0,232.0,937.0,403.0,892.0,756.0,1007.0,1013.0,734.0,932.0,972.0,755.0,672.0,252.0,237.0,1.0
0.0,0.0,20.0,47.0,45.0,171.0,879.0,317.0,800.0,563.0,1063.0,977.0,601.0,875.0,1129.0,981.0,822.0,383.0,327.0,0.0
0.0,0.0,15.0,31.0,20.0,129.0,825.0,189.0,611.0,434.0,954.0,817.0,470.0,829.0,1209.0,1230.0,1119.0,599.0,517.0,2.0
0.0,0.0,5.0,23.0,20.0,78.0,613.0,130.0,496.0,330.0,844.0,709.0,334.0,738.0,1125.0,1358.0,1453.0,905.0,835.0,4.0
0.0,0.0,1.0,2.0,5.0,35.0,452.0,75.0,334.0,199.0,546.0,518.0,230.0,519.0,901.0,1579.0,1680.0,1503.0,1394.0,27.0
0.0,0.0,0.0,2.0,1.0,13.0,271.0,23.0,189.0,121.0,363.0,256.0,103.0,281.0,627.0,1155.0,1576.0,2555.0,2371.0,93.0
0.0,0.0,0.0,1.0,0.0,2.0,94.0,9.0,73.0,42.0,114.0,109.0,33.0,130.0,250.0,694.0,1130.0,3169.0,3664.0,486.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,6.0,1.0,3.0,5.0,24.0,47.0,224.0,298.0,9387.0
