Real Madrid,Atlético Madrid,Alavés,Barcelona,Sevilla,Real Betis,Deportivo La Coruña,Osasuna,Levante,Racing Santander,Espanyol,Athletic Club,Getafe,Real Sociedad,Villarreal,Rayo Vallecano,Valencia,Celta Vigo,Elche,Málaga
1994.0,21.0,0.0,7945.0,0.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0
7062.0,416.0,6.0,1956.0,1.0,127.0,0.0,4.0,1.0,162.0,1.0,0.0,0.0,3.0,201.0,3.0,0.0,0.0,1.0,56.0
735.0,3624.0,179.0,90.0,76.0,1493.0,0.0,196.0,28.0,774.0,18.0,0.0,29.0,87.0,2250.0,62.0,0.0,0.0,13.0,346.0
155.0,2482.0,490.0,8.0,217.0,1921.0,0.0,409.0,115.0,706.0,65.0,0.0,102.0,257.0,2495.0,201.0,0.0,0.0,44.0,333.0
41.0,1523.0,794.0,0.0,400.0,1884.0,0.0,732.0,275.0,736.0,151.0,0.0,244.0,486.0,1870.0,392.0,0.0,0.0,75.0,397.0
9.0,837.0,1083.0,1.0,625.0,1433.0,0.0,1026.0,432.0,760.0,246.0,0.0,405.0,749.0,1196.0,594.0,0.0,0.0,183.0,421.0
4.0,488.0,1201.0,0.0,824.0,1059.0,0.0,1124.0,577.0,661.0,432.0,0.0,526.0,936.0,760.0,716.0,0.0,0.0,260.0,432.0
0.0,270.0,1228.0,0.0,958.0,682.0,0.0,1098.0,753.0,565.0,529.0,0.0,752.0,1011.0,446.0,874.0,0.0,0.0,382.0,452.0
0.0,141.0,1053.0,0.0,985.0,487.0,0.0,1079.0,889.0,536.0,692.0,0.0,857.0,988.0,321.0,970.0,0.0,0.0,535.0,467.0
0.0,101.0,897.0,0.0,1022.0,345.0,0.0,980.0,989.0,551.0,822.0,0.0,1008.0,1036.0,175.0,980.0,0.0,0.0,644.0,450.0
0.0,45.0,877.0,0.0,1028.0,212.0,0.0,839.0,1004.0,581.0,941.0,0.0,976.0,998.0,145.0,1081.0,0.0,0.0,785.0,488.0
0.0,32.0,737.0,0.0,1012.0,167.0,0.0,776.0,1087.0,579.0,1109.0,0.0,1039.0,932.0,68.0,968.0,0.0,0.0,955.0,539.0
0.0,13.0,555.0,0.0,961.0,95.0,0.0,639.0,1124.0,559.0,1195.0,0.0,1147.0,875.0,36.0,985.0,0.0,0.0,1190.0,626.0
0.0,3.0,465.0,0.0,842.0,41.0,0.0,513.0,1100.0,684.0,1353.0,0.0,1131.0,728.0,16.0,910.0,0.0,0.0,1426.0,788.0
0.0,2.0,300.0,0.0,680.0,40.0,0.0,398.0,982.0,878.0,1380.0,0.0,1068.0,570.0,12.0,767.0,0.0,0.0,1812.0,1111.0
0.0,2.0,135.0,0.0,369.0,12.0,28.0,187.0,644.0,1238.0,1066.0,0.0,716.0,344.0,3.0,497.0,0.0,0.0,1695.0,3064.0
0.0,0.0,0.0,0.0,0.0,0.0,9972.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
