AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
0.0,44.0,581.0,274.0,166.0,544.0,2177.0,0.0,0.0,93.0,0.0,5895.0,224.0,0.0,0.0,2.0,0.0,0.0
0.0,204.0,1389.0,816.0,526.0,659.0,3250.0,0.0,0.0,327.0,4.0,2421.0,365.0,26.0,0.0,11.0,0.0,2.0
0.0,462.0,2054.0,1365.0,1080.0,699.0,2009.0,0.0,0.0,724.0,13.0,995.0,457.0,63.0,13.0,64.0,0.0,2.0
0.0,817.0,1830.0,1661.0,1476.0,753.0,1172.0,0.0,4.0,1009.0,36.0,387.0,484.0,154.0,31.0,169.0,0.0,17.0
0.0,1151.0,1463.0,1650.0,1620.0,703.0,664.0,0.0,12.0,1289.0,84.0,175.0,484.0,304.0,57.0,313.0,3.0,28.0
0.0,1276.0,1026.0,1459.0,1424.0,783.0,371.0,0.0,46.0,1467.0,198.0,84.0,596.0,549.0,130.0,501.0,5.0,85.0
0.0,1452.0,701.0,1075.0,1261.0,838.0,189.0,0.0,98.0,1386.0,316.0,26.0,716.0,792.0,256.0,740.0,9.0,145.0
0.0,1394.0,476.0,713.0,1006.0,780.0,95.0,0.0,190.0,1206.0,527.0,11.0,676.0,1115.0,467.0,1037.0,31.0,276.0
0.0,1119.0,256.0,476.0,659.0,746.0,46.0,0.0,350.0,919.0,851.0,6.0,739.0,1363.0,724.0,1252.0,73.0,421.0
0.0,785.0,123.0,275.0,407.0,666.0,18.0,0.0,605.0,648.0,1127.0,0.0,705.0,1406.0,1040.0,1398.0,149.0,648.0
0.0,572.0,59.0,123.0,181.0,633.0,7.0,0.0,888.0,437.0,1341.0,0.0,674.0,1281.0,1225.0,1297.0,302.0,980.0
0.0,358.0,31.0,72.0,112.0,514.0,1.0,0.0,1166.0,262.0,1488.0,0.0,658.0,1091.0,1391.0,1128.0,482.0,1246.0
0.0,214.0,5.0,20.0,45.0,458.0,1.0,0.0,1490.0,140.0,1380.0,0.0,673.0,811.0,1493.0,873.0,837.0,1560.0
0.0,99.0,5.0,16.0,29.0,455.0,0.0,0.0,1750.0,59.0,1220.0,0.0,670.0,566.0,1419.0,685.0,1302.0,1725.0
0.0,38.0,1.0,5.0,6.0,389.0,0.0,0.0,1962.0,29.0,928.0,0.0,784.0,340.0,1086.0,373.0,2403.0,1656.0
32.0,15.0,0.0,0.0,2.0,379.0,0.0,0.0,1438.0,5.0,487.0,0.0,1074.0,139.0,668.0,157.0,4395.0,1209.0
9968.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9997.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
