Internazionale,AC Milan,Juventus,Lazio,Udinese,Como,AS Roma,Lecce,Atalanta,Frosinone,Napoli,Sassuolo,Cagliari,Bologna,Torino,Genoa,Parma,Monza,Venezia,Fiorentina
0.0,460.0,2101.0,0.0,12.0,3214.0,2958.0,0.0,231.0,282.0,671.0,1.0,0.0,3.0,0.0,0.0,0.0,47.0,20.0,0.0
0.0,829.0,2197.0,0.0,46.0,2556.0,2345.0,0.0,519.0,299.0,1060.0,6.0,0.0,20.0,0.0,0.0,0.0,82.0,41.0,0.0
0.0,1260.0,2000.0,0.0,98.0,1826.0,1850.0,1.0,832.0,399.0,1482.0,29.0,0.0,64.0,0.0,0.0,0.0,106.0,52.0,1.0
0.0,1716.0,1543.0,0.0,261.0,1141.0,1278.0,4.0,1247.0,511.0,1827.0,77.0,0.0,139.0,1.0,0.0,0.0,164.0,90.0,1.0
0.0,1839.0,1067.0,0.0,578.0,690.0,778.0,9.0,1765.0,607.0,1803.0,163.0,0.0,311.0,7.0,0.0,1.0,225.0,143.0,14.0
0.0,1670.0,614.0,0.0,1055.0,355.0,455.0,50.0,1887.0,806.0,1479.0,425.0,0.0,632.0,22.0,0.0,1.0,303.0,215.0,31.0
0.0,1147.0,307.0,0.0,1580.0,138.0,205.0,165.0,1533.0,1041.0,917.0,839.0,0.0,1140.0,78.0,0.0,37.0,421.0,361.0,91.0
0.0,563.0,109.0,0.0,1892.0,52.0,89.0,369.0,964.0,994.0,423.0,1428.0,0.0,1577.0,163.0,0.0,80.0,583.0,478.0,236.0
0.0,312.0,38.0,0.0,1587.0,21.0,22.0,678.0,532.0,964.0,194.0,1682.0,0.0,1732.0,409.0,0.0,179.0,660.0,568.0,422.0
0.0,136.0,17.0,0.0,1210.0,5.0,15.0,964.0,276.0,877.0,91.0,1662.0,0.0,1518.0,627.0,0.0,380.0,825.0,702.0,695.0
0.0,42.0,6.0,0.0,777.0,2.0,4.0,1383.0,133.0,734.0,32.0,1375.0,0.0,1147.0,1027.0,0.0,668.0,752.0,801.0,1117.0
0.0,16.0,1.0,0.0,489.0,0.0,0.0,1551.0,41.0,625.0,15.0,1038.0,0.0,722.0,1434.0,0.0,1059.0,808.0,814.0,1387.0
0.0,7.0,0.0,0.0,215.0,0.0,1.0,1655.0,25.0,572.0,4.0,632.0,0.0,492.0,1635.0,0.0,1384.0,774.0,967.0,1637.0
0.0,3.0,0.0,0.0,136.0,0.0,0.0,1440.0,11.0,477.0,2.0,372.0,0.0,294.0,1766.0,0.0,1867.0,954.0,1019.0,1659.0
0.0,0.0,0.0,0.0,53.0,0.0,0.0,1138.0,4.0,448.0,0.0,204.0,0.0,152.0,1608.0,0.0,2301.0,1184.0,1297.0,1611.0
163.0,0.0,0.0,0.0,11.0,0.0,0.0,593.0,0.0,363.0,0.0,67.0,0.0,57.0,1223.0,0.0,2042.0,2041.0,2342.0,1098.0
9837.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,9837.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,58.0,75.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9971.0,0.0,0.0,2.0,1.0,12.0,14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9998.0,0.0,1.0,1.0,0.0
