Charlton Athletic,Wolverhampton Wanderers,Swansea City,Queens Park Rangers,Middlesbrough,Millwall,West Bromwich Albion,Birmingham City,Watford,Blackburn Rovers,Bolton Wanderers,Bristol City,Cardiff City,Sheffield United,Portsmouth,Norwich City,Lincoln City,Southampton,West Ham United,Wrexham,Derby County,Burnley,Preston North End,Stoke City
5.0,4103.0,106.0,11.0,923.0,564.0,6.0,37.0,1.0,1.0,66.0,8.0,71.0,24.0,0.0,95.0,41.0,1699.0,1422.0,8.0,9.0,800.0,0.0,0.0
29.0,1397.0,323.0,30.0,1657.0,1182.0,30.0,135.0,5.0,3.0,91.0,35.0,115.0,83.0,3.0,250.0,61.0,2567.0,1159.0,51.0,55.0,738.0,1.0,0.0
95.0,803.0,552.0,79.0,1826.0,1435.0,79.0,276.0,18.0,10.0,108.0,105.0,140.0,175.0,4.0,500.0,95.0,1977.0,874.0,116.0,116.0,610.0,3.0,4.0
124.0,625.0,809.0,186.0,1559.0,1558.0,153.0,393.0,27.0,20.0,137.0,145.0,145.0,350.0,17.0,621.0,119.0,1352.0,692.0,204.0,204.0,550.0,4.0,6.0
227.0,450.0,943.0,225.0,1229.0,1319.0,268.0,626.0,60.0,53.0,161.0,221.0,165.0,468.0,34.0,805.0,114.0,845.0,595.0,347.0,338.0,492.0,8.0,7.0
275.0,369.0,977.0,373.0,907.0,1071.0,390.0,709.0,84.0,84.0,132.0,360.0,187.0,624.0,43.0,920.0,133.0,554.0,481.0,425.0,424.0,445.0,20.0,13.0
424.0,290.0,1034.0,431.0,570.0,776.0,464.0,767.0,173.0,128.0,150.0,428.0,190.0,668.0,69.0,964.0,128.0,384.0,446.0,518.0,491.0,451.0,34.0,22.0
512.0,273.0,917.0,560.0,409.0,563.0,519.0,864.0,220.0,173.0,182.0,523.0,174.0,717.0,118.0,865.0,137.0,246.0,345.0,596.0,625.0,374.0,44.0,44.0
581.0,231.0,757.0,615.0,281.0,427.0,600.0,806.0,262.0,223.0,146.0,607.0,194.0,793.0,188.0,852.0,147.0,133.0,339.0,658.0,655.0,368.0,71.0,66.0
635.0,175.0,685.0,650.0,193.0,335.0,665.0,797.0,365.0,298.0,185.0,647.0,167.0,754.0,204.0,718.0,144.0,90.0,320.0,709.0,703.0,341.0,116.0,104.0
717.0,177.0,581.0,721.0,133.0,241.0,691.0,746.0,415.0,373.0,185.0,723.0,222.0,679.0,247.0,640.0,148.0,59.0,283.0,706.0,698.0,351.0,150.0,114.0
734.0,134.0,514.0,700.0,112.0,169.0,749.0,698.0,500.0,404.0,196.0,686.0,199.0,718.0,299.0,567.0,180.0,40.0,264.0,737.0,734.0,312.0,184.0,170.0
718.0,142.0,470.0,750.0,76.0,121.0,738.0,639.0,554.0,494.0,204.0,713.0,237.0,711.0,397.0,478.0,160.0,24.0,257.0,655.0,722.0,280.0,249.0,211.0
746.0,100.0,323.0,691.0,49.0,80.0,720.0,538.0,644.0,568.0,236.0,705.0,259.0,618.0,482.0,406.0,208.0,7.0,256.0,694.0,685.0,334.0,346.0,305.0
709.0,105.0,306.0,731.0,28.0,54.0,699.0,474.0,675.0,654.0,231.0,658.0,278.0,613.0,555.0,315.0,243.0,11.0,245.0,674.0,634.0,293.0,425.0,390.0
711.0,97.0,221.0,625.0,16.0,41.0,658.0,370.0,760.0,730.0,295.0,675.0,321.0,463.0,675.0,271.0,236.0,5.0,245.0,668.0,609.0,290.0,549.0,469.0
655.0,90.0,167.0,626.0,14.0,32.0,611.0,352.0,854.0,800.0,312.0,647.0,294.0,404.0,811.0,203.0,269.0,5.0,235.0,527.0,574.0,308.0,616.0,594.0
526.0,77.0,136.0,580.0,7.0,6.0,550.0,254.0,872.0,888.0,374.0,550.0,393.0,345.0,919.0,190.0,310.0,1.0,244.0,502.0,486.0,295.0,787.0,708.0
514.0,90.0,79.0,447.0,5.0,14.0,477.0,210.0,872.0,913.0,444.0,509.0,437.0,314.0,950.0,157.0,405.0,1.0,222.0,394.0,404.0,294.0,945.0,903.0
426.0,64.0,55.0,391.0,1.0,8.0,348.0,141.0,838.0,966.0,518.0,411.0,498.0,207.0,1087.0,91.0,480.0,0.0,225.0,335.0,335.0,330.0,1099.0,1146.0
318.0,72.0,19.0,280.0,4.0,3.0,271.0,85.0,763.0,898.0,692.0,317.0,679.0,122.0,1047.0,55.0,634.0,0.0,235.0,229.0,238.0,380.0,1344.0,1315.0
202.0,63.0,18.0,188.0,1.0,1.0,188.0,54.0,572.0,721.0,1022.0,196.0,954.0,97.0,936.0,27.0,999.0,0.0,248.0,150.0,157.0,410.0,1352.0,1444.0
87.0,42.0,7.0,92.0,0.0,0.0,104.0,25.0,348.0,447.0,1631.0,102.0,1447.0,42.0,658.0,7.0,1630.0,0.0,205.0,71.0,87.0,517.0,1144.0,1307.0
30.0,31.0,1.0,18.0,0.0,0.0,22.0,4.0,118.0,151.0,2302.0,29.0,2234.0,11.0,257.0,3.0,2979.0,0.0,163.0,26.0,17.0,437.0,509.0,658.0
