Arouca,FC Porto,Maritimo,C.D. Nacional,Santa Clara,Benfica,Sporting CP,Gil Vicente,Estrela,Braga,FC Famalicao,Estoril,Moreirense,Académico de Viseu,Alverca,Vitória de Guimaraes,Rio Ave,Casa Pia
0.0,3960.0,2.0,0.0,0.0,2641.0,3373.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3227.0,10.0,0.0,0.0,3190.0,3450.0,2.0,0.0,117.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,2602.0,49.0,1.0,0.0,3734.0,2935.0,43.0,0.0,596.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
267.0,202.0,1271.0,146.0,85.0,392.0,225.0,970.0,3.0,5501.0,799.0,32.0,0.0,103.0,1.0,3.0,0.0,0.0
740.0,8.0,2302.0,466.0,284.0,35.0,15.0,1863.0,37.0,1985.0,1765.0,134.0,8.0,326.0,4.0,27.0,1.0,0.0
1088.0,1.0,1980.0,698.0,533.0,6.0,2.0,1769.0,72.0,890.0,1901.0,318.0,39.0,599.0,38.0,64.0,2.0,0.0
1398.0,0.0,1445.0,984.0,728.0,1.0,0.0,1575.0,127.0,492.0,1643.0,517.0,48.0,844.0,71.0,117.0,9.0,1.0
1400.0,0.0,1055.0,1176.0,965.0,0.0,0.0,1249.0,279.0,213.0,1319.0,781.0,116.0,1096.0,128.0,208.0,15.0,0.0
1328.0,0.0,715.0,1322.0,1177.0,1.0,0.0,885.0,443.0,90.0,938.0,1027.0,195.0,1267.0,232.0,323.0,51.0,6.0
1124.0,0.0,469.0,1252.0,1296.0,0.0,0.0,682.0,581.0,51.0,678.0,1209.0,316.0,1357.0,361.0,495.0,114.0,15.0
943.0,0.0,301.0,1203.0,1325.0,0.0,0.0,404.0,853.0,20.0,393.0,1297.0,503.0,1245.0,557.0,755.0,179.0,22.0
655.0,0.0,207.0,963.0,1237.0,0.0,0.0,247.0,1166.0,13.0,262.0,1293.0,729.0,1061.0,788.0,1007.0,299.0,73.0
454.0,0.0,102.0,712.0,907.0,0.0,0.0,172.0,1313.0,6.0,141.0,1142.0,1035.0,803.0,1222.0,1359.0,505.0,127.0
308.0,0.0,49.0,508.0,651.0,0.0,0.0,85.0,1509.0,2.0,78.0,921.0,1323.0,593.0,1425.0,1425.0,854.0,269.0
159.0,0.0,32.0,292.0,417.0,0.0,0.0,39.0,1426.0,1.0,31.0,630.0,1667.0,349.0,1652.0,1511.0,1310.0,484.0
85.0,0.0,8.0,179.0,242.0,0.0,0.0,13.0,1153.0,0.0,13.0,422.0,1806.0,223.0,1595.0,1377.0,1883.0,1001.0
36.0,0.0,3.0,83.0,114.0,0.0,0.0,2.0,716.0,0.0,4.0,211.0,1522.0,111.0,1299.0,910.0,2777.0,2212.0
7.0,0.0,0.0,15.0,39.0,0.0,0.0,0.0,322.0,0.0,0.0,66.0,693.0,21.0,627.0,419.0,2001.0,5790.0
