Espanyol,Alavés,Sevilla,Racing Santander,Villarreal,Deportivo La Coruña,Elche,Athletic Club,Atlético Madrid,Barcelona,Celta Vigo,Málaga,Osasuna,Real Betis,Real Madrid,Real Sociedad,Valencia,Rayo Vallecano,Levante,Getafe
0.0,0.0,0.0,0.0,134.0,1.0,0.0,0.0,49.0,7669.0,1.0,1.0,0.0,7.0,2138.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,2.0,17.0,1152.0,11.0,2.0,1.0,408.0,2057.0,52.0,24.0,3.0,171.0,6070.0,16.0,3.0,4.0,0.0,2.0
36.0,59.0,21.0,192.0,3930.0,145.0,28.0,2.0,1888.0,247.0,545.0,203.0,32.0,1119.0,1292.0,152.0,55.0,45.0,4.0,5.0
113.0,152.0,53.0,489.0,2161.0,376.0,109.0,14.0,2336.0,24.0,994.0,471.0,111.0,1507.0,347.0,350.0,156.0,185.0,15.0,37.0
216.0,298.0,114.0,657.0,1083.0,568.0,239.0,42.0,1563.0,3.0,1255.0,728.0,219.0,1629.0,91.0,603.0,262.0,349.0,25.0,56.0
289.0,456.0,161.0,863.0,598.0,741.0,298.0,63.0,1070.0,0.0,1196.0,846.0,366.0,1260.0,32.0,720.0,404.0,471.0,66.0,100.0
398.0,560.0,264.0,919.0,356.0,799.0,389.0,130.0,755.0,0.0,1029.0,841.0,432.0,1044.0,19.0,857.0,458.0,526.0,78.0,146.0
487.0,532.0,357.0,908.0,218.0,827.0,481.0,171.0,572.0,0.0,901.0,869.0,510.0,781.0,6.0,805.0,558.0,637.0,158.0,222.0
556.0,674.0,420.0,845.0,136.0,798.0,545.0,211.0,399.0,0.0,781.0,826.0,570.0,632.0,3.0,865.0,601.0,681.0,182.0,275.0
616.0,660.0,505.0,804.0,79.0,788.0,623.0,274.0,265.0,0.0,674.0,779.0,627.0,468.0,0.0,818.0,723.0,744.0,218.0,335.0
670.0,770.0,595.0,721.0,57.0,758.0,647.0,352.0,210.0,0.0,562.0,752.0,637.0,336.0,1.0,736.0,722.0,781.0,289.0,404.0
725.0,786.0,643.0,671.0,42.0,722.0,703.0,378.0,163.0,0.0,462.0,693.0,723.0,278.0,0.0,680.0,739.0,758.0,377.0,457.0
711.0,760.0,696.0,565.0,19.0,680.0,733.0,473.0,94.0,0.0,353.0,610.0,789.0,233.0,0.0,662.0,789.0,788.0,500.0,545.0
738.0,760.0,739.0,489.0,13.0,632.0,797.0,576.0,83.0,0.0,314.0,529.0,801.0,154.0,1.0,561.0,736.0,763.0,574.0,740.0
823.0,692.0,857.0,471.0,10.0,528.0,783.0,649.0,57.0,0.0,285.0,469.0,767.0,133.0,0.0,554.0,758.0,692.0,712.0,760.0
832.0,722.0,888.0,407.0,8.0,464.0,778.0,844.0,35.0,0.0,205.0,392.0,772.0,97.0,0.0,431.0,737.0,640.0,848.0,900.0
770.0,622.0,934.0,358.0,3.0,444.0,780.0,1008.0,25.0,0.0,159.0,339.0,707.0,69.0,0.0,452.0,675.0,622.0,977.0,1056.0
742.0,601.0,944.0,283.0,1.0,329.0,741.0,1247.0,19.0,0.0,120.0,284.0,740.0,42.0,0.0,341.0,642.0,546.0,1252.0,1126.0
722.0,511.0,937.0,218.0,0.0,248.0,726.0,1540.0,5.0,0.0,74.0,222.0,658.0,26.0,0.0,219.0,583.0,455.0,1528.0,1328.0
553.0,383.0,870.0,123.0,0.0,141.0,598.0,2025.0,4.0,0.0,38.0,122.0,536.0,14.0,0.0,178.0,399.0,313.0,2197.0,1506.0
