Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Girona,Athletic Club,Rayo Vallecano,Valencia,Mallorca,Sevilla,Alavés,Elche,Levante,Real Oviedo
9906.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,9816.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,90.0,8995.0,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,916.0,9048.0,25.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,36.0,6161.0,2045.0,1380.0,251.0,55.0,18.0,42.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,2345.0,3815.0,2280.0,821.0,312.0,122.0,178.0,94.0,12.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,997.0,2475.0,2951.0,1552.0,809.0,311.0,459.0,272.0,78.0,36.0,47.0,7.0,3.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,348.0,989.0,1654.0,2451.0,1737.0,753.0,901.0,580.0,248.0,106.0,137.0,35.0,38.0,23.0,0.0,0.0
0.0,0.0,0.0,0.0,88.0,406.0,806.0,1933.0,1891.0,1196.0,1411.0,1026.0,492.0,223.0,299.0,80.0,92.0,57.0,0.0,0.0
0.0,0.0,0.0,0.0,27.0,167.0,472.0,1289.0,1583.0,1366.0,1595.0,1322.0,726.0,410.0,521.0,175.0,195.0,151.0,1.0,0.0
0.0,0.0,0.0,0.0,8.0,70.0,256.0,782.0,1293.0,1478.0,1453.0,1418.0,950.0,618.0,752.0,292.0,369.0,254.0,7.0,0.0
0.0,0.0,0.0,0.0,1.0,14.0,117.0,474.0,939.0,1329.0,1221.0,1375.0,1218.0,826.0,978.0,436.0,604.0,439.0,27.0,2.0
0.0,0.0,0.0,0.0,0.0,8.0,52.0,257.0,571.0,1163.0,965.0,1245.0,1252.0,1062.0,1233.0,734.0,827.0,597.0,30.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0,18.0,106.0,418.0,885.0,726.0,1023.0,1242.0,1304.0,1335.0,939.0,1029.0,883.0,82.0,8.0
0.0,0.0,0.0,0.0,0.0,2.0,7.0,52.0,226.0,621.0,465.0,727.0,1227.0,1408.0,1262.0,1270.0,1328.0,1211.0,156.0,38.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,114.0,413.0,325.0,477.0,1031.0,1438.0,1238.0,1578.0,1514.0,1455.0,329.0,58.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,239.0,168.0,290.0,855.0,1353.0,1030.0,1884.0,1624.0,1716.0,637.0,157.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,88.0,86.0,131.0,538.0,968.0,814.0,1799.0,1678.0,2049.0,1362.0,478.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,5.0,10.0,114.0,221.0,306.0,671.0,595.0,909.0,5072.0,2078.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,39.0,99.0,104.0,252.0,2297.0,7177.0
