Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Botafogo,Red Bull Bragantino,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Mirassol,Remo,Chapecoense
4884.0,4882.0,165.0,36.0,20.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4333.0,4291.0,830.0,270.0,150.0,92.0,11.0,19.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611.0,645.0,4170.0,2001.0,1192.0,801.0,152.0,256.0,77.0,24.0,22.0,30.0,3.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0
138.0,126.0,2248.0,2588.0,1943.0,1391.0,444.0,589.0,201.0,86.0,67.0,74.0,14.0,24.0,6.0,47.0,13.0,1.0,0.0,0.0
25.0,45.0,1199.0,1884.0,2008.0,1837.0,750.0,982.0,465.0,208.0,167.0,142.0,41.0,77.0,12.0,94.0,63.0,1.0,0.0,0.0
7.0,8.0,653.0,1297.0,1617.0,1693.0,1142.0,1249.0,728.0,379.0,318.0,264.0,84.0,172.0,43.0,217.0,121.0,8.0,0.0,0.0
2.0,3.0,344.0,775.0,1099.0,1351.0,1420.0,1366.0,989.0,577.0,514.0,471.0,175.0,273.0,91.0,314.0,222.0,14.0,0.0,0.0
0.0,0.0,184.0,480.0,747.0,917.0,1351.0,1350.0,1192.0,815.0,689.0,620.0,254.0,382.0,176.0,484.0,329.0,26.0,4.0,0.0
0.0,0.0,108.0,305.0,462.0,680.0,1166.0,1115.0,1185.0,982.0,912.0,804.0,406.0,518.0,255.0,589.0,457.0,54.0,2.0,0.0
0.0,0.0,52.0,151.0,302.0,434.0,962.0,874.0,1155.0,1061.0,976.0,941.0,459.0,759.0,345.0,837.0,614.0,72.0,6.0,0.0
0.0,0.0,23.0,98.0,191.0,294.0,803.0,656.0,1003.0,1088.0,1012.0,1008.0,606.0,947.0,499.0,928.0,712.0,109.0,23.0,0.0
0.0,0.0,14.0,56.0,128.0,189.0,567.0,467.0,801.0,1046.0,1099.0,1105.0,783.0,1010.0,642.0,975.0,914.0,172.0,30.0,2.0
0.0,0.0,5.0,38.0,70.0,145.0,468.0,367.0,669.0,987.0,985.0,1049.0,923.0,1115.0,781.0,1078.0,995.0,262.0,58.0,5.0
0.0,0.0,4.0,13.0,48.0,75.0,313.0,272.0,580.0,821.0,955.0,978.0,1133.0,1133.0,943.0,1076.0,1171.0,353.0,124.0,8.0
0.0,0.0,0.0,6.0,12.0,51.0,247.0,213.0,426.0,698.0,775.0,893.0,1273.0,1147.0,1218.0,1044.0,1180.0,595.0,192.0,30.0
0.0,0.0,1.0,2.0,5.0,28.0,106.0,127.0,276.0,570.0,725.0,745.0,1350.0,992.0,1554.0,937.0,1224.0,928.0,370.0,60.0
0.0,0.0,0.0,0.0,3.0,10.0,69.0,71.0,160.0,423.0,474.0,539.0,1323.0,800.0,1645.0,789.0,1037.0,1728.0,757.0,172.0
0.0,0.0,0.0,0.0,3.0,2.0,19.0,22.0,68.0,190.0,246.0,269.0,841.0,489.0,1252.0,433.0,678.0,3019.0,1895.0,574.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,22.0,43.0,59.0,62.0,295.0,139.0,465.0,130.0,229.0,2023.0,4477.0,2045.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,6.0,37.0,17.0,73.0,22.0,37.0,635.0,2062.0,7104.0
