Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Mainz,Borussia Mönchengladbach,Werder Bremen,1. FC Union Berlin,FC Cologne,Hamburg SV,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9791.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,209.0,9026.0,275.0,390.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,679.0,4037.0,3670.0,1614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,86.0,2995.0,3743.0,3176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2693.0,2197.0,5110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5695.0,4271.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4199.0,5587.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,106.0,142.0,6056.0,2718.0,382.0,122.0,423.0,34.0,17.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2522.0,4220.0,967.0,536.0,1204.0,432.0,119.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,1652.0,1955.0,1546.0,1978.0,1515.0,585.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,808.0,2243.0,1890.0,1909.0,1735.0,1065.0,17.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,394.0,1872.0,2201.0,1606.0,2022.0,1714.0,88.0,29.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,178.0,1559.0,2015.0,1519.0,2194.0,2257.0,187.0,87.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,952.0,1561.0,1291.0,1777.0,3595.0,590.0,206.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,129.0,70.0,289.0,644.0,4723.0,3982.0,91.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4069.0,5061.0,864.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,630.0,9045.0
