Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Fulham,Everton,Sunderland,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6492.0,3508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3508.0,6492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7600.0,1684.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1922.0,4586.0,3466.0,19.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,470.0,3542.0,5395.0,448.0,31.0,94.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,179.0,401.0,5072.0,1261.0,1569.0,431.0,715.0,256.0,101.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.0,21.0,2127.0,1998.0,2452.0,1064.0,1345.0,677.0,269.0,24.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1179.0,1883.0,1983.0,1644.0,1642.0,1109.0,451.0,68.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,629.0,1691.0,1567.0,1902.0,1747.0,1543.0,688.0,146.0,78.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,332.0,1461.0,1048.0,1961.0,1818.0,1865.0,1008.0,230.0,224.0,47.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,138.0,1082.0,762.0,1658.0,1664.0,2031.0,1522.0,473.0,512.0,130.0,28.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,48.0,462.0,380.0,900.0,712.0,1621.0,2617.0,1263.0,1309.0,553.0,134.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,115.0,114.0,336.0,293.0,649.0,1843.0,2471.0,2445.0,1216.0,473.0,36.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,88.0,50.0,206.0,1066.0,2736.0,2609.0,2080.0,1003.0,109.0,15.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,42.0,395.0,1952.0,1758.0,3270.0,2153.0,319.0,99.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,608.0,870.0,2179.0,4741.0,1002.0,559.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,134.0,452.0,1259.0,4728.0,3403.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,203.0,3805.0,5923.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8220.0,1780.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.0,8220.0
