Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
6446.0,3328.0,151.0,46.0,21.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3111.0,5411.0,809.0,342.0,199.0,28.0,19.0,17.0,26.0,4.0,6.0,4.0,4.0,12.0,4.0,1.0,3.0,0.0,0.0,0.0
340.0,929.0,3862.0,2039.0,1398.0,248.0,224.0,233.0,257.0,53.0,72.0,50.0,46.0,113.0,84.0,28.0,24.0,0.0,0.0,0.0
82.0,236.0,2124.0,2455.0,1824.0,525.0,471.0,465.0,551.0,130.0,175.0,178.0,131.0,284.0,193.0,92.0,80.0,2.0,2.0,0.0
16.0,57.0,1177.0,1625.0,1772.0,867.0,734.0,715.0,798.0,260.0,331.0,318.0,232.0,486.0,315.0,166.0,124.0,4.0,3.0,0.0
1.0,23.0,657.0,1103.0,1248.0,1013.0,927.0,903.0,969.0,382.0,396.0,445.0,365.0,606.0,472.0,271.0,205.0,7.0,7.0,0.0
3.0,12.0,432.0,723.0,937.0,986.0,919.0,980.0,1020.0,475.0,484.0,604.0,427.0,729.0,558.0,350.0,338.0,12.0,11.0,0.0
0.0,4.0,290.0,461.0,662.0,1008.0,959.0,912.0,979.0,623.0,548.0,662.0,536.0,841.0,652.0,435.0,374.0,32.0,22.0,0.0
1.0,0.0,187.0,363.0,518.0,938.0,950.0,858.0,897.0,715.0,620.0,754.0,599.0,783.0,752.0,543.0,434.0,63.0,25.0,0.0
0.0,0.0,131.0,262.0,404.0,838.0,813.0,895.0,807.0,721.0,713.0,797.0,707.0,831.0,756.0,633.0,549.0,88.0,55.0,0.0
0.0,0.0,78.0,190.0,317.0,701.0,755.0,790.0,773.0,846.0,758.0,898.0,758.0,828.0,769.0,694.0,680.0,111.0,54.0,0.0
0.0,0.0,41.0,145.0,211.0,711.0,716.0,703.0,659.0,894.0,815.0,843.0,796.0,854.0,806.0,789.0,750.0,171.0,94.0,2.0
0.0,0.0,21.0,82.0,162.0,605.0,676.0,661.0,645.0,892.0,834.0,845.0,864.0,767.0,864.0,903.0,784.0,249.0,145.0,1.0
0.0,0.0,24.0,75.0,127.0,479.0,574.0,568.0,510.0,920.0,844.0,899.0,991.0,769.0,890.0,891.0,915.0,315.0,206.0,3.0
0.0,0.0,10.0,44.0,97.0,416.0,473.0,467.0,397.0,911.0,854.0,809.0,999.0,652.0,857.0,1126.0,1066.0,473.0,340.0,9.0
0.0,0.0,4.0,30.0,56.0,316.0,363.0,357.0,335.0,852.0,921.0,744.0,947.0,592.0,783.0,1090.0,1197.0,804.0,582.0,27.0
0.0,0.0,2.0,12.0,37.0,197.0,278.0,265.0,206.0,738.0,829.0,627.0,868.0,472.0,661.0,1125.0,1199.0,1360.0,1029.0,95.0
0.0,0.0,0.0,3.0,9.0,97.0,121.0,155.0,128.0,429.0,568.0,378.0,514.0,268.0,420.0,614.0,900.0,2844.0,2254.0,298.0
0.0,0.0,0.0,0.0,1.0,25.0,28.0,47.0,41.0,145.0,223.0,134.0,207.0,108.0,154.0,225.0,349.0,2812.0,4306.0,1195.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,10.0,7.0,11.0,9.0,5.0,9.0,24.0,29.0,653.0,865.0,8370.0
