Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Valencia,Sevilla,Osasuna,Espanyol,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8783.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1217.0,8783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8799.0,1109.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1111.0,5946.0,2431.0,58.0,243.0,27.0,28.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,90.0,2174.0,4759.0,350.0,1223.0,318.0,197.0,707.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,674.0,1263.0,1604.0,3140.0,652.0,553.0,1384.0,510.0,27.0,180.0,8.0,3.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,94.0,578.0,1964.0,1707.0,1073.0,1133.0,2038.0,632.0,95.0,518.0,75.0,77.0,16.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,488.0,1431.0,1313.0,998.0,1176.0,1942.0,971.0,183.0,708.0,334.0,386.0,67.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,1511.0,1195.0,1126.0,1045.0,1165.0,1316.0,234.0,648.0,570.0,715.0,194.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1503.0,731.0,1684.0,1331.0,771.0,1279.0,301.0,710.0,591.0,786.0,218.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1064.0,342.0,1926.0,1918.0,570.0,818.0,559.0,1160.0,700.0,792.0,140.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,423.0,96.0,1452.0,1622.0,496.0,1134.0,1397.0,1529.0,751.0,910.0,189.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,9.0,627.0,830.0,469.0,1389.0,1992.0,1285.0,1123.0,1407.0,783.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,117.0,163.0,286.0,1219.0,1421.0,1353.0,1775.0,1932.0,1726.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,496.0,2087.0,1326.0,2304.0,1452.0,2315.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1704.0,583.0,1769.0,1540.0,4350.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
