Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,SC Freiburg,Eintracht Frankfurt,FC Augsburg,Mainz,1. FC Union Berlin,FC Cologne,Borussia Mönchengladbach,Hamburg SV,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9671.0,322.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,315.0,8239.0,1001.0,348.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,1261.0,5314.0,2583.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,167.0,2569.0,4541.0,2723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,1110.0,2527.0,6347.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,5551.0,4297.0,137.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4192.0,4981.0,689.0,128.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,253.0,664.0,4782.0,3215.0,408.0,179.0,337.0,96.0,66.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,2859.0,3827.0,1068.0,822.0,764.0,351.0,251.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,903.0,1551.0,2090.0,2029.0,1623.0,1053.0,730.0,19.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,731.0,1956.0,2136.0,1930.0,1542.0,1234.0,84.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,372.0,1740.0,1950.0,1843.0,1912.0,1787.0,179.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,122.0,1528.0,1611.0,1728.0,2246.0,2249.0,401.0,70.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,1086.0,1057.0,1427.0,2252.0,3058.0,881.0,192.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,119.0,211.0,336.0,540.0,614.0,6004.0,2143.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,11.0,2348.0,7208.0,413.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,358.0,9560.0
