Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
215.0,278.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.0,195.0,43.0,9.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,18.0,216.0,107.0,60.0,42.0,4.0,5.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5.0,6.0,120.0,140.0,108.0,68.0,14.0,10.0,14.0,4.0,6.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,3.0,61.0,91.0,110.0,92.0,30.0,26.0,32.0,10.0,17.0,9.0,2.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0
1.0,0.0,27.0,57.0,83.0,108.0,44.0,36.0,50.0,21.0,22.0,17.0,7.0,6.0,1.0,11.0,8.0,0.0,1.0,0.0
0.0,0.0,12.0,45.0,57.0,63.0,55.0,57.0,51.0,40.0,34.0,22.0,15.0,13.0,7.0,11.0,16.0,1.0,1.0,0.0
0.0,0.0,4.0,23.0,28.0,31.0,62.0,72.0,52.0,44.0,57.0,39.0,18.0,30.0,8.0,18.0,11.0,0.0,3.0,0.0
0.0,0.0,7.0,11.0,15.0,37.0,49.0,52.0,53.0,51.0,41.0,37.0,25.0,34.0,14.0,36.0,37.0,1.0,0.0,0.0
0.0,0.0,3.0,3.0,12.0,15.0,46.0,49.0,40.0,49.0,50.0,50.0,40.0,36.0,20.0,43.0,36.0,1.0,7.0,0.0
0.0,0.0,1.0,6.0,8.0,18.0,44.0,50.0,48.0,51.0,40.0,48.0,36.0,29.0,21.0,43.0,45.0,6.0,6.0,0.0
0.0,0.0,0.0,3.0,1.0,2.0,48.0,26.0,39.0,58.0,56.0,35.0,38.0,59.0,39.0,42.0,41.0,3.0,10.0,0.0
0.0,0.0,0.0,2.0,7.0,6.0,28.0,33.0,35.0,36.0,50.0,51.0,47.0,41.0,35.0,50.0,50.0,11.0,17.0,1.0
0.0,0.0,0.0,2.0,2.0,2.0,34.0,33.0,22.0,46.0,28.0,46.0,54.0,55.0,47.0,53.0,40.0,15.0,21.0,0.0
0.0,0.0,0.0,1.0,0.0,3.0,12.0,21.0,16.0,25.0,41.0,44.0,54.0,52.0,53.0,59.0,55.0,32.0,31.0,1.0
0.0,0.0,0.0,0.0,4.0,5.0,12.0,17.0,17.0,27.0,28.0,46.0,43.0,53.0,65.0,57.0,52.0,36.0,36.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,10.0,20.0,18.0,27.0,62.0,46.0,74.0,38.0,52.0,60.0,70.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,15.0,8.0,15.0,43.0,33.0,75.0,21.0,32.0,108.0,115.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,2.0,8.0,14.0,12.0,31.0,10.0,19.0,195.0,141.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,0.0,31.0,41.0,417.0
