Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Espanyol,Valencia,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,498.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,458.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,457.0,20.0,11.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,32.0,217.0,116.0,22.0,95.0,12.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,141.0,133.0,44.0,103.0,51.0,6.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,62.0,109.0,88.0,128.0,64.0,13.0,20.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,31.0,61.0,130.0,82.0,91.0,32.0,23.0,6.0,23.0,13.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,23.0,38.0,92.0,49.0,115.0,44.0,46.0,7.0,42.0,28.0,15.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,17.0,57.0,19.0,81.0,85.0,59.0,28.0,74.0,42.0,29.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,9.0,30.0,8.0,42.0,61.0,85.0,38.0,75.0,74.0,48.0,22.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,3.0,23.0,67.0,76.0,63.0,70.0,78.0,64.0,17.0,10.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,20.0,63.0,72.0,81.0,67.0,83.0,53.0,32.0,9.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,62.0,62.0,103.0,45.0,78.0,76.0,50.0,14.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,31.0,86.0,44.0,55.0,98.0,98.0,34.0,15.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,70.0,32.0,35.0,75.0,138.0,79.0,34.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,10.0,10.0,9.0,29.0,99.0,219.0,108.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,4.0,38.0,118.0,304.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,26.0,463.0
