AS Roma,Internazionale,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Como,Napoli,Sassuolo,Atalanta,Lecce,Udinese,Torino,Parma,Monza,Fiorentina,Bologna,Genoa,Venezia
2562.0,5441.0,78.0,13.0,265.0,8.0,527.0,978.0,110.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2978.0,2392.0,315.0,60.0,707.0,52.0,1164.0,1872.0,342.0,19.0,88.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
1892.0,1126.0,601.0,189.0,1305.0,142.0,1714.0,2089.0,666.0,50.0,187.0,0.0,21.0,0.0,2.0,0.0,5.0,10.0,1.0,0.0
1175.0,527.0,882.0,317.0,1559.0,299.0,1816.0,1745.0,1017.0,104.0,434.0,1.0,60.0,19.0,5.0,1.0,14.0,22.0,3.0,0.0
638.0,266.0,1269.0,498.0,1545.0,492.0,1582.0,1253.0,1311.0,254.0,637.0,4.0,125.0,19.0,14.0,1.0,18.0,68.0,6.0,0.0
368.0,150.0,1399.0,706.0,1373.0,764.0,1128.0,834.0,1455.0,397.0,894.0,29.0,208.0,51.0,24.0,3.0,73.0,125.0,19.0,0.0
192.0,60.0,1375.0,977.0,1117.0,947.0,775.0,534.0,1371.0,570.0,1166.0,49.0,357.0,101.0,45.0,11.0,125.0,194.0,34.0,0.0
107.0,13.0,1171.0,1144.0,751.0,1119.0,543.0,310.0,1201.0,851.0,1281.0,79.0,527.0,169.0,77.0,16.0,183.0,373.0,85.0,0.0
51.0,10.0,946.0,1214.0,559.0,1241.0,328.0,193.0,890.0,986.0,1250.0,157.0,718.0,272.0,138.0,37.0,333.0,547.0,130.0,0.0
24.0,13.0,704.0,1260.0,338.0,1183.0,198.0,108.0,605.0,1145.0,1079.0,244.0,952.0,428.0,254.0,63.0,480.0,699.0,222.0,1.0
9.0,0.0,508.0,1018.0,207.0,1084.0,102.0,38.0,427.0,1199.0,933.0,376.0,1090.0,574.0,404.0,108.0,675.0,930.0,317.0,1.0
2.0,2.0,316.0,857.0,130.0,804.0,70.0,28.0,253.0,1117.0,713.0,540.0,1180.0,761.0,583.0,176.0,826.0,1139.0,501.0,2.0
2.0,0.0,202.0,623.0,67.0,639.0,29.0,10.0,161.0,956.0,500.0,786.0,1077.0,1022.0,824.0,323.0,987.0,1124.0,664.0,4.0
0.0,0.0,119.0,445.0,44.0,470.0,16.0,3.0,95.0,755.0,352.0,911.0,1019.0,1186.0,1032.0,454.0,1140.0,1122.0,830.0,7.0
0.0,0.0,62.0,314.0,20.0,303.0,6.0,4.0,55.0,603.0,218.0,1144.0,879.0,1239.0,1133.0,687.0,1191.0,1103.0,1011.0,28.0
0.0,0.0,29.0,177.0,8.0,208.0,2.0,0.0,26.0,436.0,133.0,1343.0,693.0,1192.0,1377.0,953.0,1201.0,889.0,1285.0,48.0
0.0,0.0,19.0,108.0,3.0,137.0,0.0,1.0,13.0,291.0,75.0,1427.0,557.0,1143.0,1464.0,1331.0,1077.0,767.0,1464.0,123.0
0.0,0.0,5.0,59.0,1.0,87.0,0.0,0.0,2.0,177.0,36.0,1464.0,345.0,1042.0,1434.0,1956.0,903.0,532.0,1616.0,341.0
0.0,0.0,0.0,21.0,1.0,20.0,0.0,0.0,0.0,78.0,9.0,1266.0,166.0,673.0,1024.0,3088.0,701.0,316.0,1535.0,1102.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,180.0,18.0,107.0,166.0,792.0,66.0,40.0,277.0,8343.0
