FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Braga,Académico de Viseu,Estrela,Moreirense,Gil Vicente,Maritimo,Alverca,FC Famalicao,Vitória de Guimaraes,C.D. Nacional,Rio Ave,Casa Pia,Estoril
6023.0,2056.0,1886.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2637.0,3772.0,3380.0,13.0,2.0,187.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1223.0,3595.0,4140.0,151.0,13.0,788.0,5.0,4.0,1.0,28.0,0.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0
103.0,482.0,516.0,1665.0,457.0,5106.0,131.0,86.0,25.0,533.0,0.0,28.0,848.0,9.0,5.0,0.0,0.0,6.0
11.0,78.0,68.0,2545.0,1109.0,2008.0,432.0,355.0,112.0,1120.0,14.0,198.0,1823.0,50.0,23.0,7.0,2.0,45.0
3.0,12.0,7.0,1907.0,1398.0,946.0,762.0,638.0,258.0,1452.0,55.0,368.0,1888.0,132.0,81.0,22.0,6.0,65.0
0.0,3.0,1.0,1359.0,1550.0,472.0,991.0,854.0,432.0,1491.0,123.0,514.0,1595.0,232.0,159.0,49.0,13.0,162.0
0.0,2.0,1.0,871.0,1411.0,239.0,1180.0,1099.0,624.0,1375.0,189.0,787.0,1243.0,371.0,254.0,85.0,22.0,247.0
0.0,0.0,0.0,596.0,1107.0,104.0,1275.0,1189.0,814.0,1113.0,320.0,1007.0,911.0,534.0,409.0,146.0,59.0,416.0
0.0,0.0,1.0,329.0,896.0,64.0,1285.0,1226.0,976.0,918.0,458.0,1111.0,610.0,724.0,522.0,246.0,105.0,529.0
0.0,0.0,0.0,252.0,675.0,31.0,1069.0,1140.0,1129.0,680.0,649.0,1203.0,430.0,920.0,701.0,326.0,154.0,641.0
0.0,0.0,0.0,143.0,497.0,11.0,861.0,972.0,1153.0,466.0,842.0,1103.0,254.0,1090.0,968.0,485.0,274.0,881.0
0.0,0.0,0.0,86.0,350.0,5.0,724.0,786.0,1119.0,329.0,1022.0,1014.0,161.0,1149.0,1079.0,730.0,389.0,1057.0
0.0,0.0,0.0,49.0,251.0,3.0,493.0,616.0,1067.0,224.0,1223.0,938.0,98.0,1172.0,1215.0,866.0,596.0,1189.0
0.0,0.0,0.0,18.0,137.0,0.0,403.0,472.0,906.0,145.0,1305.0,700.0,45.0,1132.0,1313.0,1284.0,817.0,1323.0
0.0,0.0,0.0,12.0,91.0,1.0,206.0,326.0,709.0,79.0,1422.0,491.0,22.0,1110.0,1309.0,1641.0,1278.0,1303.0
0.0,0.0,0.0,3.0,43.0,0.0,129.0,170.0,453.0,36.0,1406.0,361.0,13.0,863.0,1147.0,1965.0,2130.0,1281.0
0.0,0.0,0.0,1.0,13.0,0.0,54.0,66.0,222.0,8.0,972.0,176.0,4.0,511.0,815.0,2148.0,4155.0,855.0
