Borussia Dortmund,Bayern Munich,SC Freiburg,FC Augsburg,Bayer Leverkusen,Mainz,SV Elversberg,Werder Bremen,RB Leipzig,Eintracht Frankfurt,Schalke 04,SC Paderborn 07,FC Cologne,TSG Hoffenheim,VfB Stuttgart,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach
1515.0,8292.0,27.0,0.0,91.0,4.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0
6145.0,1490.0,406.0,39.0,933.0,58.0,11.0,11.0,584.0,23.0,0.0,0.0,3.0,64.0,231.0,2.0,0.0,0.0
1408.0,186.0,1524.0,297.0,2735.0,353.0,47.0,55.0,1803.0,155.0,3.0,0.0,43.0,331.0,1049.0,8.0,1.0,2.0
558.0,21.0,1661.0,555.0,2018.0,691.0,124.0,134.0,1917.0,366.0,16.0,3.0,70.0,544.0,1282.0,14.0,10.0,16.0
227.0,7.0,1558.0,772.0,1410.0,919.0,242.0,248.0,1639.0,532.0,23.0,7.0,140.0,779.0,1408.0,35.0,21.0,33.0
79.0,3.0,1272.0,973.0,1024.0,1088.0,346.0,405.0,1227.0,738.0,55.0,14.0,253.0,968.0,1331.0,110.0,54.0,60.0
42.0,0.0,1062.0,1137.0,617.0,1219.0,507.0,567.0,918.0,874.0,80.0,49.0,354.0,1102.0,1150.0,163.0,72.0,87.0
14.0,1.0,793.0,1086.0,454.0,1112.0,700.0,727.0,604.0,1103.0,144.0,93.0,485.0,1155.0,987.0,245.0,138.0,159.0
8.0,0.0,577.0,1100.0,287.0,1137.0,872.0,899.0,427.0,1096.0,196.0,122.0,640.0,1057.0,782.0,337.0,194.0,269.0
2.0,0.0,401.0,976.0,173.0,966.0,1049.0,1024.0,348.0,1064.0,353.0,203.0,796.0,981.0,588.0,404.0,303.0,369.0
0.0,0.0,284.0,792.0,119.0,749.0,1064.0,1126.0,197.0,1010.0,546.0,319.0,945.0,846.0,431.0,662.0,404.0,506.0
0.0,0.0,184.0,683.0,71.0,581.0,1144.0,1103.0,126.0,853.0,667.0,445.0,1109.0,665.0,308.0,800.0,554.0,707.0
1.0,0.0,110.0,600.0,32.0,396.0,1027.0,1010.0,77.0,758.0,850.0,670.0,1038.0,541.0,200.0,1024.0,769.0,897.0
1.0,0.0,68.0,423.0,19.0,292.0,940.0,866.0,41.0,509.0,1139.0,889.0,1090.0,379.0,115.0,1140.0,926.0,1163.0
0.0,0.0,32.0,264.0,11.0,208.0,730.0,714.0,23.0,408.0,1314.0,1152.0,962.0,257.0,75.0,1304.0,1255.0,1291.0
0.0,0.0,30.0,171.0,3.0,145.0,592.0,515.0,10.0,274.0,1472.0,1511.0,872.0,167.0,32.0,1354.0,1446.0,1406.0
0.0,0.0,8.0,88.0,3.0,57.0,381.0,387.0,6.0,166.0,1632.0,1921.0,728.0,122.0,10.0,1254.0,1726.0,1511.0
0.0,0.0,3.0,44.0,0.0,25.0,224.0,209.0,0.0,70.0,1510.0,2602.0,472.0,40.0,6.0,1144.0,2127.0,1524.0
