Swansea City,West Ham United,Middlesbrough,Wolverhampton Wanderers,West Bromwich Albion,Queens Park Rangers,Stoke City,Bristol City,Charlton Athletic,Birmingham City,Millwall,Lincoln City,Southampton,Wrexham,Bolton Wanderers,Blackburn Rovers,Norwich City,Sheffield United,Portsmouth,Watford,Cardiff City,Derby County,Preston North End,Burnley
183.0,6102.0,427.0,2690.0,8.0,7.0,12.0,15.0,0.0,16.0,55.0,0.0,456.0,7.0,0.0,1.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
579.0,2456.0,1221.0,3679.0,72.0,40.0,52.0,72.0,3.0,99.0,273.0,0.0,1261.0,37.0,0.0,5.0,94.0,36.0,6.0,0.0,0.0,7.0,1.0,7.0
1138.0,805.0,1903.0,1674.0,267.0,121.0,169.0,203.0,29.0,315.0,677.0,10.0,2065.0,162.0,2.0,22.0,247.0,106.0,26.0,4.0,0.0,34.0,3.0,18.0
1383.0,309.0,1691.0,881.0,436.0,220.0,290.0,358.0,65.0,459.0,981.0,7.0,1720.0,285.0,0.0,66.0,439.0,213.0,52.0,16.0,0.0,94.0,4.0,31.0
1346.0,165.0,1325.0,436.0,560.0,345.0,466.0,533.0,120.0,637.0,1075.0,18.0,1202.0,420.0,9.0,101.0,546.0,338.0,76.0,55.0,7.0,138.0,16.0,66.0
1102.0,77.0,964.0,259.0,715.0,443.0,581.0,596.0,162.0,832.0,1030.0,30.0,946.0,523.0,10.0,148.0,657.0,385.0,106.0,86.0,5.0,196.0,16.0,131.0
935.0,44.0,658.0,153.0,753.0,555.0,659.0,752.0,231.0,743.0,961.0,53.0,633.0,606.0,22.0,219.0,750.0,525.0,156.0,118.0,14.0,271.0,27.0,162.0
742.0,23.0,512.0,89.0,764.0,636.0,673.0,708.0,308.0,795.0,891.0,85.0,444.0,701.0,40.0,261.0,774.0,567.0,234.0,176.0,17.0,333.0,38.0,189.0
588.0,6.0,354.0,55.0,807.0,651.0,689.0,756.0,363.0,831.0,760.0,131.0,350.0,673.0,35.0,328.0,746.0,651.0,266.0,215.0,27.0,407.0,67.0,244.0
476.0,2.0,256.0,29.0,722.0,710.0,681.0,724.0,452.0,765.0,668.0,138.0,240.0,702.0,57.0,451.0,793.0,679.0,329.0,232.0,37.0,426.0,78.0,353.0
364.0,8.0,217.0,19.0,724.0,699.0,747.0,756.0,496.0,711.0,554.0,179.0,173.0,687.0,89.0,506.0,698.0,699.0,356.0,310.0,59.0,459.0,131.0,359.0
296.0,1.0,138.0,15.0,651.0,688.0,701.0,720.0,540.0,604.0,453.0,248.0,144.0,710.0,110.0,545.0,686.0,629.0,522.0,373.0,92.0,562.0,144.0,428.0
227.0,0.0,121.0,5.0,593.0,688.0,706.0,636.0,623.0,582.0,372.0,288.0,128.0,700.0,165.0,592.0,592.0,641.0,528.0,428.0,122.0,596.0,205.0,462.0
192.0,0.0,60.0,5.0,542.0,618.0,585.0,573.0,635.0,521.0,314.0,365.0,72.0,633.0,197.0,669.0,565.0,732.0,597.0,552.0,148.0,638.0,240.0,547.0
130.0,0.0,51.0,5.0,503.0,629.0,572.0,497.0,689.0,490.0,241.0,424.0,51.0,574.0,252.0,714.0,485.0,612.0,598.0,626.0,200.0,672.0,351.0,634.0
99.0,2.0,43.0,3.0,400.0,580.0,536.0,472.0,711.0,397.0,215.0,544.0,41.0,518.0,350.0,657.0,435.0,611.0,680.0,659.0,257.0,693.0,432.0,665.0
72.0,0.0,25.0,2.0,379.0,507.0,478.0,431.0,748.0,318.0,163.0,634.0,22.0,473.0,423.0,744.0,372.0,538.0,731.0,699.0,358.0,685.0,504.0,694.0
50.0,0.0,17.0,0.0,298.0,438.0,403.0,348.0,716.0,291.0,104.0,746.0,22.0,408.0,534.0,730.0,347.0,487.0,793.0,790.0,454.0,697.0,567.0,760.0
46.0,0.0,10.0,1.0,259.0,435.0,298.0,260.0,710.0,205.0,83.0,806.0,16.0,368.0,658.0,768.0,228.0,437.0,767.0,804.0,600.0,692.0,742.0,807.0
22.0,0.0,4.0,0.0,218.0,329.0,255.0,233.0,682.0,151.0,53.0,970.0,10.0,275.0,843.0,685.0,204.0,360.0,747.0,841.0,733.0,654.0,887.0,844.0
17.0,0.0,3.0,0.0,141.0,290.0,197.0,170.0,616.0,94.0,44.0,1038.0,2.0,223.0,1061.0,607.0,158.0,296.0,777.0,879.0,1006.0,584.0,1071.0,726.0
6.0,0.0,0.0,0.0,86.0,178.0,135.0,113.0,498.0,87.0,18.0,1174.0,1.0,176.0,1369.0,497.0,96.0,230.0,671.0,818.0,1374.0,514.0,1245.0,714.0
3.0,0.0,0.0,0.0,71.0,138.0,75.0,53.0,355.0,43.0,6.0,1140.0,1.0,99.0,1775.0,432.0,51.0,148.0,591.0,719.0,1809.0,370.0,1469.0,652.0
4.0,0.0,0.0,0.0,31.0,55.0,40.0,21.0,248.0,14.0,9.0,972.0,0.0,40.0,1999.0,252.0,23.0,75.0,390.0,600.0,2681.0,278.0,1762.0,506.0
