Manchester City,Arsenal,Brighton & Hove Albion,Brentford,Leeds United,Liverpool,Everton,Hull City,Newcastle United,Chelsea,Ipswich Town,Manchester United,Nottingham Forest,Sunderland,Crystal Palace,Aston Villa,AFC Bournemouth,Coventry City,Fulham,Tottenham Hotspur
5843.0,3438.0,364.0,76.0,27.0,102.0,20.0,1.0,17.0,7.0,0.0,84.0,9.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0
2890.0,4211.0,1105.0,378.0,162.0,495.0,110.0,5.0,101.0,73.0,0.0,348.0,35.0,7.0,3.0,34.0,37.0,0.0,5.0,1.0
775.0,1319.0,2237.0,1062.0,511.0,1310.0,417.0,43.0,292.0,410.0,0.0,1062.0,152.0,35.0,17.0,161.0,160.0,0.0,31.0,6.0
258.0,532.0,1719.0,1249.0,805.0,1423.0,688.0,103.0,435.0,562.0,4.0,1179.0,277.0,94.0,49.0,272.0,279.0,0.0,65.0,7.0
131.0,253.0,1213.0,1197.0,911.0,1307.0,783.0,150.0,645.0,686.0,4.0,1228.0,383.0,142.0,68.0,390.0,381.0,0.0,95.0,33.0
54.0,112.0,916.0,1121.0,936.0,1131.0,837.0,231.0,731.0,776.0,16.0,1129.0,482.0,207.0,116.0,509.0,511.0,0.0,139.0,46.0
29.0,61.0,689.0,997.0,967.0,944.0,896.0,304.0,809.0,852.0,16.0,944.0,548.0,271.0,151.0,591.0,633.0,0.0,219.0,79.0
9.0,32.0,481.0,841.0,937.0,794.0,915.0,401.0,851.0,849.0,27.0,854.0,647.0,372.0,225.0,669.0,696.0,0.0,290.0,110.0
6.0,15.0,389.0,688.0,870.0,705.0,877.0,459.0,870.0,855.0,61.0,711.0,747.0,455.0,262.0,753.0,748.0,0.0,369.0,160.0
3.0,19.0,268.0,611.0,782.0,487.0,876.0,597.0,833.0,849.0,75.0,605.0,811.0,536.0,350.0,786.0,803.0,1.0,473.0,235.0
1.0,7.0,200.0,487.0,702.0,376.0,767.0,706.0,848.0,770.0,127.0,473.0,855.0,626.0,413.0,861.0,942.0,2.0,563.0,274.0
0.0,0.0,150.0,385.0,578.0,275.0,681.0,819.0,799.0,758.0,214.0,406.0,826.0,747.0,533.0,871.0,877.0,4.0,695.0,382.0
0.0,1.0,105.0,293.0,506.0,230.0,601.0,942.0,699.0,656.0,269.0,321.0,844.0,857.0,686.0,828.0,823.0,4.0,815.0,520.0
0.0,0.0,73.0,231.0,420.0,165.0,485.0,979.0,628.0,628.0,394.0,249.0,843.0,950.0,845.0,748.0,750.0,10.0,944.0,658.0
0.0,0.0,45.0,169.0,316.0,110.0,376.0,1026.0,485.0,475.0,545.0,186.0,715.0,1061.0,990.0,758.0,749.0,25.0,1100.0,869.0
1.0,0.0,23.0,100.0,272.0,84.0,287.0,929.0,387.0,346.0,880.0,118.0,674.0,1085.0,1202.0,640.0,626.0,55.0,1172.0,1119.0
0.0,0.0,13.0,68.0,165.0,34.0,198.0,958.0,297.0,212.0,1313.0,54.0,554.0,1047.0,1412.0,508.0,481.0,128.0,1150.0,1408.0
0.0,0.0,7.0,38.0,94.0,18.0,131.0,813.0,186.0,164.0,2076.0,35.0,374.0,869.0,1359.0,394.0,317.0,306.0,1014.0,1805.0
0.0,0.0,3.0,8.0,37.0,8.0,46.0,469.0,77.0,65.0,3160.0,14.0,203.0,570.0,1141.0,205.0,167.0,1190.0,744.0,1893.0
0.0,0.0,0.0,1.0,2.0,2.0,9.0,65.0,10.0,7.0,819.0,0.0,21.0,69.0,178.0,18.0,12.0,8275.0,117.0,395.0
