Barcelona,Atlético Madrid,Real Betis,Real Madrid,Sevilla,Alavés,Deportivo La Coruña,Real Sociedad,Villarreal,Athletic Club,Getafe,Rayo Vallecano,Osasuna,Celta Vigo,Espanyol,Racing Santander,Levante,Elche,Valencia,Málaga
9141.0,93.0,40.0,722.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768.0,1627.0,811.0,6483.0,28.0,25.0,3.0,24.0,195.0,3.0,2.0,8.0,0.0,17.0,1.0,0.0,3.0,2.0,0.0,0.0
84.0,3976.0,2492.0,1914.0,155.0,145.0,24.0,181.0,731.0,34.0,21.0,62.0,21.0,122.0,7.0,0.0,21.0,6.0,4.0,0.0
7.0,2342.0,3047.0,579.0,452.0,392.0,98.0,514.0,1574.0,131.0,62.0,195.0,62.0,368.0,58.0,0.0,54.0,47.0,18.0,0.0
0.0,980.0,1594.0,198.0,833.0,763.0,253.0,914.0,2179.0,310.0,146.0,477.0,155.0,703.0,163.0,1.0,170.0,106.0,55.0,0.0
0.0,479.0,774.0,64.0,1065.0,946.0,401.0,1189.0,1530.0,524.0,296.0,630.0,265.0,935.0,278.0,5.0,305.0,236.0,78.0,0.0
0.0,211.0,461.0,23.0,1127.0,1096.0,545.0,1120.0,1087.0,585.0,421.0,756.0,342.0,1021.0,368.0,3.0,401.0,291.0,142.0,0.0
0.0,112.0,297.0,9.0,1029.0,999.0,612.0,1004.0,776.0,739.0,522.0,831.0,489.0,1022.0,490.0,14.0,479.0,358.0,218.0,0.0
0.0,78.0,190.0,5.0,974.0,920.0,729.0,895.0,586.0,794.0,594.0,860.0,556.0,887.0,593.0,25.0,560.0,480.0,274.0,0.0
0.0,42.0,134.0,3.0,848.0,877.0,764.0,779.0,399.0,824.0,687.0,864.0,638.0,860.0,703.0,40.0,630.0,571.0,336.0,1.0
0.0,26.0,56.0,0.0,756.0,853.0,807.0,751.0,299.0,842.0,753.0,807.0,689.0,734.0,706.0,50.0,704.0,697.0,468.0,2.0
0.0,17.0,39.0,0.0,653.0,671.0,866.0,671.0,189.0,873.0,809.0,819.0,711.0,704.0,770.0,89.0,777.0,765.0,573.0,4.0
0.0,7.0,29.0,0.0,606.0,640.0,854.0,518.0,180.0,799.0,839.0,732.0,851.0,639.0,862.0,127.0,840.0,841.0,629.0,7.0
0.0,5.0,17.0,0.0,487.0,503.0,847.0,437.0,105.0,780.0,892.0,716.0,903.0,557.0,906.0,223.0,943.0,851.0,808.0,20.0
0.0,1.0,9.0,0.0,334.0,408.0,808.0,332.0,72.0,812.0,972.0,639.0,975.0,485.0,953.0,344.0,922.0,1003.0,899.0,32.0
0.0,4.0,3.0,0.0,288.0,354.0,821.0,279.0,62.0,650.0,934.0,572.0,999.0,355.0,1005.0,478.0,981.0,1056.0,1087.0,72.0
0.0,0.0,6.0,0.0,214.0,222.0,684.0,226.0,17.0,608.0,885.0,492.0,1002.0,320.0,871.0,886.0,928.0,1080.0,1381.0,178.0
0.0,0.0,1.0,0.0,111.0,137.0,592.0,132.0,17.0,455.0,763.0,372.0,835.0,199.0,817.0,1564.0,819.0,1001.0,1756.0,429.0
0.0,0.0,0.0,0.0,39.0,41.0,256.0,31.0,0.0,203.0,352.0,152.0,447.0,68.0,383.0,4207.0,404.0,524.0,1061.0,1832.0
0.0,0.0,0.0,0.0,1.0,7.0,36.0,3.0,0.0,34.0,50.0,15.0,60.0,4.0,66.0,1944.0,59.0,85.0,213.0,7423.0
