AZ Alkmaar,Feyenoord Rotterdam,PSV Eindhoven,FC Twente,Ajax Amsterdam,Fortuna Sittard,Excelsior,FC Groningen,Go Ahead Eagles,Heerenveen,NEC Nijmegen,Sparta Rotterdam,Telstar,SC Cambuur,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II
571.0,2020.0,6352.0,543.0,488.0,1.0,5.0,7.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1485.0,3170.0,2230.0,1488.0,1410.0,8.0,29.0,73.0,39.0,22.0,42.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2139.0,2181.0,890.0,2001.0,2063.0,37.0,104.0,195.0,124.0,77.0,161.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0
2150.0,1309.0,330.0,2225.0,2256.0,125.0,275.0,407.0,301.0,215.0,332.0,2.0,12.0,0.0,61.0,0.0,0.0,0.0
1728.0,739.0,141.0,1798.0,1796.0,258.0,578.0,801.0,636.0,567.0,776.0,7.0,40.0,0.0,133.0,2.0,0.0,0.0
900.0,308.0,37.0,969.0,935.0,600.0,992.0,1480.0,1165.0,988.0,1228.0,17.0,105.0,2.0,271.0,3.0,0.0,0.0
497.0,136.0,13.0,481.0,503.0,840.0,1344.0,1527.0,1297.0,1193.0,1422.0,31.0,220.0,0.0,485.0,11.0,0.0,0.0
263.0,82.0,5.0,251.0,271.0,1072.0,1418.0,1413.0,1381.0,1277.0,1415.0,67.0,357.0,3.0,709.0,16.0,0.0,0.0
137.0,33.0,1.0,129.0,156.0,1309.0,1318.0,1275.0,1349.0,1353.0,1287.0,121.0,540.0,6.0,941.0,43.0,2.0,0.0
80.0,16.0,0.0,68.0,76.0,1462.0,1266.0,1055.0,1192.0,1326.0,1114.0,258.0,791.0,29.0,1159.0,107.0,1.0,0.0
29.0,5.0,1.0,33.0,27.0,1478.0,1062.0,782.0,1056.0,1236.0,986.0,496.0,1121.0,47.0,1468.0,161.0,10.0,2.0
16.0,1.0,0.0,11.0,14.0,1253.0,824.0,532.0,759.0,898.0,706.0,841.0,1695.0,183.0,1787.0,422.0,48.0,10.0
4.0,0.0,0.0,3.0,4.0,947.0,478.0,314.0,428.0,537.0,339.0,1676.0,2223.0,481.0,1537.0,874.0,134.0,21.0
1.0,0.0,0.0,0.0,1.0,420.0,226.0,97.0,189.0,222.0,142.0,2683.0,1625.0,1206.0,880.0,1819.0,376.0,113.0
0.0,0.0,0.0,0.0,0.0,154.0,67.0,37.0,58.0,68.0,40.0,2052.0,824.0,2307.0,382.0,2731.0,924.0,356.0
0.0,0.0,0.0,0.0,0.0,33.0,11.0,4.0,19.0,17.0,8.0,1163.0,351.0,3090.0,121.0,2229.0,1958.0,996.0
0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,463.0,82.0,1892.0,34.0,1204.0,3845.0,2474.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,121.0,10.0,754.0,5.0,378.0,2702.0,6028.0
