Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
5626.0,4343.0,27.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4198.0,5433.0,301.0,36.0,14.0,3.0,2.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.0,208.0,5452.0,1886.0,816.0,295.0,196.0,106.0,676.0,12.0,150.0,29.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0
12.0,14.0,2011.0,2720.0,1471.0,794.0,611.0,298.0,1366.0,69.0,435.0,133.0,8.0,20.0,33.0,2.0,1.0,2.0,0.0,0.0
2.0,0.0,1066.0,1840.0,1527.0,1118.0,908.0,625.0,1614.0,164.0,712.0,270.0,12.0,57.0,68.0,6.0,5.0,4.0,2.0,0.0
1.0,1.0,527.0,1214.0,1492.0,1334.0,1161.0,777.0,1560.0,293.0,945.0,396.0,24.0,102.0,116.0,20.0,13.0,20.0,4.0,0.0
0.0,1.0,322.0,872.0,1245.0,1365.0,1301.0,962.0,1259.0,435.0,1081.0,632.0,38.0,187.0,214.0,37.0,21.0,22.0,6.0,0.0
0.0,0.0,156.0,580.0,1011.0,1281.0,1348.0,1106.0,1062.0,626.0,1175.0,765.0,83.0,303.0,327.0,70.0,40.0,57.0,10.0,0.0
0.0,0.0,79.0,385.0,837.0,1089.0,1149.0,1217.0,836.0,789.0,1225.0,1020.0,153.0,410.0,490.0,121.0,74.0,90.0,36.0,0.0
0.0,0.0,35.0,206.0,624.0,871.0,986.0,1227.0,580.0,1092.0,1133.0,1190.0,237.0,606.0,697.0,178.0,124.0,160.0,54.0,0.0
0.0,0.0,12.0,122.0,420.0,671.0,843.0,1052.0,395.0,1256.0,999.0,1273.0,380.0,834.0,864.0,319.0,204.0,263.0,93.0,0.0
0.0,0.0,10.0,79.0,276.0,468.0,586.0,869.0,300.0,1345.0,750.0,1232.0,538.0,1092.0,1072.0,480.0,327.0,386.0,190.0,0.0
0.0,0.0,1.0,33.0,147.0,321.0,382.0,684.0,170.0,1181.0,546.0,1002.0,832.0,1297.0,1217.0,740.0,521.0,641.0,285.0,0.0
0.0,0.0,1.0,14.0,68.0,206.0,261.0,441.0,92.0,995.0,390.0,726.0,1064.0,1359.0,1259.0,1024.0,703.0,886.0,511.0,0.0
0.0,0.0,0.0,8.0,33.0,111.0,148.0,314.0,37.0,674.0,245.0,572.0,1292.0,1197.0,1207.0,1341.0,995.0,1071.0,755.0,0.0
0.0,0.0,0.0,3.0,16.0,35.0,77.0,178.0,26.0,489.0,125.0,354.0,1437.0,980.0,1003.0,1495.0,1290.0,1355.0,1135.0,2.0
0.0,0.0,0.0,0.0,1.0,32.0,26.0,89.0,10.0,336.0,58.0,234.0,1487.0,729.0,716.0,1554.0,1599.0,1628.0,1497.0,4.0
0.0,0.0,0.0,0.0,2.0,5.0,12.0,38.0,4.0,173.0,22.0,123.0,1381.0,527.0,462.0,1385.0,1889.0,1754.0,2175.0,48.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,17.0,1.0,69.0,7.0,48.0,1015.0,295.0,242.0,1199.0,2130.0,1617.0,3151.0,205.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,2.0,5.0,29.0,64.0,43.0,96.0,9741.0
