Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
6.0,57.0,133.0,1252.0,54.0,10.0,1176.0,62.0,0.0,6714.0,210.0,48.0,0.0,278.0,0.0,0.0,0.0,0.0
52.0,232.0,442.0,2521.0,235.0,63.0,2390.0,245.0,1.0,1912.0,759.0,279.0,0.0,869.0,0.0,0.0,0.0,0.0
95.0,397.0,740.0,1907.0,454.0,161.0,2087.0,510.0,7.0,742.0,1146.0,515.0,0.0,1238.0,0.0,0.0,1.0,0.0
179.0,601.0,946.0,1396.0,663.0,286.0,1461.0,671.0,16.0,354.0,1317.0,717.0,0.0,1393.0,0.0,0.0,0.0,0.0
291.0,783.0,1029.0,1016.0,847.0,398.0,980.0,915.0,30.0,149.0,1359.0,875.0,1.0,1324.0,3.0,0.0,0.0,0.0
402.0,935.0,1126.0,672.0,969.0,549.0,682.0,1029.0,47.0,63.0,1184.0,1159.0,3.0,1168.0,8.0,2.0,1.0,1.0
605.0,1068.0,1123.0,481.0,1139.0,727.0,460.0,1092.0,95.0,32.0,1030.0,1124.0,8.0,995.0,13.0,3.0,5.0,0.0
772.0,1157.0,1015.0,306.0,1143.0,914.0,347.0,1128.0,168.0,18.0,946.0,1167.0,24.0,844.0,26.0,10.0,11.0,4.0
1024.0,1202.0,1009.0,219.0,1136.0,1092.0,199.0,1155.0,280.0,11.0,737.0,1146.0,30.0,668.0,41.0,7.0,32.0,12.0
1320.0,1129.0,890.0,118.0,1096.0,1308.0,120.0,1073.0,460.0,3.0,549.0,1002.0,81.0,573.0,129.0,36.0,87.0,26.0
1561.0,982.0,715.0,68.0,1001.0,1488.0,65.0,959.0,799.0,1.0,383.0,888.0,176.0,349.0,258.0,91.0,149.0,67.0
1609.0,789.0,489.0,32.0,713.0,1422.0,27.0,673.0,1462.0,1.0,266.0,602.0,426.0,203.0,569.0,219.0,376.0,122.0
1099.0,419.0,220.0,9.0,338.0,870.0,6.0,310.0,2279.0,0.0,88.0,311.0,953.0,81.0,1225.0,510.0,867.0,415.0
551.0,169.0,96.0,1.0,136.0,404.0,0.0,118.0,1796.0,0.0,20.0,113.0,1532.0,11.0,1782.0,985.0,1461.0,825.0
249.0,54.0,22.0,2.0,55.0,173.0,0.0,37.0,1169.0,0.0,5.0,39.0,1887.0,6.0,1777.0,1556.0,1773.0,1196.0
136.0,21.0,4.0,0.0,16.0,98.0,0.0,17.0,741.0,0.0,0.0,12.0,1813.0,0.0,1701.0,1917.0,1877.0,1647.0
32.0,5.0,0.0,0.0,5.0,29.0,0.0,5.0,430.0,0.0,1.0,2.0,1667.0,0.0,1437.0,2236.0,1831.0,2320.0
17.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,220.0,0.0,0.0,1.0,1399.0,0.0,1031.0,2428.0,1529.0,3365.0
