Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Lazio,Udinese,Parma,Genoa,Cagliari,Torino,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9721.0,269.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0,7883.0,1191.0,381.0,70.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1289.0,4088.0,2337.0,865.0,1406.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,412.0,2433.0,2874.0,1676.0,2548.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,113.0,1491.0,2407.0,2650.0,3079.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32.0,742.0,1810.0,4074.0,2356.0,980.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,46.0,188.0,655.0,401.0,8176.0,285.0,151.0,81.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,10.0,4.0,434.0,3944.0,2672.0,2075.0,676.0,112.0,45.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,78.0,2622.0,2713.0,2616.0,1366.0,294.0,164.0,81.0,63.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1734.0,2232.0,2419.0,2133.0,665.0,451.0,195.0,145.0,6.0,10.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,1360.0,1628.0,2745.0,1354.0,1049.0,455.0,375.0,27.0,58.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,559.0,747.0,1564.0,2451.0,1978.0,1151.0,918.0,114.0,165.0,33.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,209.0,301.0,900.0,2250.0,2184.0,1839.0,1350.0,356.0,394.0,116.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,81.0,99.0,394.0,1572.0,1782.0,2264.0,1962.0,673.0,883.0,253.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,32.0,155.0,920.0,1256.0,2036.0,2262.0,1248.0,1528.0,530.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,50.0,297.0,720.0,1257.0,1699.0,2343.0,2556.0,1051.0,14.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,71.0,305.0,545.0,854.0,3278.0,2586.0,2262.0,61.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,62.0,163.0,354.0,1857.0,1722.0,5275.0,318.0,236.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,91.0,87.0,431.0,6080.0,3303.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,41.0,3525.0,6419.0
