Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8479.0,1520.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509.0,8329.0,78.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,138.0,4656.0,5188.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,5159.0,4666.0,126.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,99.0,61.0,6608.0,2491.0,69.0,464.0,47.0,36.0,109.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,1.0,2326.0,4688.0,323.0,1491.0,304.0,203.0,520.0,36.0,74.0,13.0,12.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,661.0,1783.0,1120.0,2861.0,910.0,604.0,1487.0,110.0,346.0,54.0,48.0,3.0,9.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,188.0,620.0,1651.0,1950.0,1421.0,1031.0,1832.0,290.0,668.0,143.0,152.0,19.0,23.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,58.0,216.0,1805.0,1231.0,1590.0,1269.0,1612.0,479.0,1033.0,283.0,300.0,23.0,57.0,44.0,0.0,0.0
0.0,0.0,0.0,0.0,21.0,88.0,1561.0,833.0,1569.0,1416.0,1331.0,751.0,1268.0,471.0,445.0,50.0,121.0,72.0,3.0,0.0
0.0,0.0,0.0,0.0,4.0,43.0,1274.0,489.0,1327.0,1508.0,1053.0,925.0,1401.0,740.0,716.0,96.0,250.0,166.0,8.0,0.0
0.0,0.0,0.0,0.0,2.0,18.0,913.0,313.0,1126.0,1318.0,775.0,1275.0,1419.0,941.0,953.0,217.0,441.0,279.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,619.0,188.0,784.0,1055.0,580.0,1448.0,1232.0,1275.0,1248.0,382.0,688.0,465.0,28.0,0.0
0.0,0.0,0.0,0.0,1.0,7.0,381.0,98.0,471.0,733.0,339.0,1436.0,1020.0,1632.0,1481.0,615.0,1021.0,711.0,54.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,182.0,57.0,270.0,451.0,201.0,1366.0,681.0,1640.0,1523.0,1010.0,1421.0,1084.0,112.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,79.0,16.0,118.0,241.0,104.0,978.0,471.0,1341.0,1320.0,1727.0,1763.0,1554.0,281.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,53.0,98.0,44.0,625.0,233.0,904.0,1081.0,2257.0,1937.0,2004.0,698.0,37.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,37.0,11.0,247.0,124.0,458.0,610.0,2576.0,1654.0,2489.0,1618.0,165.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,33.0,16.0,102.0,110.0,958.0,565.0,1028.0,6021.0,1164.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,67.0,49.0,87.0,1167.0,8627.0
