Arsenal,Manchester City,Manchester United,Aston Villa,Chelsea,Liverpool,Brentford,Everton,AFC Bournemouth,Fulham,Sunderland,Newcastle United,Crystal Palace,Brighton & Hove Albion,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9392.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,9153.0,115.0,63.0,46.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,209.0,4351.0,1913.0,2276.0,1202.0,41.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,2609.0,2531.0,2658.0,1908.0,212.0,33.0,4.0,7.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1666.0,2678.0,2402.0,2383.0,606.0,136.0,25.0,39.0,18.0,23.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,952.0,2062.0,1743.0,2844.0,1454.0,420.0,95.0,157.0,84.0,88.0,14.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,248.0,564.0,603.0,1092.0,3719.0,1378.0,502.0,542.0,360.0,477.0,131.0,381.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.0,147.0,195.0,354.0,1797.0,2153.0,1116.0,1053.0,777.0,1138.0,303.0,921.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,16.0,36.0,49.0,138.0,1014.0,1847.0,1450.0,1377.0,1050.0,1315.0,517.0,1160.0,29.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,3.0,6.0,18.0,38.0,578.0,1408.0,1510.0,1550.0,1313.0,1475.0,742.0,1274.0,75.0,6.0,1.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,18.0,308.0,1085.0,1496.0,1533.0,1430.0,1454.0,1057.0,1458.0,121.0,16.0,13.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,8.0,164.0,754.0,1344.0,1469.0,1611.0,1389.0,1435.0,1485.0,283.0,27.0,13.0,16.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,76.0,529.0,1191.0,1209.0,1641.0,1323.0,1924.0,1413.0,537.0,85.0,42.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,28.0,217.0,956.0,869.0,1335.0,1013.0,2538.0,1193.0,1270.0,283.0,196.0,102.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,262.0,178.0,316.0,264.0,1092.0,491.0,4044.0,1753.0,936.0,632.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,42.0,14.0,55.0,34.0,213.0,97.0,2196.0,3065.0,2621.0,1653.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,30.0,17.0,1050.0,2678.0,3181.0,2996.0,31.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,383.0,2047.0,2900.0,4444.0,202.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,97.0,119.0,7777.0,1965.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1984.0,8014.0
