Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
5605.0,4368.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4228.0,5402.0,277.0,50.0,19.0,3.0,1.0,1.0,16.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149.0,212.0,5467.0,1830.0,777.0,314.0,182.0,122.0,726.0,20.0,157.0,34.0,1.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0
16.0,17.0,2042.0,2665.0,1444.0,723.0,637.0,363.0,1363.0,71.0,469.0,137.0,4.0,22.0,22.0,0.0,2.0,3.0,0.0,0.0
2.0,1.0,1032.0,1846.0,1555.0,1159.0,947.0,589.0,1630.0,155.0,696.0,251.0,10.0,49.0,66.0,5.0,3.0,3.0,1.0,0.0
0.0,0.0,556.0,1206.0,1449.0,1360.0,1165.0,799.0,1463.0,281.0,976.0,436.0,19.0,109.0,136.0,17.0,13.0,13.0,2.0,0.0
0.0,0.0,297.0,931.0,1248.0,1365.0,1225.0,959.0,1301.0,449.0,1123.0,601.0,47.0,162.0,198.0,33.0,23.0,32.0,6.0,0.0
0.0,0.0,147.0,539.0,1068.0,1368.0,1233.0,1110.0,1059.0,603.0,1194.0,824.0,96.0,271.0,316.0,54.0,43.0,57.0,18.0,0.0
0.0,0.0,76.0,365.0,867.0,1120.0,1170.0,1226.0,818.0,769.0,1176.0,1060.0,141.0,414.0,478.0,112.0,84.0,97.0,27.0,0.0
0.0,0.0,49.0,233.0,644.0,841.0,1062.0,1143.0,584.0,1030.0,1151.0,1183.0,256.0,606.0,681.0,201.0,118.0,157.0,61.0,0.0
0.0,0.0,24.0,159.0,419.0,653.0,813.0,1083.0,428.0,1258.0,935.0,1282.0,396.0,825.0,886.0,303.0,205.0,241.0,90.0,0.0
0.0,0.0,6.0,95.0,248.0,438.0,615.0,877.0,261.0,1323.0,768.0,1220.0,585.0,1033.0,1104.0,483.0,326.0,422.0,196.0,0.0
0.0,0.0,2.0,47.0,141.0,331.0,408.0,654.0,179.0,1261.0,552.0,998.0,793.0,1283.0,1254.0,737.0,494.0,572.0,294.0,0.0
0.0,0.0,0.0,22.0,68.0,184.0,245.0,444.0,95.0,1020.0,367.0,729.0,1004.0,1372.0,1320.0,1059.0,724.0,847.0,500.0,0.0
0.0,0.0,0.0,7.0,27.0,86.0,164.0,324.0,43.0,713.0,215.0,515.0,1266.0,1226.0,1150.0,1325.0,1042.0,1159.0,738.0,0.0
0.0,0.0,0.0,1.0,14.0,35.0,77.0,160.0,17.0,501.0,136.0,331.0,1506.0,1021.0,958.0,1449.0,1284.0,1418.0,1084.0,8.0
0.0,0.0,0.0,2.0,6.0,12.0,35.0,88.0,10.0,313.0,63.0,212.0,1401.0,780.0,728.0,1632.0,1543.0,1608.0,1558.0,9.0
0.0,0.0,0.0,1.0,4.0,6.0,17.0,43.0,6.0,172.0,15.0,141.0,1406.0,519.0,486.0,1405.0,1822.0,1664.0,2261.0,32.0
0.0,0.0,0.0,0.0,1.0,1.0,4.0,15.0,1.0,61.0,5.0,46.0,1054.0,301.0,210.0,1154.0,2225.0,1659.0,3061.0,202.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,30.0,49.0,46.0,103.0,9749.0
